cohort	slice	sample_id	patient_id	celltype	n
GSE207422	GSE207422_post_A3mal	BD_immune01	P01	Epithelial	645
GSE207422	GSE207422_post_A3mal	BD_immune02	P02	Epithelial	99
GSE207422	GSE207422_post_A3mal	BD_immune03	P03	Epithelial	1046
GSE207422	GSE207422_post_A3mal	BD_immune04	P04	Epithelial	129
GSE207422	GSE207422_post_A3mal	BD_immune05	P05	Epithelial	1474
GSE207422	GSE207422_post_A3mal	BD_immune06	P06	Epithelial	43
GSE207422	GSE207422_post_A3mal	BD_immune07	P07	Epithelial	5295
GSE207422	GSE207422_post_A3mal	BD_immune08	P08	Epithelial	182
GSE207422	GSE207422_post_A3mal	BD_immune09	P09	Epithelial	278
GSE207422	GSE207422_post_A3mal	BD_immune10	P10	Epithelial	243
GSE207422	GSE207422_post_A3mal	BD_immune11	P11	Epithelial	425
GSE207422	GSE207422_post_A3mal	BD_immune12	P12	Epithelial	436
GSE207422	GSE207422_post_A3mal	BD_immune13	P13	Epithelial	28
GSE207422	GSE207422_post_A3mal	BD_immune14	P14	Epithelial	174
GSE207422	GSE207422_post_A3mal	BD_immune15	P15	Epithelial	522
GSE207422	GSE207422_post_A3mal	BD_immune01	P01	TNK	619
GSE207422	GSE207422_post_A3mal	BD_immune02	P02	TNK	2580
GSE207422	GSE207422_post_A3mal	BD_immune03	P03	TNK	4905
GSE207422	GSE207422_post_A3mal	BD_immune04	P04	TNK	5345
GSE207422	GSE207422_post_A3mal	BD_immune05	P05	TNK	781
GSE207422	GSE207422_post_A3mal	BD_immune06	P06	TNK	2809
GSE207422	GSE207422_post_A3mal	BD_immune07	P07	TNK	984
GSE207422	GSE207422_post_A3mal	BD_immune08	P08	TNK	2990
GSE207422	GSE207422_post_A3mal	BD_immune09	P09	TNK	3133
GSE207422	GSE207422_post_A3mal	BD_immune10	P10	TNK	3876
GSE207422	GSE207422_post_A3mal	BD_immune11	P11	TNK	1637
GSE207422	GSE207422_post_A3mal	BD_immune12	P12	TNK	1272
GSE207422	GSE207422_post_A3mal	BD_immune13	P13	TNK	1286
GSE207422	GSE207422_post_A3mal	BD_immune14	P14	TNK	2686
GSE207422	GSE207422_post_A3mal	BD_immune15	P15	TNK	1420
GSE207422	GSE207422_post_A3mal	BD_immune01	P01	B	37
GSE207422	GSE207422_post_A3mal	BD_immune02	P02	B	1970
GSE207422	GSE207422_post_A3mal	BD_immune03	P03	B	1050
GSE207422	GSE207422_post_A3mal	BD_immune04	P04	B	458
GSE207422	GSE207422_post_A3mal	BD_immune05	P05	B	241
GSE207422	GSE207422_post_A3mal	BD_immune06	P06	B	94
GSE207422	GSE207422_post_A3mal	BD_immune07	P07	B	72
GSE207422	GSE207422_post_A3mal	BD_immune08	P08	B	236
GSE207422	GSE207422_post_A3mal	BD_immune09	P09	B	141
GSE207422	GSE207422_post_A3mal	BD_immune10	P10	B	90
GSE207422	GSE207422_post_A3mal	BD_immune11	P11	B	255
GSE207422	GSE207422_post_A3mal	BD_immune12	P12	B	1233
GSE207422	GSE207422_post_A3mal	BD_immune13	P13	B	117
GSE207422	GSE207422_post_A3mal	BD_immune14	P14	B	1712
GSE207422	GSE207422_post_A3mal	BD_immune15	P15	B	376
GSE207422	GSE207422_post_A3mal	BD_immune01	P01	Myeloid	3038
GSE207422	GSE207422_post_A3mal	BD_immune02	P02	Myeloid	377
GSE207422	GSE207422_post_A3mal	BD_immune03	P03	Myeloid	843
GSE207422	GSE207422_post_A3mal	BD_immune04	P04	Myeloid	1969
GSE207422	GSE207422_post_A3mal	BD_immune05	P05	Myeloid	321
GSE207422	GSE207422_post_A3mal	BD_immune06	P06	Myeloid	1522
GSE207422	GSE207422_post_A3mal	BD_immune07	P07	Myeloid	2056
GSE207422	GSE207422_post_A3mal	BD_immune08	P08	Myeloid	957
GSE207422	GSE207422_post_A3mal	BD_immune09	P09	Myeloid	968
GSE207422	GSE207422_post_A3mal	BD_immune10	P10	Myeloid	1730
GSE207422	GSE207422_post_A3mal	BD_immune11	P11	Myeloid	1329
GSE207422	GSE207422_post_A3mal	BD_immune12	P12	Myeloid	2926
GSE207422	GSE207422_post_A3mal	BD_immune13	P13	Myeloid	5036
GSE207422	GSE207422_post_A3mal	BD_immune14	P14	Myeloid	644
GSE207422	GSE207422_post_A3mal	BD_immune15	P15	Myeloid	5490
GSE207422	GSE207422_post_A3mal	BD_immune01	P01	Stromal	42
GSE207422	GSE207422_post_A3mal	BD_immune02	P02	Stromal	45
GSE207422	GSE207422_post_A3mal	BD_immune03	P03	Stromal	54
GSE207422	GSE207422_post_A3mal	BD_immune04	P04	Stromal	69
GSE207422	GSE207422_post_A3mal	BD_immune05	P05	Stromal	28
GSE207422	GSE207422_post_A3mal	BD_immune06	P06	Stromal	49
GSE207422	GSE207422_post_A3mal	BD_immune07	P07	Stromal	438
GSE207422	GSE207422_post_A3mal	BD_immune08	P08	Stromal	575
GSE207422	GSE207422_post_A3mal	BD_immune09	P09	Stromal	31
GSE207422	GSE207422_post_A3mal	BD_immune10	P10	Stromal	103
GSE207422	GSE207422_post_A3mal	BD_immune11	P11	Stromal	41
GSE207422	GSE207422_post_A3mal	BD_immune12	P12	Stromal	18
GSE207422	GSE207422_post_A3mal	BD_immune13	P13	Stromal	35
GSE207422	GSE207422_post_A3mal	BD_immune14	P14	Stromal	74
GSE207422	GSE207422_post_A3mal	BD_immune15	P15	Stromal	83
GSE207422	GSE207422_post_A3mal	BD_immune01	P01	Other	360
GSE207422	GSE207422_post_A3mal	BD_immune02	P02	Other	274
GSE207422	GSE207422_post_A3mal	BD_immune03	P03	Other	1361
GSE207422	GSE207422_post_A3mal	BD_immune04	P04	Other	428
GSE207422	GSE207422_post_A3mal	BD_immune05	P05	Other	268
GSE207422	GSE207422_post_A3mal	BD_immune06	P06	Other	132
GSE207422	GSE207422_post_A3mal	BD_immune07	P07	Other	286
GSE207422	GSE207422_post_A3mal	BD_immune08	P08	Other	885
GSE207422	GSE207422_post_A3mal	BD_immune09	P09	Other	298
GSE207422	GSE207422_post_A3mal	BD_immune10	P10	Other	601
GSE207422	GSE207422_post_A3mal	BD_immune11	P11	Other	72
GSE207422	GSE207422_post_A3mal	BD_immune12	P12	Other	348
GSE207422	GSE207422_post_A3mal	BD_immune13	P13	Other	251
GSE207422	GSE207422_post_A3mal	BD_immune14	P14	Other	256
GSE207422	GSE207422_post_A3mal	BD_immune15	P15	Other	195
GSE207422	GSE207422_drmref	BD_immune02	P02	Epithelial	100
GSE207422	GSE207422_drmref	BD_immune03	P03	Epithelial	440
GSE207422	GSE207422_drmref	BD_immune04	P04	Epithelial	71
GSE207422	GSE207422_drmref	BD_immune06	P06	Epithelial	15
GSE207422	GSE207422_drmref	BD_immune07	P07	Epithelial	516
GSE207422	GSE207422_drmref	BD_immune09	P09	Epithelial	69
GSE207422	GSE207422_drmref	BD_immune10	P10	Epithelial	216
GSE207422	GSE207422_drmref	BD_immune11	P11	Epithelial	54
GSE207422	GSE207422_drmref	BD_immune12	P12	Epithelial	181
GSE207422	GSE207422_drmref	BD_immune13	P13	Epithelial	25
GSE207422	GSE207422_drmref	BD_immune14	P14	Epithelial	87
GSE207422	GSE207422_drmref	BD_immune15	P15	Epithelial	277
GSE207422	GSE207422_drmref	BD_immune02	P02	TNK	672
GSE207422	GSE207422_drmref	BD_immune03	P03	TNK	1563
GSE207422	GSE207422_drmref	BD_immune04	P04	TNK	742
GSE207422	GSE207422_drmref	BD_immune06	P06	TNK	140
GSE207422	GSE207422_drmref	BD_immune07	P07	TNK	430
GSE207422	GSE207422_drmref	BD_immune09	P09	TNK	1788
GSE207422	GSE207422_drmref	BD_immune10	P10	TNK	2558
GSE207422	GSE207422_drmref	BD_immune11	P11	TNK	202
GSE207422	GSE207422_drmref	BD_immune12	P12	TNK	1219
GSE207422	GSE207422_drmref	BD_immune13	P13	TNK	624
GSE207422	GSE207422_drmref	BD_immune14	P14	TNK	856
GSE207422	GSE207422_drmref	BD_immune15	P15	TNK	289
GSE207422	GSE207422_drmref	BD_immune02	P02	B	158
GSE207422	GSE207422_drmref	BD_immune03	P03	B	879
GSE207422	GSE207422_drmref	BD_immune04	P04	B	133
GSE207422	GSE207422_drmref	BD_immune06	P06	B	2
GSE207422	GSE207422_drmref	BD_immune07	P07	B	36
GSE207422	GSE207422_drmref	BD_immune09	P09	B	125
GSE207422	GSE207422_drmref	BD_immune10	P10	B	216
GSE207422	GSE207422_drmref	BD_immune11	P11	B	4
GSE207422	GSE207422_drmref	BD_immune12	P12	B	720
GSE207422	GSE207422_drmref	BD_immune13	P13	B	52
GSE207422	GSE207422_drmref	BD_immune14	P14	B	319
GSE207422	GSE207422_drmref	BD_immune15	P15	B	16
GSE207422	GSE207422_drmref	BD_immune02	P02	Myeloid	249
GSE207422	GSE207422_drmref	BD_immune03	P03	Myeloid	311
GSE207422	GSE207422_drmref	BD_immune04	P04	Myeloid	778
GSE207422	GSE207422_drmref	BD_immune06	P06	Myeloid	427
GSE207422	GSE207422_drmref	BD_immune07	P07	Myeloid	818
GSE207422	GSE207422_drmref	BD_immune09	P09	Myeloid	535
GSE207422	GSE207422_drmref	BD_immune10	P10	Myeloid	1174
GSE207422	GSE207422_drmref	BD_immune11	P11	Myeloid	371
GSE207422	GSE207422_drmref	BD_immune12	P12	Myeloid	2692
GSE207422	GSE207422_drmref	BD_immune13	P13	Myeloid	4502
GSE207422	GSE207422_drmref	BD_immune14	P14	Myeloid	287
GSE207422	GSE207422_drmref	BD_immune15	P15	Myeloid	2559
