figure_id	source_pr	accession	contrast	metric	n	n_note	effect	effect_lo	effect_hi	ci_source	p	p_note	display_effect	display_p	unit	priority_note
entry_deg	685	GSE137244	Tacstd2 KL vs KP	delta_log2_fpkm	10	5 KL vs 5 KP libraries	3.238				0.007936507936507936	exact MW 2/252 floor	+3.238	0.00794	library	entry after Tacstd2 DEG
entry_deg	685	GSE137244	Cldn4 KL vs KP	delta_log2_fpkm	10	5 KL vs 5 KP libraries	5.570				0.007936507936507936	exact MW 2/252 floor	+5.570	0.00794	library	CLDN4 within TJ entry
entry_deg	685	GSE137244	TJ_TISMO 7-gene KL vs KP	delta_log2_fpkm	10	5 KL vs 5 KP; PR685 module	3.268517770884415				0.007936507936507936	exact MW 2/252 floor	+3.269	0.00794	library	TJ module (handoff +3.03 is a different average; PR685)
entry_deg	685	GSE137244	TJ_EPITHELIAL 18-gene KL vs KP	delta_log2_fpkm	10	5 KL vs 5 KP; PR685 module	1.6266264627956226				0.007936507936507936	exact MW 2/252 floor	+1.627	0.00794	library	epithelial TJ core
concordant4	539	concordant-4	malignant CLDN4 %pos vs T/NK fraction	spearman_meta_rho	65	DL meta on 4 cohorts; I2=0%	-0.531	-0.697	-0.312	published_PR539_FINDING	1.65e-05	DL meta p; I2=0%	-0.531	1.65e-05	patient	locked primary
concordant4	539	GSE123902	malignant CLDN4 %pos vs T/NK	spearman_rho	13	donor unit	-0.659340659340659				0.0142255785114568	two-sided Spearman	-0.659	0.014	donor	cohort single
concordant4	539	GSE131907	malignant CLDN4 %pos vs T/NK	spearman_rho	21	sample unit	-0.522077922077922				0.0151957544925058	two-sided Spearman	-0.522	0.015	sample	cohort single
concordant4	539	GSE205335	malignant CLDN4 %pos vs T/NK	spearman_rho	22	patient unit	-0.435347261434218				0.0428613263016768	two-sided Spearman	-0.435	0.043	patient	cohort single
concordant4	539	GSE189357	malignant CLDN4 %pos vs T/NK	spearman_rho	9	patient unit	-0.6				0.0876228290414023	two-sided Spearman	-0.600	0.088	patient	cohort single
concordant4	539	concordant-4	stacked Q4 vs Q1 T/NK	rank_biserial	35	19 Q1 / 16 Q4 within-cohort	-0.724				0.0002879	MWU on stacked ranks	r=-0.724	2.88e-04	patient	Q4 vs Q1
