gene_name	ensembl	hpa_entry_version	antibody_id	antibody_release_version	antibody_release_date	tissue	organ	cell_type	staining	quantity	location	source_url
TACSTD2	ENSG00000184292	25	HPA043104	9.0	2011-11-11	Bronchus	Respiratory system	Respiratory epithelial cells	medium	>75%	cytoplasmic/membranous	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	HPA043104	9.0	2011-11-11	Lung	Respiratory system	Alveolar cells	not detected	none	none	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	HPA043104	9.0	2011-11-11	Lung	Respiratory system	Macrophages	not detected	none	none	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	HPA043104	9.0	2011-11-11	Nasopharynx	Respiratory system	Respiratory epithelial cells	medium	>75%	cytoplasmic/membranous	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	HPA055067	12.0	2013-12-05	Bronchus	Respiratory system	Respiratory epithelial cells	high	>75%	cytoplasmic/membranous	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	HPA055067	12.0	2013-12-05	Lung	Respiratory system	Alveolar cells	not detected	none	none	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	HPA055067	12.0	2013-12-05	Lung	Respiratory system	Macrophages	not detected	none	none	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	HPA055067	12.0	2013-12-05	Nasopharynx	Respiratory system	Respiratory epithelial cells	medium	>75%	cytoplasmic/membranous	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	CAB072852	13.0	2014-11-06	Bronchus	Respiratory system	Respiratory epithelial cells	high	>75%	cytoplasmic/membranous	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	CAB072852	13.0	2014-11-06	Lung	Respiratory system	Alveolar cells	not detected	none	none	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	CAB072852	13.0	2014-11-06	Lung	Respiratory system	Macrophages	not detected	none	none	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	CAB072852	13.0	2014-11-06	Nasopharynx	Respiratory system	Respiratory epithelial cells	high	>75%	cytoplasmic/membranous	https://v25.proteinatlas.org/ENSG00000184292
CLDN4	ENSG00000189143	25	CAB002610	1.2	2006-03-13	Bronchus	Respiratory system	Respiratory epithelial cells	medium	>75%	cytoplasmic/membranous	https://v25.proteinatlas.org/ENSG00000189143
CLDN4	ENSG00000189143	25	CAB002610	1.2	2006-03-13	Lung	Respiratory system	Alveolar cells type I	low	<25%	cytoplasmic/membranous	https://v25.proteinatlas.org/ENSG00000189143
CLDN4	ENSG00000189143	25	CAB002610	1.2	2006-03-13	Lung	Respiratory system	Alveolar cells type II	not detected	none	none	https://v25.proteinatlas.org/ENSG00000189143
CLDN4	ENSG00000189143	25	CAB002610	1.2	2006-03-13	Lung	Respiratory system	Endothelial cells	not detected	none	none	https://v25.proteinatlas.org/ENSG00000189143
CLDN4	ENSG00000189143	25	CAB002610	1.2	2006-03-13	Lung	Respiratory system	Macrophages	not detected	none	none	https://v25.proteinatlas.org/ENSG00000189143
