gene_name	ensembl	modality	source	technology	assay_type	tissue	unit	value	sample_id	sex	age	note
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	consensusTissue	Lung	nTPM	74.5				Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	67.1				Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	70.1	164	Female	71	Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	51.3	165	Male	57	Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	104.3	166	Female	71	Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	29.4	167	Female	74	Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	94.1	168	Female	73	Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	43.8	376	Male	74	Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	104.5	379	Female	70	Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	39.2	387	Female	75	Companion RNA from the same HPA gene XML. Not IHC/protein.
TACSTD2	ENSG00000184292	RNA	HPA	RNAseq	tissue	Lung	nTPM	67.4	406	Male	63	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	consensusTissue	Lung	nTPM	66.7				Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	49.7				Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	69.8	164	Female	71	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	50.1	165	Male	57	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	91.2	166	Female	71	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	28.8	167	Female	74	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	53.5	168	Female	73	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	19.6	376	Male	74	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	68.5	379	Female	70	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	17.9	387	Female	75	Companion RNA from the same HPA gene XML. Not IHC/protein.
CLDN4	ENSG00000189143	RNA	HPA	RNAseq	tissue	Lung	nTPM	48.2	406	Male	63	Companion RNA from the same HPA gene XML. Not IHC/protein.
