Gene	Gene name	Tissue	IHC tissue name	Cell type	Level	Reliability	hpa_version	source_file	source_url	score_type	note
ENSG00000184292	TACSTD2	Bronchus	Bronchus	respiratory epithelial cells	Medium	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
ENSG00000184292	TACSTD2	Lung	Lung	alveolar cells	Not detected	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
ENSG00000184292	TACSTD2	Lung	Lung	macrophages	Not detected	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
ENSG00000184292	TACSTD2	Nasopharynx	Nasopharynx	respiratory epithelial cells	Medium	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
ENSG00000189143	CLDN4	Bronchus	Bronchus	respiratory epithelial cells	Medium	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
ENSG00000189143	CLDN4	Lung	Lung	alveolar cells type I	Low	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
ENSG00000189143	CLDN4	Lung	Lung	alveolar cells type II	Not detected	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
ENSG00000189143	CLDN4	Lung	Lung	endothelial cells	Not detected	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
ENSG00000189143	CLDN4	Lung	Lung	macrophages	Not detected	Enhanced	25.1	normal_ihc_data.tsv	https://www.proteinatlas.org/download/tsv/normal_ihc_data.tsv.zip	knowledge_based_ordinal_IHC	Official HPA cell-type IHC annotation. Not an H-score.
