Gene	Gene name	Cancer	High	Medium	Low	Not detected	n_patients_in_counts	hpa_version	source_file	source_url	score_type	note
ENSG00000184292	TACSTD2	lung cancer	0	2	3	5	10	25.1	cancer_data.tsv	https://www.proteinatlas.org/download/tsv/cancer_data.tsv.zip	knowledge_based_ordinal_IHC_counts	HPA TMA ordinal counts (High/Medium/Low/Not detected). Not H-scores. No ICI labels. Not paired TACSTD2+CLDN4.
ENSG00000189143	CLDN4	lung cancer	0	9	2	0	11	25.1	cancer_data.tsv	https://www.proteinatlas.org/download/tsv/cancer_data.tsv.zip	knowledge_based_ordinal_IHC_counts	HPA TMA ordinal counts (High/Medium/Low/Not detected). Not H-scores. No ICI labels. Not paired TACSTD2+CLDN4.
