gene_name	ensembl	hpa_entry_version	summary_type	summary_text	source_url
TACSTD2	ENSG00000184292	25	tissue	Abundant cytoplasmic and membranous expression in respiratory and squamous epithelial cells.	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	subcellular	Mainly localized to the plasma membrane. In addition localized to the nucleoli and vesicles.	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	tissue	Respiratory epithelia, superficial squamous epithelial cells, urothelium, subsets of cells in gallbladder and seminal vesicle displayed moderate membranous staining with additional cytoplasmic immunoreactivity in many cases. Remaining normal cells were negative.	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	cancer	Many squamous cell carcinomas, a few urothelial cancers as well as a few basal cell carcinomas displayed moderate cytoplasmic and membranous immunoreactivity. Remaining cancer tissues were generally negative.	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	tissue	Moderate to strong membranous and/or cytoplasmic positivity was displayed in respiratory epithelia, prostate, urothelial cells, seminal vesicle, bile ducts and fallopian tube along with subset of cells in squamous epithelia, salivary gland and renal tubules. Moderate nucleolar staining was showed in neurons. Remaining normal tissues were weakly stained or mostly negative.	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	cancer	Moderate to strong membranous and/or cytoplasmic positivity was observed in most squamous cell carcinomas, prostate, urothelial, thyroid, ovarian, endometrial cancers along with few carcinoids and breast cancers. Remaining cancer tissues were mostly negative.	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	tissue	Moderate to strong membranous positivity was observed in respiratory epithelia, squamous epithelia, salivary ducts, bile ducts, pancreatic ducts, urothelial cells, fallopian tube, glandular cells of breast, epididymis, prostate, cervix, uterine and subset of renal tubules. Remaining normal tissues were negative.	https://v25.proteinatlas.org/ENSG00000184292
TACSTD2	ENSG00000184292	25	cancer	Papillary adenocarcinoma of thyroid, cervical and urothelial cancers along with several  breast, prostate, ovarian, endometrial, lung, skin and pancreatic cancers showed moderate to strong membranous immunoreactivity with additional cytoplasmic staining in few cases. Remaining cancer tissues were negative.	https://v25.proteinatlas.org/ENSG00000184292
CLDN4	ENSG00000189143	25	tissue	Membranous expression in several tissues, most abundant in gastrointestinal tract.	https://v25.proteinatlas.org/ENSG00000189143
CLDN4	ENSG00000189143	25	subcellular	Localized to the plasma membrane.	https://v25.proteinatlas.org/ENSG00000189143
CLDN4	ENSG00000189143	25	tissue	Cytoplasmic and membranous staining of moderate to strong intensity was observed in most glandular epithelia. Squamous epithelia, cells of the CNS and lymphoid tissues were in general weaker stained or negative.	https://v25.proteinatlas.org/ENSG00000189143
CLDN4	ENSG00000189143	25	cancer	A majority of adenocarcinomas and some squamous cell carcinomas showed moderate to strong cytoplasmic and membranous immunoreactivity. Remaining cancer tissues were negative.	https://v25.proteinatlas.org/ENSG00000189143
