Gene	Gene synonym	Ensembl	Gene description	Uniprot	Evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	Subcellular main location	Protein tissue specificity	Protein tissue distribution	Protein tissue specific Intensity	Protein cell type specificity	Protein cell type distribution	RNA tissue specificity	RNA tissue distribution	hpa_version	source_url	gene_page	lung_tissue_page	lung_cancer_page
TACSTD2	EGP-1, GA733-1, M1S1, TROP2	ENSG00000184292	Tumor associated calcium signal transducer 2	P09758	Evidence at protein level	HPA043104, HPA055067, CAB072852	Enhanced	Supported	Nucleoli,Vesicles,Plasma membrane	Plasma membrane	Tissue enhanced	Detected in many	lung: 22139708.2;salivary gland: 23989590.1	Group enriched	Detected in many	Tissue enhanced	Detected in many	25.1	https://www.proteinatlas.org/ENSG00000184292.tsv	https://www.proteinatlas.org/ENSG00000184292-TACSTD2	https://www.proteinatlas.org/ENSG00000184292-TACSTD2/tissue/lung	https://www.proteinatlas.org/ENSG00000184292-TACSTD2/cancer/lung+cancer
CLDN4	CPE-R, CPETR, CPETR1, hCPE-R, WBSCR8	ENSG00000189143	Claudin 4	O14493	Evidence at protein level	CAB002610	Enhanced	Supported	Plasma membrane	Plasma membrane	Tissue enriched	Detected in some	lung: 440862.9	Not detected	Not detected	Tissue enhanced	Detected in many	25.1	https://www.proteinatlas.org/ENSG00000189143.tsv	https://www.proteinatlas.org/ENSG00000189143-CLDN4	https://www.proteinatlas.org/ENSG00000189143-CLDN4/tissue/lung	https://www.proteinatlas.org/ENSG00000189143-CLDN4/cancer/lung+cancer
