dataset	gene_set	n_detected	comp_direction	comp_rank_biserial	comp_p	sc_mean_log2FC	sc_median_log2FC	sc_n_up	sc_n_down	sc_wilcoxon_p
GSE289287_DSG2cell	tight_junction	22	down	-0.0001952	0.9987	0.05467	0.009767	12	10	0.8486
GSE289287_DSG2cell	adherens	11	up	0.3137	0.07155	0.1917	0.1233	9	2	0.1475
GSE289287_DSG2cell	desmosome	11	down	-0.1552	0.3725	-0.1183	-0.06709	5	6	0.8984
GSE289287_DSG2cell	ifn_isg	35	up	0.7419	3.014e-14	0.8633	0.7813	33	2	7.974e-09
GSE289287_DSG2cell	ifn_chemokine	7	up	0.4695	0.03143	0.5811	0.1076	7	0	0.01562
GSE289287_DSG2cell	antigen_presentation	18	up	0.3879	0.004367	0.351	0.2405	14	4	0.01041
GSE289287_DSG2cell	tcell_cytotox	6	down	-0.2323	0.3242	-0.07944	-0.04826	2	4	0.4062
GSE289287_DSG2cell	CLDN4_headline	1	NA					0	1	
GSE289287_DSG2cell	junctions	44	up	0.03957	0.6496	0.04571	0.03268	26	18	0.3883
GSE289287_DSG2cell	ifn_immune	66	up	0.5288	1.076e-13	0.6079	0.5305	56	10	3.941e-09
