dataset	gene_set	n_detected	comp_direction	comp_rank_biserial	comp_p	sc_mean_log2FC	sc_median_log2FC	sc_n_up	sc_n_down	sc_wilcoxon_p
GSE334497	tight_junction	23	down	-0.5883	1.042e-06	-0.6213	-0.6634	2	21	1.311e-05
GSE334497	adherens	11	down	-0.1158	0.506	-0.2429	-0.1888	4	7	0.3652
GSE334497	desmosome	13	down	-0.84	1.571e-07	-2.017	-1.343	0	13	0.0002441
GSE334497	ifn_isg	32	up	0.2662	0.009168	0.1182	0.1395	20	12	0.01051
GSE334497	ifn_chemokine	10	up	0.5716	0.001749	0.3581	0.5266	8	2	0.2324
GSE334497	antigen_presentation	16	up	0.5393	0.0001881	0.2498	0.2203	14	2	0.0001526
GSE334497	tcell_cytotox	18	up	0.6573	1.382e-06	0.5493	0.6577	16	2	0.000145
GSE334497	CLDN4_headline	1	NA					0	1	
GSE334497	junctions	47	down	-0.5483	7.961e-11	-0.9188	-0.6634	6	41	7.038e-09
GSE334497	ifn_immune	76	up	0.458	5.197e-12	0.2796	0.237	58	18	5.937e-08
