dataset	gene	panels	log2FC	pvalue	padj	wald_stat
GSE289287	AFDN	adherens	0.65182	0.0018901	0.045143	3.107
GSE289287	CDH1	adherens	-0.21759	0.37899	0.72491	-0.87976
GSE289287	CDH2	adherens	-0.64318	0.092962	0.40181	-1.68
GSE289287	CTNNA1	adherens	0.20678	0.14893	0.49259	1.4433
GSE289287	CTNNB1	adherens	-0.18457	0.11624	0.44515	-1.5707
GSE289287	CTNND1	adherens	0.12049	0.4746	0.78069	0.71502
GSE289287	EPCAM	adherens	0.091885	0.57033	0.83385	0.56756
GSE289287	NECTIN1	adherens	-0.17166	0.57654	0.83739	-0.55845
GSE289287	NECTIN2	adherens	0.66685	0.0029988	0.059333	2.9679
GSE289287	NECTIN3	adherens	-0.041644	0.91771	0.97324	-0.10332
GSE289287	NECTIN4	adherens	-0.26862	0.10644	0.42984	-1.6144
GSE289287	B2M	antigen_presentation	0.53892	0.048617	0.2997	1.9719
GSE289287	CIITA	antigen_presentation	0.0023486	0.93694	1	0.07911
GSE289287	HLA-A	antigen_presentation	0.62842	0.070557	0.35545	1.8083
GSE289287	HLA-B	antigen_presentation	0.56179	0.053522	0.31216	1.9307
GSE289287	HLA-C	antigen_presentation	0.69886	0.022778	0.19592	2.2771
GSE289287	HLA-DMA	antigen_presentation	-1.2282	0.0023584	0.051979	-3.0409
GSE289287	HLA-DPA1	antigen_presentation	-0.83666	0.037809	0.26303	-2.0769
GSE289287	HLA-DRA	antigen_presentation	-0.55593	0.2013	0.55923	-1.2778
GSE289287	HLA-DRB1	antigen_presentation	-0.80743	0.052499	0.30937	-1.939
GSE289287	HLA-E	antigen_presentation	0.20657	0.44818	0.76726	0.75845
GSE289287	HLA-F	antigen_presentation	0.89314	0.0042665	0.073923	2.8578
GSE289287	NLRC5	antigen_presentation	0.4428	0.13858	1	1.4811
GSE289287	PSMB10	antigen_presentation	0	1	1	0
GSE289287	PSMB8	antigen_presentation	0.20164	0.46334	0.77557	0.73337
GSE289287	PSMB9	antigen_presentation	0.16205	0.54866	0.82215	0.59978
GSE289287	TAP1	antigen_presentation	0.26032	0.34367	0.70419	0.94694
GSE289287	TAP2	antigen_presentation	-0.24235	0.37564	0.7219	-0.88596
GSE289287	TAPBP	antigen_presentation	0.076712	0.72195	0.90451	0.35585
GSE289287	DSC1	desmosome	0.26107	0.26084	1	1.1244
GSE289287	DSC2	desmosome	0.21772	0.33929	0.70094	0.95556
GSE289287	DSC3	desmosome	-0.053899	0.83231	1	-0.21174
GSE289287	DSG1	desmosome	-0.18529	0.54509	1	-0.60513
GSE289287	DSG2	desmosome	-0.10635	0.50947	0.80087	-0.65967
GSE289287	DSG3	desmosome	0.014664	0.90566	1	0.11852
GSE289287	DSP	desmosome	-0.136	0.42121	0.75033	-0.80432
GSE289287	EVPL	desmosome	0.21684	0.45251	0.77015	0.75124
GSE289287	JUP	desmosome	0.21522	0.29252	0.66207	1.0526
GSE289287	PERP	desmosome	0.27145	0.35696	0.7112	0.92117
GSE289287	PKP1	desmosome	0.0042324	0.76613	0.92349	0.29743
GSE289287	PKP2	desmosome	-0.46073	0.25134	0.6194	-1.1471
GSE289287	PKP3	desmosome	0.39301	0.013474	0.14646	2.471
GSE289287	PPL	desmosome	0.079687	0.75241	0.91756	0.31546
GSE289287	CLDN4	headline;tight_junction	0.28444	0.12917	0.46637	1.5174
GSE289287	CCL5	ifn_chemokine	0.80432	0.067565	1	1.8279
GSE289287	CXCL10	ifn_chemokine	-0.13649	0.7922	0.93219	-0.26346
GSE289287	CXCL11	ifn_chemokine	-0.13955	0.95645	1	0.05461
GSE289287	CXCL13	ifn_chemokine	-0.15888	0.20444	1	-1.269
GSE289287	CXCL9	ifn_chemokine	0.014316	0.93035	1	0.087409
GSE289287	GBP1	ifn_chemokine	-0.55446	0.21733	0.57881	-1.2337
GSE289287	GBP2	ifn_chemokine	-0.52859	0.13124	0.46777	-1.5092
GSE289287	GBP3	ifn_chemokine	-0.39233	0.36505	1	-0.90579
GSE289287	GBP4	ifn_chemokine	-0.45002	0.30587	0.67374	-1.0239
GSE289287	GBP5	ifn_chemokine	0.086082	0.70854	1	0.37382
GSE289287	BST2	ifn_isg	0.71052	0.013931	0.14953	2.459
GSE289287	DDX58	ifn_isg	0.88824	0.0048071	0.079584	2.8197
GSE289287	DTX3L	ifn_isg	-0.058687	0.86212	0.95782	-0.17367
GSE289287	EIF2AK2	ifn_isg	0.33847	0.18883	0.54426	1.314
GSE289287	HERC5	ifn_isg	0.27305	0.42254	0.75156	0.80202
GSE289287	HERC6	ifn_isg	0.72792	0.047598	0.29507	1.9809
GSE289287	IFI27	ifn_isg	0.66077	0.049818	0.30264	1.9615
GSE289287	IFI35	ifn_isg	0.66756	0.02122	0.18916	2.3041
GSE289287	IFI44	ifn_isg	1.3717	0.00011079	0.0068121	3.8657
GSE289287	IFI44L	ifn_isg	1.648	3.8654e-07	0.00010778	5.0755
GSE289287	IFI6	ifn_isg	0.88651	0.01474	0.1553	2.4387
GSE289287	IFIH1	ifn_isg	0.43099	0.16239	0.51038	1.3971
GSE289287	IFIT1	ifn_isg	0.90843	0.014902	0.15604	2.4348
GSE289287	IFIT2	ifn_isg	0.60374	0.071136	0.35702	1.8046
GSE289287	IFIT3	ifn_isg	0.96202	0.0048631	0.080036	2.816
GSE289287	IFITM1	ifn_isg	0	1	1	0
GSE289287	IFITM3	ifn_isg	1.0521	0.00082615	0.026485	3.3439
GSE289287	IRF1	ifn_isg	-0.27173	0.41957	0.74961	-0.80717
GSE289287	IRF7	ifn_isg	0.34037	0.31209	0.67961	1.0108
GSE289287	IRF8	ifn_isg	-0.19069	0.53212	1	-0.62478
GSE289287	IRF9	ifn_isg	0.46078	0.16583	1	1.3857
GSE289287	ISG15	ifn_isg	1.4402	9.9696e-06	0.0012323	4.4178
GSE289287	ISG20	ifn_isg	0.79516	0.03027	0.23265	2.1665
GSE289287	MX1	ifn_isg	0.9339	0.0077669	0.10551	2.662
GSE289287	MX2	ifn_isg	0.92887	0.010158	0.12234	2.5704
GSE289287	OAS1	ifn_isg	0.85697	0.0050879	0.081876	2.8014
GSE289287	OAS2	ifn_isg	0.81436	0.0070175	0.099105	2.696
GSE289287	OAS3	ifn_isg	0.83211	0.0060482	0.089758	2.7452
GSE289287	OASL	ifn_isg	0.67785	0.040847	0.27483	2.0451
GSE289287	PARP14	ifn_isg	0.3517	0.18528	0.5406	1.3247
GSE289287	PARP9	ifn_isg	0.14952	0.56573	0.83136	0.57435
GSE289287	RSAD2	ifn_isg	0.68997	0.053021	0.31072	1.9347
GSE289287	SAMD9	ifn_isg	0.33819	0.336	0.69905	0.96211
GSE289287	SAMD9L	ifn_isg	-0.14827	0.73007	0.90873	-0.34503
GSE289287	STAT1	ifn_isg	0.74428	0.013636	0.14756	2.4667
GSE289287	STAT2	ifn_isg	0.71135	0.0010543	0.030929	3.2756
GSE289287	USP18	ifn_isg	0.37268	0.19912	0.55703	1.2841
GSE289287	XAF1	ifn_isg	0.71149	0.040746	0.27447	2.0461
GSE289287	TACSTD2	perturbation	-3.2633	1.6227e-65	1.9456e-61	-17.095
GSE289287	CD274	tcell_cytotox	-0.014015	0.89962	1	0.12615
GSE289287	CD8A	tcell_cytotox	-0.30086	0.42107	1	-0.80457
GSE289287	FOXP3	tcell_cytotox	0	1	1	0
GSE289287	HAVCR2	tcell_cytotox	0.24274	0.39449	1	0.8515
GSE289287	KLRG1	tcell_cytotox	-0.33142	0.40099	1	-0.83985
