dataset	contrast	organism	perturbation	gene_set	n_detected	direction	comp_rank_biserial	comp_p	mean_log2FC	n_up	n_down	wilcoxon_p
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	tight_junction	23	down	-0.5883	1.042e-06	-0.6213	2	21	1.311e-05
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	adherens	11	down	-0.1158	0.506	-0.2429	4	7	0.3652
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	desmosome	13	down	-0.84	1.571e-07	-2.017	0	13	0.0002441
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	ifn_isg	32	up	0.2662	0.009168	0.1182	20	12	0.01051
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	ifn_chemokine	10	up	0.5716	0.001749	0.3581	8	2	0.2324
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	antigen_presentation	16	up	0.5393	0.0001881	0.2498	14	2	0.0001526
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	tcell_cytotox	18	up	0.6573	1.382e-06	0.5493	16	2	0.000145
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	CLDN4_headline	1					0	1	
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	junctions	47	down	-0.5483	7.961e-11	-0.9188	6	41	7.038e-09
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	mouse	KO	ifn_immune	76	up	0.458	5.197e-12	0.2796	58	18	5.937e-08
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	tight_junction	27	up	0.1366	0.219	0.07163	15	12	0.2109
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	adherens	11	down	-0.004095	0.9812	0.01914	5	6	0.9658
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	desmosome	14	up	0.198	0.1993	0.05226	9	5	0.2958
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	ifn_isg	38	up	0.728	7.765e-15	0.6213	33	4	3.026e-07
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	ifn_chemokine	10	down	-0.2556	0.1615	-0.1456	3	7	0.1602
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	antigen_presentation	18	up	0.2338	0.08577	0.05572	12	5	0.4925
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	tcell_cytotox	8	down	-0.1779	0.3834	-0.1599	1	4	0.1875
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	CLDN4_headline	1					1	0	
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	junctions	52	up	0.1235	0.1231	0.05531	29	23	0.1663
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	human	KO	ifn_immune	74	up	0.3775	1.923e-08	0.2957	49	20	4.491e-05
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	tight_junction	28	down	-0.3647	0.0008334	-0.5854	5	23	4.211e-05
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	adherens	11	down	-0.4171	0.01659	-0.3397	2	9	0.01855
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	desmosome	9	down	-0.7676	6.66e-05	-0.5021	0	9	0.003906
