dataset	contrast	log2FC	pvalue	padj	t_pvalue	t_fdr	mwu_pvalue	cohens_d
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	-0.8176			0.2529	0.9363	0.4206	-0.788
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	0.2844	0.1292	0.4664				
GSE245459	Human ovarian, shTACSTD2 vs shNC	-1.915			3.289e-05	0.003655	0.1	-19.02
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	0.2739			0.2738	0.5886	0.4936	0.5277
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	-0.9134	4.338e-06	0.0002065				
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	-0.1277	0.3679	0.5998				
