dataset	gene	panels	log2FC	pvalue	padj	wald_stat
GSE289287_DSG2tumor	AFDN	adherens	0.26213	0.21985	0.47966	1.2269
GSE289287_DSG2tumor	CDH1	adherens	-0.10189	0.63804	0.82353	-0.47044
GSE289287_DSG2tumor	CDH2	adherens	0.84213	0.019972	0.11033	2.3269
GSE289287_DSG2tumor	CTNNA1	adherens	0.15259	0.25526	0.51946	1.1377
GSE289287_DSG2tumor	CTNNB1	adherens	0.043089	0.68103	0.84861	0.41106
GSE289287_DSG2tumor	CTNND1	adherens	0.31474	0.066108	0.2362	1.8377
GSE289287_DSG2tumor	EPCAM	adherens	-0.41376	0.0038018	0.035674	-2.8942
GSE289287_DSG2tumor	NECTIN1	adherens	-0.093419	0.73563	0.87741	-0.33764
GSE289287_DSG2tumor	NECTIN2	adherens	-0.45974	0.03799	0.16842	-2.075
GSE289287_DSG2tumor	NECTIN3	adherens	0.18742	0.58012	0.7882	0.55321
GSE289287_DSG2tumor	NECTIN4	adherens	0.031657	0.8517	0.93566	0.18695
GSE289287_DSG2tumor	B2M	antigen_presentation	1.03	6.5018e-05	0.0017233	3.9938
GSE289287_DSG2tumor	CIITA	antigen_presentation	0.30398	0.43097	1	0.78754
GSE289287_DSG2tumor	HLA-A	antigen_presentation	1.3538	0.00019788	0.0040999	3.7217
GSE289287_DSG2tumor	HLA-B	antigen_presentation	0.98974	0.00050241	0.008397	3.4795
GSE289287_DSG2tumor	HLA-C	antigen_presentation	0.94119	0.0013906	0.017474	3.1966
GSE289287_DSG2tumor	HLA-DMA	antigen_presentation	-0.079254	0.6723	0.84364	-0.42299
GSE289287_DSG2tumor	HLA-DPA1	antigen_presentation	1.1544	0.0059708	0.049062	2.7494
GSE289287_DSG2tumor	HLA-DRA	antigen_presentation	1.2021	0.0077195	0.058145	2.6641
GSE289287_DSG2tumor	HLA-DRB1	antigen_presentation	0.28951	0.63659	0.82286	0.47247
GSE289287_DSG2tumor	HLA-E	antigen_presentation	1.0678	0.00034877	0.006336	3.5761
GSE289287_DSG2tumor	HLA-F	antigen_presentation	1.5291	5.6579e-07	4.072e-05	5.0025
GSE289287_DSG2tumor	NLRC5	antigen_presentation	1.2411	0.012103	0.079393	2.5091
GSE289287_DSG2tumor	PSMB10	antigen_presentation	0.076037	0.77135	1	0.2906
GSE289287_DSG2tumor	PSMB8	antigen_presentation	1.0614	0.00041967	0.0072894	3.5274
GSE289287_DSG2tumor	PSMB9	antigen_presentation	1.2304	0.00031091	0.0057944	3.606
GSE289287_DSG2tumor	TAP1	antigen_presentation	0.54391	0.040107	0.17456	2.0526
GSE289287_DSG2tumor	TAP2	antigen_presentation	0.28667	0.24451	0.50718	1.1638
GSE289287_DSG2tumor	TAPBP	antigen_presentation	0.15465	0.44269	0.69261	0.76765
GSE289287_DSG2tumor	DSC1	desmosome	1.1437	0.019865	0.10994	2.3289
GSE289287_DSG2tumor	DSC2	desmosome	0.50203	0.016699	0.098138	2.3933
GSE289287_DSG2tumor	DSC3	desmosome	-0.22434	0.48142	1	-0.70402
GSE289287_DSG2tumor	DSG1	desmosome	0.70035	0.1076	1	1.6091
GSE289287_DSG2tumor	DSG2	desmosome	-0.87312	0.0024936	0.026508	-3.0241
GSE289287_DSG2tumor	DSG3	desmosome	0.14574	0.61647	1	0.50087
GSE289287_DSG2tumor	DSP	desmosome	0.13111	0.50662	0.74143	0.66411
GSE289287_DSG2tumor	EVPL	desmosome	0.28777	0.27659	0.54087	1.088
GSE289287_DSG2tumor	JUP	desmosome	-0.073545	0.73084	0.87512	-0.34401
GSE289287_DSG2tumor	PERP	desmosome	-0.2143	0.44073	0.69107	-0.77096
GSE289287_DSG2tumor	PKP1	desmosome	1.3467	0.0030817	0.030903	2.9595
GSE289287_DSG2tumor	PKP2	desmosome	0.16207	0.72965	0.87449	0.34559
GSE289287_DSG2tumor	PKP3	desmosome	0.37305	0.0078701	0.058838	2.6576
GSE289287_DSG2tumor	PPL	desmosome	-0.012075	0.96388	0.98503	-0.045289
GSE289287_DSG2tumor	CLDN4	headline;tight_junction	-0.91343	4.3381e-06	0.0002065	-4.5945
GSE289287_DSG2tumor	CCL5	ifn_chemokine	0.29793	0.3556	0.61433	0.92378
GSE289287_DSG2tumor	CXCL10	ifn_chemokine	0.87741	0.054037	0.20907	1.9265
GSE289287_DSG2tumor	CXCL11	ifn_chemokine	1.3992	0.0074892	0.056838	2.6743
GSE289287_DSG2tumor	CXCL13	ifn_chemokine	-0.11127	1	1	-0.47669
GSE289287_DSG2tumor	CXCL9	ifn_chemokine	0.003611	0.96934	1	0.038437
GSE289287_DSG2tumor	GBP1	ifn_chemokine	1.9565	1.9433e-06	0.00011	4.7592
GSE289287_DSG2tumor	GBP2	ifn_chemokine	0.86522	0.0092638	0.066229	2.6022
GSE289287_DSG2tumor	GBP3	ifn_chemokine	0.40883	0.48056	0.72178	0.7054
GSE289287_DSG2tumor	GBP4	ifn_chemokine	0.83159	0.056586	0.21559	1.9065
GSE289287_DSG2tumor	GBP5	ifn_chemokine	0.10218	0.67938	1	0.41331
