accession	entrytype	taxon	n_samples	gdstype	gpl	suppfile	title
GSE114326	GSE	Homo sapiens	11	Expression profiling by high throughput sequencing	16791	XLSX	Transcriptome profiling of CXCR2+ neuroendocrine (NE) tumor cells purified from patients' fresh prostate adenocarcinoma
GSE15212	GSE	Homo sapiens	51	Expression profiling by array	4133	TXT	Identification and validation of NOL5A and RPS2 as potential therapeutic targtes in colorectal cancer
GSE227698	GSE	Homo sapiens	18	Expression profiling by high throughput sequencing	20301	TXT	G0S2 promotes antiestrogenic and pro-migratory responses in ER+ and ER- breast cancer cells.
GSE280834	GSE	Mus musculus	17	Genome binding/occupancy profiling by high throughput sequencing	17021	BED, BW	Divergently evolved FOXA1 mutations drive prostate tumorigenesis or therapy-resistant intra-luminal plasticity [ChIP-seq]
GSE280835	GSE	Mus musculus	38	Expression profiling by high throughput sequencing	17021	CSV	Divergent FOXA1 mutations drive prostate tumorigenesis or therapy-resistant intra-luminal plasticity [RNA-Seq]
GSE280836	GSE	Mus musculus	4	Expression profiling by high throughput sequencing	24247	H5	Divergently evolved FOXA1 mutations drive prostate tumorigenesis or therapy-resistant intra-luminal plasticity [scRNA-Seq]
GSE280876	GSE	Mus musculus	54	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	24247	H5	Divergently evolved FOXA1 mutations drive prostate tumorigenesis or therapy-resistant intra-luminal plasticity [Single-cell Multiome]
GSE289287	GSE	Homo sapiens	23	Expression profiling by high throughput sequencing	24676	TSV	Trop-2 governs anti-metastatic desmosomal integrity
GSE33348	GSE	Mus musculus	15	Expression profiling by array	6246	CEL	The Rho Exchange Factors Vav2 and Vav3 Control a Lung Metastasis–Specific Transcriptional Program in Breast Cancer Cells
GSE334497	GSE	Mus musculus	10	Expression profiling by high throughput sequencing	21103	CSV	TROP2/claudin program mediates immune exclusion to impede checkpoint blockade in breast cancer
GSE42112	GSE	Homo sapiens	13	Expression profiling by array	13497	TXT	Comparison of extravillous trophoblast cells derived from human embryonic stem cells and from first trimester human placentas
GSE75748	GSE	Homo sapiens	1810	Expression profiling by high throughput sequencing	16791	CSV	Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors
GSM1032691	GSM	Homo sapiens			13497	TXT	hESC_BMP4treated_HLAG-/TROP2+_rep1
GSM1032693	GSM	Homo sapiens			13497	TXT	hESC_BMP4treated_HLAG-/TROP2+_rep2
GSM1032695	GSM	Homo sapiens			13497	TXT	hESC_BMP4treated_HLAG-/TROP2+_rep3
GSM1032697	GSM	Homo sapiens			13497	TXT	placental trophoblast_HLAG-/TROP2+_rep1
GSM1032699	GSM	Homo sapiens			13497	TXT	placental trophoblast_HLAG-/TROP2+_rep2
GSM1032701	GSM	Homo sapiens			13497	TXT	placental trophoblast_HLAG-/TROP2+_rep3
GSM379987	GSM	Homo sapiens			4133	TXT	TACSTD2.1.72h.4
GSM379988	GSM	Homo sapiens			4133	TXT	TACSTD2.1.72h.5
GSM379989	GSM	Homo sapiens			4133	TXT	TACSTD2.1.72h.6
GSM379990	GSM	Homo sapiens			4133	TXT	TACSTD2.4.72h.4
GSM379991	GSM	Homo sapiens			4133	TXT	TACSTD2.4.72h.5
GSM379992	GSM	Homo sapiens			4133	TXT	TACSTD2.4.72h.6
