	junctions	tight_junction	desmosome	ifn_immune	ifn_isg	antigen_presentation	tcell_cytotox
Mouse 4T1 breast, Trop2 KO vs WT (tumour)	down ***	down ***	down ***	up ***	up **	up ***	up ***
Human T-47D breast, Trop-2 KO vs WT (xenograft)	up ns	up ns	up ns	up ***	up ***	up ns	down ns
Human ovarian, shTACSTD2 vs shNC	down ***	down ***	down ***	down ***	down ***	down ***	up ns
Human colorectal RKO, siTACSTD2 vs neg-ctrl	down ns	down ns	down ns	up **	up ***	down ns	down ns
Human T-47D, DSG2 KO vs WT (xenograft) [partner]	down ns	down *	up ns	up ***	up ***	up ***	up ns
Human T-47D, DSG2 KO vs WT (cells) [partner]	up ns	down ns	down ns	up ***	up ***	up **	down ns
