dataset	gene	panels	log2FC	mean_case	mean_ctrl	t_pvalue	t_fdr	mwu_pvalue	cohens_d
GSE334497	AFDN	adherens	-0.19128	10.902	11.093	0.58289	0.97392	0.30952	-0.36381
GSE334497	CDH1	adherens	-0.9594	10.22	11.18	0.1133	0.89597	0.095238	-1.1661
GSE334497	CDH2	adherens	0.37961	5.2924	4.9128	0.21311	0.93162	0.42063	0.91432
GSE334497	CTNNA1	adherens	-0.01529	11.337	11.352	0.95554	0.99595	0.84127	-0.036582
GSE334497	CTNNB1	adherens	0.22803	13.527	13.299	0.20193	0.92856	0.15079	0.88016
GSE334497	CTNND1	adherens	-0.18882	9.8504	10.039	0.58486	0.97392	0.42063	-0.36403
GSE334497	EPCAM	adherens	-1.2623	10.204	11.466	0.021469	0.81745	0.015873	-1.8943
GSE334497	NECTIN1	adherens	-0.56756	8.5444	9.1119	0.26452	0.93821	0.54762	-0.77566
GSE334497	NECTIN2	adherens	0.20704	8.4371	8.2301	0.43588	0.96392	0.54762	0.53269
GSE334497	NECTIN3	adherens	0.21154	9.3883	9.1768	0.52006	0.96956	0.54762	0.4292
GSE334497	NECTIN4	adherens	-0.51362	5.6727	6.1864	0.31767	0.95126	0.30952	-0.67448
GSE334497	B2M	antigen_presentation	0.41019	15.109	14.699	0.04016	0.84935	0.095238	1.8196
GSE334497	CIITA	antigen_presentation	0.40215	9.8447	9.4425	0.29533	0.94967	0.42063	0.71619
GSE334497	H2-AA	antigen_presentation	0.65028	13.914	13.264	0.0017868	0.70557	0.0079365	2.9284
GSE334497	H2-AB1	antigen_presentation	0.33695	12.566	12.229	0.16897	0.9139	0.30952	0.99091
GSE334497	H2-D1	antigen_presentation	0.064365	13.512	13.447	0.77525	0.98149	0.69048	0.187
GSE334497	H2-EB1	antigen_presentation	0.41398	12.034	11.62	0.13939	0.90896	0.22222	1.0797
GSE334497	H2-K1	antigen_presentation	0.13283	12.811	12.678	0.46141	0.96474	0.69048	0.49108
GSE334497	H2-Q7	antigen_presentation	-0.049825	9.6871	9.737	0.83296	0.98389	1	-0.13945
GSE334497	H2-T23	antigen_presentation	0.13987	10.497	10.357	0.60782	0.97392	0.69048	0.34044
GSE334497	NLRC5	antigen_presentation	0.5075	11.479	10.971	0.30948	0.95086	0.54762	0.68632
GSE334497	PSMB10	antigen_presentation	0.11499	10.341	10.226	0.63043	0.97427	0.69048	0.31645
GSE334497	PSMB8	antigen_presentation	0.15863	10.608	10.449	0.627	0.97427	0.84127	0.32145
GSE334497	PSMB9	antigen_presentation	0.24165	10.107	9.8651	0.37834	0.95904	0.42063	0.59156
GSE334497	TAP1	antigen_presentation	0.28016	10.854	10.574	0.36675	0.9579	0.69048	0.6308
GSE334497	TAP2	antigen_presentation	0.19894	9.9349	9.7359	0.57511	0.97284	0.54762	0.37773
GSE334497	TAPBP	antigen_presentation	-0.0056602	11.935	11.94	0.98695	0.99902	0.69048	-0.010786
GSE334497	DSC1	desmosome	-5.2329	-1	4.2329	0.05587	0.87142	0.02537	-1.688
GSE334497	DSC2	desmosome	-1.6938	6.2247	7.9185	0.017221	0.78652	0.031746	-2.1787
GSE334497	DSC3	desmosome	-5.956	-1	4.956	0.057625	0.87142	0.02537	-1.6692
GSE334497	DSG2	desmosome	-1.3435	8.0827	9.4262	0.0385	0.84935	0.055556	-1.6285
GSE334497	DSG3	desmosome	-3.781	0.31714	4.0981	0.044877	0.85926	0.036145	-1.6282
GSE334497	DSP	desmosome	-1.0624	9.4005	10.463	0.15815	0.91288	0.22222	-0.99344
GSE334497	EVPL	desmosome	-1.0696	5.8139	6.8835	0.10216	0.88884	0.095238	-1.2017
GSE334497	JUP	desmosome	-0.56596	9.9132	10.479	0.40163	0.96216	0.22222	-0.56304
GSE334497	PERP	desmosome	-1.6548	8.5153	10.17	0.0021735	0.70821	0.0079365	-2.8363
GSE334497	PKP1	desmosome	-2.7713	4.7662	7.5376	0.048186	0.86593	0.015873	-1.5147
GSE334497	PKP2	desmosome	-0.30713	8.0745	8.3816	0.12855	0.90514	0.22222	-1.0957
GSE334497	PKP3	desmosome	-0.68491	8.9445	9.6295	0.034734	0.83707	0.055556	-1.627
GSE334497	PPL	desmosome	-0.10095	9.2034	9.3044	0.7715	0.98102	0.84127	-0.19192
GSE334497	CLDN4	headline;tight_junction	-0.81761	10.342	11.16	0.2529	0.93634	0.42063	-0.78801
GSE334497	CCL5	ifn_chemokine	-0.67406	4.7554	5.4295	0.23448	0.93628	0.69048	-0.86415
GSE334497	CXCL10	ifn_chemokine	0.56553	8.1585	7.593	0.06753	0.87965	0.031746	1.3586
GSE334497	CXCL11	ifn_chemokine	0.44162	7.8605	7.4189	0.26808	0.94028	0.69048	0.75644
GSE334497	CXCL13	ifn_chemokine	-0.74784	6.1527	6.9006	0.41031	0.96244	0.69048	-0.55449
GSE334497	CXCL9	ifn_chemokine	1.0819	11.119	10.037	0.0062124	0.71347	0.015873	2.3419
GSE334497	GBP2	ifn_chemokine	0.40526	12.149	11.744	0.13157	0.90769	0.095238	1.0624
GSE334497	GBP3	ifn_chemokine	0.48772	10.638	10.151	0.094242	0.88884	0.055556	1.2131
GSE334497	GBP4	ifn_chemokine	0.73453	11.993	11.259	0.13937	0.90896	0.15079	1.1012
GSE334497	GBP5	ifn_chemokine	0.71155	9.6719	8.9603	0.097922	0.88884	0.15079	1.263
GSE334497	GBP6	ifn_chemokine	0.57498	8.2473	7.6723	0.18812	0.91894	0.22222	0.95009
GSE334497	BST2	ifn_isg	0.094011	10.179	10.085	0.74518	0.97917	1	0.21291
GSE334497	DTX3L	ifn_isg	0.12934	11.071	10.942	0.5943	0.97392	1	0.35894
GSE334497	EIF2AK2	ifn_isg	-0.084045	10.296	10.38	0.55861	0.97114	0.69048	-0.38885
GSE334497	HERC6	ifn_isg	0.67386	10.408	9.734	0.07152	0.87965	0.30952	1.5345
GSE334497	IFI27	ifn_isg	0.22248	9.8962	9.6737	0.41576	0.96244	0.54762	0.5496
GSE334497	IFI35	ifn_isg	-0.16141	8.7262	8.8877	0.55612	0.97114	0.69048	-0.39556
GSE334497	IFI44	ifn_isg	0.061078	10.511	10.45	0.85972	0.9862	0.54762	0.11838
GSE334497	IFI44L	ifn_isg	0.21628	8.3093	8.093	0.43094	0.96244	0.30952	0.53059
GSE334497	IFIH1	ifn_isg	-0.11094	9.6678	9.7788	0.63154	0.97427	0.54762	-0.3202
GSE334497	IFIT1	ifn_isg	-0.021255	8.6602	8.6814	0.94273	0.99357	1	-0.046893
GSE334497	IFIT2	ifn_isg	-0.018842	8.9808	8.9997	0.93697	0.99262	1	-0.051637
GSE334497	IFIT3	ifn_isg	0.14963	7.5696	7.42	0.67777	0.97461	0.54762	0.27293
GSE334497	IFITM1	ifn_isg	0.8918	9.7463	8.8545	0.13515	0.90769	0.15079	1.0586
GSE334497	IFITM3	ifn_isg	-0.01704	11.752	11.77	0.94571	0.99392	1	-0.044508
GSE334497	IRF1	ifn_isg	0.26883	11.126	10.857	0.17895	0.91507	0.54762	1.0018
GSE334497	IRF7	ifn_isg	-0.18272	8.6846	8.8674	0.6167	0.97427	0.84127	-0.33476
GSE334497	IRF8	ifn_isg	0.15863	10.003	9.8446	0.34175	0.95563	0.42063	0.63957
GSE334497	IRF9	ifn_isg	0.12232	9.7544	9.6321	0.36287	0.95728	0.22222	0.62667
GSE334497	ISG15	ifn_isg	-0.090851	7.9604	8.0513	0.8389	0.98389	0.69048	-0.13284
GSE334497	ISG20	ifn_isg	-0.23378	8.2485	8.4823	0.35878	0.95725	0.42063	-0.61579
GSE334497	MX1	ifn_isg	0.16067	6.9809	6.8202	0.66555	0.97461	0.42063	0.28745
GSE334497	MX2	ifn_isg	0.23033	6.7774	6.547	0.56328	0.97168	0.42063	0.3934
GSE334497	OAS2	ifn_isg	-0.10459	7.611	7.7156	0.80498	0.98239	1	-0.16143
GSE334497	OAS3	ifn_isg	-0.45823	7.6193	8.0775	0.42056	0.96244	0.84127	-0.54772
GSE334497	PARP14	ifn_isg	0.25409	11.663	11.409	0.5013	0.96722	0.69048	0.45124
