dataset	gene	panels	log2FC	pvalue	padj	wald_stat
GSE289287_DSG2cell	AFDN	adherens	0.40316	0.16404	0.36992	1.3916
GSE289287_DSG2cell	CDH1	adherens	0.096204	0.60034	0.78471	0.52391
GSE289287_DSG2cell	CDH2	adherens	1.5863	4.3002e-05	0.00074091	4.0907
GSE289287_DSG2cell	CTNNA1	adherens	0.2016	0.1298	0.31839	1.5149
GSE289287_DSG2cell	CTNNB1	adherens	0.15957	0.10104	0.27234	1.6398
GSE289287_DSG2cell	CTNND1	adherens	0.24496	0.20749	0.42655	1.2605
GSE289287_DSG2cell	EPCAM	adherens	0.038981	0.71752	0.85709	0.36177
GSE289287_DSG2cell	NECTIN1	adherens	-0.16523	0.24639	0.47482	-1.1592
GSE289287_DSG2cell	NECTIN2	adherens	-0.68365	1.1529e-08	5.1751e-07	-5.7066
GSE289287_DSG2cell	NECTIN3	adherens	0.104	0.73955	0.86826	0.33246
GSE289287_DSG2cell	NECTIN4	adherens	0.12333	0.46311	0.68342	0.73373
GSE289287_DSG2cell	B2M	antigen_presentation	-0.080715	0.66309	0.82469	-0.43565
GSE289287_DSG2cell	CIITA	antigen_presentation	0.013041	0.9308	1	0.086844
GSE289287_DSG2cell	HLA-A	antigen_presentation	1.118	8.0793e-07	2.402e-05	4.9334
GSE289287_DSG2cell	HLA-B	antigen_presentation	0.2232	0.048355	0.16604	1.9742
GSE289287_DSG2cell	HLA-C	antigen_presentation	-0.26748	0.22259	0.44581	-1.2197
GSE289287_DSG2cell	HLA-DMA	antigen_presentation	0.23718	0.37195	0.60373	0.89283
GSE289287_DSG2cell	HLA-DPA1	antigen_presentation	0.84975	0.02888	0.11722	2.1851
GSE289287_DSG2cell	HLA-DRA	antigen_presentation	0.78034	0.0093921	0.053092	2.5974
GSE289287_DSG2cell	HLA-DRB1	antigen_presentation	0.24385	0.2576	0.48747	1.1321
GSE289287_DSG2cell	HLA-E	antigen_presentation	0.30109	0.17424	0.38331	1.3587
GSE289287_DSG2cell	HLA-F	antigen_presentation	1.2028	0.00050431	0.0054923	3.4785
GSE289287_DSG2cell	NLRC5	antigen_presentation	0.040449	0.90928	0.95605	0.11395
GSE289287_DSG2cell	PSMB10	antigen_presentation	-0.014119	0.94463	1	-0.069456
GSE289287_DSG2cell	PSMB8	antigen_presentation	0.93981	0.0011962	0.01087	3.2398
GSE289287_DSG2cell	PSMB9	antigen_presentation	0.93661	0.00028372	0.0035179	3.6297
GSE289287_DSG2cell	TAP1	antigen_presentation	0.3963	0.030458	0.12125	2.1641
GSE289287_DSG2cell	TAP2	antigen_presentation	0.032768	0.84423	0.92674	0.19649
GSE289287_DSG2cell	TAPBP	antigen_presentation	-0.6349	2.5073e-07	8.3861e-06	-5.1572
GSE289287_DSG2cell	DSC1	desmosome	0.3091	0.35316	0.58716	0.92848
GSE289287_DSG2cell	DSC2	desmosome	-0.13187	0.40656	0.63382	-0.82996
GSE289287_DSG2cell	DSG2	desmosome	-1.4494	3.9408e-09	1.9414e-07	-5.8867
GSE289287_DSG2cell	DSP	desmosome	-0.61385	1.1969e-08	5.3377e-07	-5.7002
GSE289287_DSG2cell	EVPL	desmosome	-0.078864	0.73949	0.86826	-0.33253
GSE289287_DSG2cell	JUP	desmosome	0.026383	0.83302	0.92029	0.21082
GSE289287_DSG2cell	PERP	desmosome	-0.18728	0.085336	0.24367	-1.7205
GSE289287_DSG2cell	PKP1	desmosome	0.28829	0.24367	1	1.1659
GSE289287_DSG2cell	PKP2	desmosome	0.28872	0.37133	0.6031	0.89398
GSE289287_DSG2cell	PKP3	desmosome	-0.067091	0.53923	0.74064	-0.61398
GSE289287_DSG2cell	PPL	desmosome	0.31512	0.20956	0.42912	1.2548
GSE289287_DSG2cell	CLDN4	headline;tight_junction	-0.12769	0.36795	0.59981	-0.90032
