dataset	gene	panels	log2FC	mean_case	mean_ctrl	t_pvalue	t_fdr	mwu_pvalue	cohens_d
GSE15212	CDH1	adherens	-0.091873	10.51	10.602	0.64198	0.84279	0.55322	-0.27424
GSE15212	CDH2	adherens	-0.0059992	6.543	6.549	0.92911	0.9726	0.55322	-0.033229
GSE15212	CTNNA1	adherens	0.08934	13.688	13.598	0.083759	0.33918	0.083064	0.88146
GSE15212	CTNNB1	adherens	0.14597	14.288	14.142	0.30243	0.61504	0.55322	0.62947
GSE15212	CTNND1	adherens	-0.063561	8.1525	8.216	0.72184	0.88314	0.82008	-0.22535
GSE15212	EPCAM	adherens	0.097044	16.066	15.969	0.33073	0.63791	0.43708	0.55515
GSE15212	B2M	antigen_presentation	-0.12995	14.081	14.211	0.4209	0.70552	0.68197	-0.57465
GSE15212	CIITA	antigen_presentation	-0.077594	8.8767	8.9543	0.5723	0.80061	0.68197	-0.28401
GSE15212	HLA-A	antigen_presentation	-0.11796	13.456	13.574	0.099434	0.36869	0.083064	-1.0778
GSE15212	HLA-B	antigen_presentation	-0.015642	15.073	15.089	0.8413	0.93656	0.96359	-0.10873
GSE15212	HLA-C	antigen_presentation	0.14739	16.245	16.097	0.007208	0.095665	0.013467	1.4751
GSE15212	HLA-DMA	antigen_presentation	-0.12156	9.0909	9.2125	0.19415	0.50161	0.1797	-0.77441
GSE15212	HLA-DPA1	antigen_presentation	-0.29137	7.9288	8.2202	0.090859	0.35399	0.12465	-1.0128
GSE15212	HLA-DRA	antigen_presentation	0.012375	6.3102	6.2978	0.79233	0.91664	0.82008	0.1476
GSE15212	HLA-DRB1	antigen_presentation	0.0078842	10.839	10.831	0.94836	0.98027	0.82008	0.039609
GSE15212	HLA-E	antigen_presentation	0.099537	14.705	14.605	0.2257	0.53858	0.24962	0.81496
GSE15212	HLA-F	antigen_presentation	-0.044489	13.681	13.725	0.53757	0.78263	0.49364	-0.38282
GSE15212	NLRC5	antigen_presentation	-0.18889	9.0274	9.2163	0.29375	0.60625	0.49364	-0.76046
GSE15212	PSMB10	antigen_presentation	0.10553	13.32	13.214	0.14725	0.44101	0.21289	0.89898
GSE15212	PSMB8	antigen_presentation	0.030033	10.102	10.072	0.84546	0.93866	1	0.11253
GSE15212	PSMB9	antigen_presentation	-0.019116	12.523	12.542	0.92274	0.97015	1	-0.070061
GSE15212	TAP1	antigen_presentation	0.16423	12.701	12.536	0.025006	0.18434	0.031997	1.5632
GSE15212	TAP2	antigen_presentation	-0.15453	8.5346	8.6891	0.23892	0.55263	0.083064	-0.75344
GSE15212	TAPBP	antigen_presentation	-0.27257	11.531	11.803	0.20285	0.51239	0.33549	-0.99193
GSE15212	DSC1	desmosome	0.030681	6.4599	6.4292	0.26477	0.57906	0.43708	0.62695
GSE15212	DSC2	desmosome	-0.034351	7.1342	7.1685	0.61359	0.82602	0.49364	-0.21915
GSE15212	DSC3	desmosome	0.030338	6.0995	6.0691	0.24784	0.5628	0.33549	0.64235
GSE15212	DSG1	desmosome	-0.070228	6.2822	6.3524	0.23115	0.54488	0.38451	-0.49808
GSE15212	DSG2	desmosome	-0.17776	9.0775	9.2553	0.15396	0.45046	0.1797	-1.0647
GSE15212	DSG3	desmosome	0.035186	6.3236	6.2885	0.35144	0.65353	0.38451	0.47426
GSE15212	DSG4	desmosome	-0.063587	6.551	6.6146	0.31126	0.62185	0.38451	-0.5383
GSE15212	DSP	desmosome	0.12883	13.501	13.372	0.39435	0.68654	0.38451	0.52411
GSE15212	EVPL	desmosome	-0.14972	11.536	11.686	0.39306	0.68549	0.24146	-0.57141
GSE15212	JUP	desmosome	-0.020648	11.41	11.43	0.87807	0.95331	0.96359	-0.081745
GSE15212	PERP	desmosome	-0.13675	13.607	13.743	0.35606	0.65724	1	-0.70129
GSE15212	PKP1	desmosome	-0.15256	6.7405	6.893	0.12251	0.40653	0.10246	-0.88499
GSE15212	PKP2	desmosome	-0.41019	10.019	10.429	0.075944	0.32192	0.083064	-1.166
GSE15212	PKP3	desmosome	-0.12753	14.592	14.719	0.10147	0.37219	0.083064	-1.2636
GSE15212	PPL	desmosome	-0.094008	10.724	10.818	0.37932	0.67578	0.1797	-0.65618
GSE15212	CLDN4	headline;tight_junction	0.27386	11.086	10.812	0.27376	0.58861	0.49364	0.52767
GSE15212	CCL5	ifn_chemokine	-0.067084	6.6207	6.6878	0.40305	0.69318	0.33549	-0.49022
GSE15212	CXCL10	ifn_chemokine	0.0062167	6.2177	6.2114	0.82487	0.92931	1	0.14373
GSE15212	CXCL11	ifn_chemokine	0.14681	6.4915	6.3447	0.24604	0.56006	0.10246	0.8982
GSE15212	CXCL13	ifn_chemokine	-0.04585	6.1671	6.2129	0.20078	0.50987	0.32515	-0.55116
GSE15212	CXCL9	ifn_chemokine	-0.013999	6.6366	6.6506	0.7202	0.88217	0.29078	-0.19128
GSE15212	GBP1	ifn_chemokine	0.10148	7.6536	7.5522	0.23438	0.54844	0.10246	0.6102
GSE15212	GBP2	ifn_chemokine	0.29331	7.2193	6.926	0.060793	0.2873	0.083064	1.6048
GSE15212	GBP3	ifn_chemokine	0.38937	9.901	9.5116	0.2148	0.52559	0.21289	0.61639
GSE15212	GBP4	ifn_chemokine	-0.051418	9.0329	9.0843	0.64205	0.84279	0.89162	-0.21146
GSE15212	GBP5	ifn_chemokine	0.36215	7.4261	7.064	0.13307	0.42252	0.55322	1.2829
GSE15212	GBP6	ifn_chemokine	-0.047688	13.735	13.783	0.69379	0.8711	0.75027	-0.21019
GSE15212	BST2	ifn_isg	0.003645	9.138	9.1343	0.96144	0.98442	0.89162	0.027944
GSE15212	DDX58	ifn_isg	0.17225	8.7023	8.53	0.17899	0.48317	0.29078	0.67132
GSE15212	DTX3L	ifn_isg	0.1729	8.1892	8.0163	0.23991	0.55343	0.24962	0.76822
GSE15212	EIF2AK2	ifn_isg	0.0069858	12.245	12.238	0.96968	0.98813	1	0.027486
GSE15212	HERC5	ifn_isg	0.13596	8.0503	7.9143	0.40969	0.69767	0.61646	0.47821
