dataset	gene	panels	log2FC	mean_case	mean_ctrl	t_pvalue	t_fdr	mwu_pvalue	cohens_d
GSE245459	AFDN	adherens	-0.33418	3.3177	3.6519	0.0075302	0.042209	0.1	-7.4728
GSE245459	CDH1	adherens	-0.039822	0	0.039822	0.19035	0.37718	0.19671	-1.5929
GSE245459	CDH2	adherens	-0.9279	0.82306	1.751	0.0011652	0.014548	0.1	-8.6576
GSE245459	CTNNA1	adherens	-0.41485	5.5888	6.0037	0.00016698	0.0061222	0.1	-19.935
GSE245459	CTNNB1	adherens	-0.075544	4.9658	5.0413	0.22818	0.42231	0.4	-1.2346
GSE245459	CTNND1	adherens	0.020314	0.94055	0.92023	0.75273	0.82652	1	0.29089
GSE245459	EPCAM	adherens	-1.253	0.063086	1.3161	0.00015363	0.0059022	0.1	-19.647
GSE245459	NECTIN1	adherens	0.21246	3.4401	3.2277	0.065157	0.18106	0.1	2.1973
GSE245459	NECTIN2	adherens	-0.25535	5.0786	5.3339	0.0025666	0.022338	0.1	-5.5374
GSE245459	NECTIN3	adherens	-0.65762	0.0040249	0.66164	8.3302e-06	0.0027037	0.076523	-58.522
GSE245459	NECTIN4	adherens	-0.010978	0.0089363	0.019914	0.6522	0.7451	1	-0.41065
GSE245459	B2M	antigen_presentation	-0.51106	6.368	6.8791	0.0026827	0.022916	0.1	-15.282
GSE245459	CIITA	antigen_presentation	0.01794	0.10863	0.090687	0.042392	0.13437	0.1	2.4531
GSE245459	HLA-A	antigen_presentation	-4.1661	0.12395	4.2901	1.0382e-07	0.00067073	0.1	-85.012
GSE245459	HLA-B	antigen_presentation	-0.34959	5.3239	5.6735	0.0097427	0.050067	0.1	-3.7945
GSE245459	HLA-C	antigen_presentation	-0.40168	7.1079	7.5096	0.003873	0.028269	0.1	-5.1812
GSE245459	HLA-DMA	antigen_presentation	-0.56971	0.37413	0.94384	0.020063	0.080056	0.1	-4.9834
GSE245459	HLA-DPA1	antigen_presentation	-0.096616	0.055254	0.15187	0.13706	0.30973	0.2	-1.5523
GSE245459	HLA-DRB1	antigen_presentation	-0.13131	0	0.13131	0.20344	0.39431	0.19671	-1.5214
GSE245459	HLA-E	antigen_presentation	-0.78556	4.7829	5.5685	6.6488e-05	0.0044157	0.1	-15.824
GSE245459	HLA-F	antigen_presentation	-0.65345	0.30331	0.95676	0.00012994	0.005566	0.1	-12.974
GSE245459	NLRC5	antigen_presentation	0.03754	2.4583	2.4208	0.40737	0.5375	0.4	0.75726
