dataset	contrast	gene	log2FC	pvalue	padj_or_fdr
GSE334497	Mouse 4T1 breast, Trop2 KO vs WT (tumour)	TACSTD2	-3.944	0.001778	0.7056
GSE289287	Human T-47D breast, Trop-2 KO vs WT (xenograft)	TACSTD2	-3.263	1.623e-65	1.946e-61
GSE245459	Human ovarian, shTACSTD2 vs shNC	TACSTD2	-2.628	5.252e-05	0.004114
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	TACSTD2	-3.025	5.277e-15	1.042e-10
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	TACSTD2	-0.1544	0.2799	0.5443
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	TACSTD2	0.2138	0.1501	0.3492
