term	n_overlap	n_set_in_bg	n_query	n_bg	enrichment	p	overlap_genes	fdr	rank_among_all_ora
HALLMARK_APICAL_JUNCTION	13	194	274	24083	5.889814884490932	3.791543538606091e-07	ADAM9,BAIAP2,CDH3,CTNND1,ICAM1,ICAM4,JUP,LAMC2,MPZL2,NECTIN4,PTK2,TGFBI,WASL	1.2835588851559693e-05	1
GOBP_KERATINIZATION	7	44	274	24083	13.98316191108162	6.112185167409378e-07	CDH3,EVPL,KRT80,KRT86,PPL,SHARPIN,TMEM79	1.2835588851559693e-05	3
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	3	17	274	24083	15.510734220695577	0.0008801504532060052	LSR,TMEM79,TP63	0.005544947855197832	9
KRT_EPITHELIAL	3	17	274	24083	15.510734220695577	0.0008801504532060052	KRT13,KRT14,KRT19	0.005544947855197832	10
GOBP_TIGHT_JUNCTION_ORGANIZATION	5	74	274	24083	5.938794634050108	0.0015615744401805275	CLDN23,EPHA2,GRHL2,LSR,PLEC	0.008943562702852112	11
CUSTOM_EPITHELIAL_ADHESION	3	23	274	24083	11.464455728340209	0.002179605256299482	DSG2,JUP,NECTIN4	0.009808223653347669	14
GOBP_KERATINOCYTE_DIFFERENTIATION	3	39	274	24083	6.761089275687816	0.009841303419267006	ADAM9,EPHA2,EVPL	0.03554924536734308	17
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	2	42	274	24083	4.185436218282934	0.08253032867225832	CLDN23,GRHL2	0.17929002435697497	29
KEGG_TIGHT_JUNCTION	4	154	274	24083	2.282965209972509	0.09939693862682071	AMOTL2,CLDN23,ERBB2,SYNPO	0.19925418739169465	31
CUSTOM_CLAUDIN_PANEL	1	19	274	24083	4.626008451786401	0.19546431574016027	CLDN23	0.3328176186927053	37
HALLMARK_APICAL_SURFACE	1	43	274	24083	2.044050246138177	0.38887949016091394	EPHB4	0.5568047245485813	44
