term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.6208367474631098	3.089952879648115	0.000999000999000999	199	1.3093479658726963	CCND1,EFNA1,ICAM1,ZFP36,SDC4,LAMB3,MAP3K8,PTGS2,IER3,VEGFA,EDN1,CLCF1,TRIP10,EHD1,SMAD3,SAT1,DUSP1,PPP1R15A,DRAM1,CFLAR,KLF4,CCN1,JUN,PHLDA2,G0S2	101	0.0015753477291938832
GOBP_KERATINIZATION	0.7730924919190966	2.899097270332935	0.000999000999000999	44	1.8749574915115124	EVPL,PPL,CDH3,KRT80,SFN,TMEM79,KRT7,KRT86,KRT16,SPRR2D,KRT17,SPRR1B,IVL,SPRR3,ABCA12,KRT5,SPRR1A,CERS3,SHARPIN,KRT6C,KRT77,KRT78,SPRR2E,KRT4,LIPK	33	0.0015753477291938832
HALLMARK_P53_PATHWAY	0.581572073154322	2.8777010924337163	0.000999000999000999	195	1.0903943938283491	ST14,VAMP8,SDC1,EPHA2,PERP,PHLDA3,EPS8L2,PLXNB2,FUCA1,RAP2B,NDRG1,TP63,ITGB4,RHBDF2,SFN,DEF6,CTSD,IER3,BAIAP2,SAT1,TGFA,VDR,PPP1R15A,TM4SF1,DRAM1	86	0.0015753477291938832
CUSTOM_EPITHELIAL_ADHESION	0.8561905892855836	2.8152331825648425	0.000999000999000999	23	3.007754785272102	NECTIN4,CDH1,CLDN4,JUP,DSG2,OCLN,F11R,CLDN7,CLDN1,TJP3,CGN,CTNNB1,NECTIN2,EPCAM,TJP1,MARVELD2,CLDN3,TJP2,CTNNA1,DSP	20	0.0015753477291938832
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5703546236675349	2.7791371041818373	0.000999000999000999	198	0.9627566308657212	VAMP8,ICAM1,IRF5,PTGS2,MYD88,LY6E,VAMP5,PELI1,GBP6,HLA-DMA,PLA2G4A,TNFSF10,CD74,FAS,CASP4,MX2,IL4R,NMI,CCL5,CCL2,TNFAIP2,IFITM3,MVP,BANK1,IRF7	114	0.0015753477291938832
HALLMARK_INFLAMMATORY_RESPONSE	0.5574552160476354	2.7619895319964676	0.000999000999000999	194	1.0221657494123684	GNA15,ICAM1,P2RY2,AHR,ADORA2B,ICAM4,CD55,HPN,TNFSF15,EDN1,SCARF1,LY6E,PTAFR,ABI1,RNF144B,SGMS2,OSMR,PTPRE,TNFSF10,TLR2,IFNGR2,LYN,F3,IL1B,CD82	113	0.0015753477291938832
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6240609772826736	2.729279764196673	0.000999000999000999	96	1.0349877197035766	CD47,TRIM5,LY6E,ELF1,CD74,IL4R,NMI,IFITM3,IRF7,CASP8,CASP1,PARP14,STAT2,IL7,IFI27,OASL,IFIT2,RSAD2,LGALS3BP,HERC6,BST2,RTP4,ISG15,NCOA7,LAMP3	60	0.0015753477291938832
HALLMARK_APOPTOSIS	0.52584628897064	2.5459021555014347	0.000999000999000999	160	0.9161352238580698	CCND1,LGALS3,GNA15,ERBB2,ERBB3,PLAT,IER3,EMP1,KRT18,SAT1,LMNA,NEDD9,HSPB1,CFLAR,JUN,TNFSF10,GPX3,BIRC3,BCL10,TIMP3,ATF3,ANXA1,BCAP31,RETSAT,IL1B	63	0.0015753477291938832
KRT_EPITHELIAL	0.8244506965466994	2.5389112232359357	0.000999000999000999	17	2.544346160520496	KRT19,KRT8,KRT7,KRT18,KRT15,KRT13,KRT14,KRT16,KRT17,KRT5,KRT6C,KRT10,KRT4,KRT6A,KRT6B	15	0.0015753477291938832
HALLMARK_COAGULATION	0.5328016880107121	2.5116835614794213	0.000999000999000999	124	0.8809707848191912	CTSH,CAPN2,HPN,PLAT,ITGA2,PRSS23,MMP15,ADAM9,CD9,TIMP3,ANXA1,S100A13,F3,GNG12,ARF4,LTA4H,THBS1,PLAU,CTSE,DPP4,MMP7,LRP1,MMP14,CFD,MMP10	65	0.0015753477291938832
HALLMARK_ALLOGRAFT_REJECTION	0.5045916137544901	2.510743482019494	0.000999000999000999	188	0.7922528221154416	ICAM1,CD47,EGFR,ABI1,HLA-E,HLA-DMA,BCL10,TLR2,IFNGR2,CD74,LYN,HLA-DRA,IL1B,UBE2D1,FAS,IL4R,CCL5,CCL2,LIF,BCAT1,IRF7,ITGB2,TLR3,CTSS,IFNGR1	102	0.0015753477291938832
GOBP_KERATINOCYTE_DIFFERENTIATION	0.6662759284117145	2.5099658195478094	0.000999000999000999	39	1.6182793657800958	EVPL,ST14,EPHA2,SCEL,CFLAR,KRT16,EXPH5,ADAM9,ANXA1,SPRR1B,IVL,SPRR3,CSTA,WNT5A,SPRR1A,CERS3,KRT10,PPP3CA,DSP,TGM1,CDSN,SPRR2F,POU2F3	23	0.0015753477291938832
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.5294317979528181	2.298579405369155	0.000999000999000999	86	0.9606095182739037	TNFRSF1A,MAP3K8,LTBR,MYD88,TNFRSF21,STAM2,JUN,OSMR,CD9,TLR2,IFNGR2,IL1B,FAS,CSF2RA,IL13RA1,IL4R,CSF2,IL1R1,IFNGR1,STAT2,IL7,CXCL9,TNFRSF12A,CD38,CD44	47	0.0015753477291938832
HALLMARK_HYPOXIA	0.4436324514090693	2.2393227695992706	0.000999000999000999	195	0.5948301753270576	EFNA1,ZFP36,SDC4,ADORA2B,NDRG1,IGFBP3,EGFR,IER3,TGFBI,VEGFA,DUSP1,PPP1R15A,ERRFI1,HDLBP,PRDX5,SULT2B1,CCN1,JUN,ATF3,FOS,ERO1A,KDELR3,F3,ANGPTL4,AMPD3	82	0.0015753477291938832
HALLMARK_APICAL_JUNCTION	0.4427399775299653	2.2197021613617323	0.000999000999000999	194	0.6739950703439161	MPZL2,NECTIN4,CDH1,CLDN4,CTNND1,JUP,CDH3,CRB3,LAMC2,ADAM15,ICAM1,ICAM4,LAMB3,CLDN7,ITGB4,MSN,EGFR,CNN2,SHC1,PCDH1,TGFBI,BAIAP2,ITGA2,LDLRAP1,CRAT	74	0.0015753477291938832
KEGG_TIGHT_JUNCTION	0.4575122245208273	2.212372419786614	0.000999000999000999	154	0.7528228957329482	CCND1,CLDN4,ERBB2,CRB3,OCLN,F11R,CLDN7,MYH14,MSN,CLDN1,MARVELD3,CLDN23,LLGL2,TJP3,RUNX1,PRKCE,CGN,AMOTL2,ACTN4,PRKCZ,JUN,SYNPO,MICALL2,PARD6B,SLC9A3R1	62	0.0015753477291938832
HALLMARK_NOTCH_SIGNALING	0.6219612165629279	2.2082513259439347	0.000999000999000999	32	0.9972729940224274	CCND1,PPARD,DTX2,NOTCH3,DTX4,NOTCH2,APH1A,WNT5A,MAML2,HES1,ARRB1,TCF7L2,KAT2A	13	0.0015753477291938832
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.5097463925243011	2.1868449144208864	0.000999000999000999	74	0.8411341394724965	CLDN4,EPHA2,GRHL2,OCLN,F11R,LSR,CLDN7,CLDN1,MARVELD3,CLDN23,ILDR1,PLEC,MPP7,MICALL2,MYO1C,PRKCH,CLDN16,TJP1,MARVELD2,CLDN3,POF1B,EPHB2	22	0.0015753477291938832
