cohort	unit	n_vector	n_q1	n_q4	tacstd2_q1_median	tacstd2_q4_median
GSE123902	donor	13	4	3	5.936102515351823	9.38153294548659
GSE131907	sample	21	6	5	5.62955370761128	9.541441248369667
GSE205335	patient	21	6	5	6.57144719998479	10.168829091262348
GSE189357	patient	9	3	2	8.334090037099793	9.801868108065358
