term	n_overlap	n_set_in_bg	n_query	n_bg	enrichment	p	overlap_genes	fdr
HALLMARK_HYPOXIA	2	195	79	24083	3.1266471924699775	0.13442349579290552	HOXB9,PPARGC1A	1.0
HALLMARK_G2M_CHECKPOINT	2	195	79	24083	3.1266471924699775	0.13442349579290552	DDX39A,NUP50	1.0
HALLMARK_E2F_TARGETS	2	198	79	24083	3.079273750159826	0.13776057853760965	DDX39A,ING3	1.0
HALLMARK_PROTEIN_SECRETION	1	96	79	24083	3.175501054852321	0.27097946774714793	ARFGAP3	1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1	103	79	24083	2.9596903035516777	0.2876233307065066	MAP2K6	1.0
HALLMARK_BILE_ACID_METABOLISM	1	104	79	24083	2.9312317429406036	0.2899701929614767	BMP6	1.0
HALLMARK_SPERMATOGENESIS	1	106	79	24083	2.8759254836398376	0.2946410400400593	DMC1	1.0
HALLMARK_UV_RESPONSE_DN	1	144	79	24083	2.1170007032348805	0.37783845563985086	CACNA1A	1.0
HALLMARK_DNA_REPAIR	1	150	79	24083	2.032320675105485	0.3900575351959557	POLA1	1.0
KEGG_TIGHT_JUNCTION	1	154	79	24083	1.9795331251027455	0.39807163925110617	PARD6A	1.0
HALLMARK_HEME_METABOLISM	1	182	79	24083	1.6749895673946307	0.45133228306013856	ADD2	1.0
HALLMARK_COMPLEMENT	1	194	79	24083	1.5713819652877463	0.47270796610982313	CALM3	1.0
HALLMARK_MTORC1_SIGNALING	1	198	79	24083	1.539636875079913	0.47964881475436266	DDX39A	1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY	1	200	79	24083	1.5242405063291138	0.48308533299726236	RETREG1	1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	200	79	24083	1.5242405063291138	0.48308533299726236	ACAT1	1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0	199	79	24083	0.0	1.0		1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0	73	79	24083	0.0	1.0		1.0
HALLMARK_MITOTIC_SPINDLE	0	199	79	24083	0.0	1.0		1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	41	79	24083	0.0	1.0		1.0
HALLMARK_TGF_BETA_SIGNALING	0	53	79	24083	0.0	1.0		1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING	0	86	79	24083	0.0	1.0		1.0
HALLMARK_APOPTOSIS	0	160	79	24083	0.0	1.0		1.0
HALLMARK_NOTCH_SIGNALING	0	32	79	24083	0.0	1.0		1.0
HALLMARK_ADIPOGENESIS	0	194	79	24083	0.0	1.0		1.0
HALLMARK_ESTROGEN_RESPONSE_LATE	0	200	79	24083	0.0	1.0		1.0
HALLMARK_ANDROGEN_RESPONSE	0	98	79	24083	0.0	1.0		1.0
HALLMARK_MYOGENESIS	0	177	79	24083	0.0	1.0		1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	0	96	79	24083	0.0	1.0		1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	0	198	79	24083	0.0	1.0		1.0
HALLMARK_APICAL_JUNCTION	0	194	79	24083	0.0	1.0		1.0
HALLMARK_APICAL_SURFACE	0	43	79	24083	0.0	1.0		1.0
HALLMARK_HEDGEHOG_SIGNALING	0	35	79	24083	0.0	1.0		1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0	110	79	24083	0.0	1.0		1.0
HALLMARK_MYC_TARGETS_V1	0	196	79	24083	0.0	1.0		1.0
HALLMARK_MYC_TARGETS_V2	0	58	79	24083	0.0	1.0		1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0	199	79	24083	0.0	1.0		1.0
HALLMARK_INFLAMMATORY_RESPONSE	0	194	79	24083	0.0	1.0		1.0
HALLMARK_XENOBIOTIC_METABOLISM	0	184	79	24083	0.0	1.0		1.0
HALLMARK_FATTY_ACID_METABOLISM	0	149	79	24083	0.0	1.0		1.0
HALLMARK_GLYCOLYSIS	0	196	79	24083	0.0	1.0		1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0	48	79	24083	0.0	1.0		1.0
HALLMARK_UV_RESPONSE_UP	0	153	79	24083	0.0	1.0		1.0
HALLMARK_ANGIOGENESIS	0	35	79	24083	0.0	1.0		1.0
HALLMARK_COAGULATION	0	124	79	24083	0.0	1.0		1.0
HALLMARK_IL2_STAT5_SIGNALING	0	197	79	24083	0.0	1.0		1.0
HALLMARK_ALLOGRAFT_REJECTION	0	188	79	24083	0.0	1.0		1.0
HALLMARK_KRAS_SIGNALING_UP	0	197	79	24083	0.0	1.0		1.0
HALLMARK_KRAS_SIGNALING_DN	0	168	79	24083	0.0	1.0		1.0
HALLMARK_PANCREAS_BETA_CELLS	0	32	79	24083	0.0	1.0		1.0
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0	42	79	24083	0.0	1.0		1.0
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0	50	79	24083	0.0	1.0		1.0
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0	46	79	24083	0.0	1.0		1.0
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0	17	79	24083	0.0	1.0		1.0
GOBP_KERATINOCYTE_DIFFERENTIATION	0	39	79	24083	0.0	1.0		1.0
GOBP_KERATINIZATION	0	44	79	24083	0.0	1.0		1.0
GOBP_CORNIFICATION	0	6	79	24083	0.0	1.0		1.0
GOBP_TIGHT_JUNCTION_ORGANIZATION	0	74	79	24083	0.0	1.0		1.0
KRT_EPITHELIAL	0	17	79	24083	0.0	1.0		1.0
HALLMARK_P53_PATHWAY	0	195	79	24083	0.0	1.0		1.0
HALLMARK_PEROXISOME	0	102	79	24083	0.0	1.0		1.0
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0	21	79	24083	0.0	1.0		1.0
CUSTOM_CLAUDIN_PANEL	0	19	79	24083	0.0	1.0		1.0
CUSTOM_EPITHELIAL_ADHESION	0	23	79	24083	0.0	1.0		1.0
