family	n_q1	n_q4	n	n_genes	logFC	t	p	se	fdr
TJ	19	15	34	206	0.22327298873016335	3.6025472198664477	0.0011629734404364491	0.06197642254316946	0.004186809044320767
CLAUDIN_PANEL	19	15	34	19	0.4258650779039873	3.115474478003309	0.004114043868317752	0.13669348951846397	0.0061710658024766284
EPITHELIAL_ADHESION	19	15	34	23	0.7343338617511933	3.533549803417098	0.001395603014773589	0.20781760626129003	0.004186809044320767
KERATIN	19	15	34	52	0.929202466632764	3.2768001490562955	0.0027251267467869843	0.28357007579493987	0.0054502534935739685
IFN	19	15	34	222	0.34774701740646347	1.6376431971874035	0.11230315482264218	0.21234602140668196	0.1347637857871706
MHC-I/APM	19	15	34	21	0.18907526363675875	0.5791443668521373	0.5669635672850177	0.32647345715275167	0.5669635672850177
