Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Keratinocyte Proliferation (GO:0010837)	4/25	0.0003474590777101126	0.0312554741246575	0	0	13.901234567901234	110.72143806513556	ZFP36;CDH3;EPPK1;ZFP36L1
GO_Biological_Process_2023	Epithelial Cell-Cell Adhesion (GO:0090136)	3/11	0.0003868251748101178	0.0312554741246575	0	0	27.285055350553503	214.39335138221097	JUP;CCN3;PLEKHA7
GO_Biological_Process_2023	Regulation Of Keratinocyte Differentiation (GO:0045616)	4/26	0.0004062377893492597	0.0312609651232573	0	0	13.268686868686869	103.60949519068632	ERRFI1;ZFP36;GRHL2;ZFP36L1
GO_Biological_Process_2023	Regulation Of Keratinocyte Apoptotic Process (GO:1902172)	2/5	0.0018197501659412	0.0918973833800326	0	0	48.34068627450981	304.9840996256284	ZFP36;ZFP36L1
GO_Biological_Process_2023	Regulation Of Cell-Cell Adhesion (GO:0022407)	4/43	0.0027947996267047	0.1041603506184671	0	0	7.478442545109211	43.97320376234618	ADAM8;CD47;PTK2;MUC21
GO_Biological_Process_2023	Cell-Cell Adhesion Mediated By Cadherin (GO:0044331)	3/26	0.0052374418233461	0.132303101287846	0	0	9.483234397561366	49.805208326351575	CDH3;CTNND1;PLEKHA7
GO_Biological_Process_2023	Heterotypic Cell-Cell Adhesion (GO:0034113)	3/29	0.0071419691723807	0.1377001857366537	0	0	8.387737723531082	41.45024335802557	JUP;DSG2;DSC2
GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	7/172	0.0096810127542931	0.1562218866405317	0	0	3.10809215753036	14.414053254150858	CDH3;CLDN23;DSG2;NECTIN4;SCARF1;ICAM1;MPZL2
GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	3/42	0.0197042707741798	0.2116103123552752	0	0	5.588135112120352	21.9441588424886	ADAM9;EVPL;EPHA2
GO_Biological_Process_2023	Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)	3/49	0.0295009762079371	0.2652905013120155	0	0	4.73608214343013	16.68678941247798	NECTIN4;SCARF1;ICAM1
GO_Biological_Process_2023	Tight Junction Assembly (GO:0120192)	3/53	0.0360564822676068	0.2959276491792975	0	0	4.356309963099631	14.474574405400205	CLDN23;LSR;GRHL2
GO_Biological_Process_2023	Apical Junction Assembly (GO:0043297)	3/54	0.0378027340656988	0.3009321096067457	0	0	4.270675059691773	13.98805740891038	CLDN23;RHOC;GRHL2
GO_Biological_Process_2023	Leukocyte Cell-Cell Adhesion (GO:0007159)	2/31	0.0670533199732864	0.3527002369724804	0	0	4.994168356997972	13.495577120610408	NT5E;ICAM1
GO_Biological_Process_2023	Adherens Junction Maintenance (GO:0034334)	1/6	0.0794448553576626	0.3527002369724804	0	0	14.447619047619048	36.59137122245166	PLEKHA7
GO_Biological_Process_2023	Negative Regulation Of Keratinocyte Proliferation (GO:0010839)	1/7	0.0920602229285309	0.3576185582992932	0	0	12.03907203907204	28.716946844597043	EPPK1
GO_Biological_Process_2023	Negative Regulation Of Cell-Cell Adhesion (GO:0022408)	2/40	0.1039456028907987	0.3631771712800801	0	0	3.8095975232198143	8.62450046354119	PTK2;MUC21
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)	2/44	0.1217586637209277	0.3725822903143195	0	0	3.446078431372549	7.256456837337587	CCL2;CD47
GO_Biological_Process_2023	Homotypic Cell-Cell Adhesion (GO:0034109)	2/46	0.1309260570795251	0.3738100852305875	0	0	3.2891042780748663	6.687152126120194	RAP2B;DSC2
GO_Biological_Process_2023	Bicellular Tight Junction Assembly (GO:0070830)	2/47	0.1355679595967205	0.3784672781643085	0	0	3.2158496732026145	6.426175216293071	CLDN23;GRHL2
GO_Biological_Process_2023	Regulation Of Keratinocyte Migration (GO:0051547)	1/11	0.1408223837410296	0.3784672781643085	0	0	7.221978021978022	14.15692482835948	EPPK1
GO_Biological_Process_2023	Positive Regulation Of Keratinocyte Proliferation (GO:0010838)	1/11	0.1408223837410296	0.3784672781643085	0	0	7.221978021978022	14.15692482835948	CDH3
GO_Biological_Process_2023	Regulation Of Bicellular Tight Junction Assembly (GO:2000810)	1/15	0.1869747554862426	0.4080775024619378	0	0	5.157509157509158	8.648016811155792	EPHA2
GO_Biological_Process_2023	Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules (GO:0016338)	1/19	0.2306565265219531	0.4221301776438009	0	0	4.01058201058201	5.882824256392369	CLDN23
GO_Biological_Process_2023	Adherens Junction Organization (GO:0034332)	1/35	0.3832106119817406	0.5014318615080914	0	0	2.121525533290239	2.0349047918265666	CDH3
GO_Biological_Process_2023	Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339)	1/38	0.4082593682728438	0.5170132490539964	0	0	1.9492129492129493	1.746207488511358	CDH3
GO_Biological_Process_2023	Positive Regulation Of Cell-Cell Adhesion (GO:0022409)	1/46	0.4702104296200264	0.5562665111756682	0	0	1.602035002035002	1.208855500591127	CD47
KEGG_2021_Human	Adherens junction	5/71	0.0029005048130142	0.1102191828945413	0	0	5.536780443843641	32.35069102998136	CTNND1;ERBB2;WASL;BAIAP2;NECTIN4
KEGG_2021_Human	Tight junction	4/169	0.2021882585159899	0.6859958771078232	0	0	1.7563187429854097	2.8075739395883588	CLDN23;ERBB2;AMOTL2;SYNPO
MSigDB_Hallmark_2020	Apical Junction	13/200	4.0824827393813135e-06	8.369089615731693e-05	0	0	5.204314954822054	64.57933068233865	JUP;CTNND1;ICAM4;LAMC2;WASL;BAIAP2;PTK2;ICAM1;CDH3;ADAM9;TGFBI;NECTIN4;MPZL2
