Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Cell Migration (GO:0030334)	20/434	2.5335117869020238e-06	0.0040941550476336	0	0	3.67301913347788	47.33017253045699	EDN1;APLP2;SEMA4C;TNC;LAMC2;RHOC;RHOD;PTK2;COL1A1;FAM83H;SH3RF2;RAP2B;ADAM9;PLXNA1;EPPK1;AMOTL2;EPHA1;EPHA2;ENG;HBEGF
GO_Biological_Process_2023	Positive Regulation Of Cell Differentiation (GO:0045597)	15/283	9.094008171857976e-06	0.00648737186704	0	0	4.204892525788048	48.80995010131795	CDS1;YAP1;IGFBP3;CTNNBIP1;LRP5;PTK2;ZFP36L1;COL1A1;BMP4;ZFP36;PPP1R13L;ADAM8;RIN2;TP63;BCL9L
GO_Biological_Process_2023	Positive Regulation Of Cell Motility (GO:2000147)	13/221	1.2043388367029704e-05	0.00648737186704	0	0	4.673850574712644	52.940680837193305	EDN1;SEMA4C;LAMC2;RHOC;RHOD;PTK2;COL1A1;FAM83H;SH3RF2;ADAM9;EPHA1;EPHA2;HBEGF
GO_Biological_Process_2023	Epidermis Development (GO:0008544)	8/85	2.1666115891908543e-05	0.0080544239601144	0	0	7.6746411483253585	82.42381167408142	NTF4;KRT14;EMP1;LAMC2;OVOL1;GRHL1;EVPL;GRHL2
GO_Biological_Process_2023	Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073)	3/5	2.4920866213225268e-05	0.0080544239601144	0	0	109.17343173431736	1157.217099015655	JUP;DSG2;DSC2
GO_Biological_Process_2023	Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)	3/6	4.933611601295491e-05	0.0132878605794891	0	0	72.77859778597787	721.7347408526383	JUP;DSG2;DSC2
GO_Biological_Process_2023	Regulation Of Epidermal Cell Differentiation (GO:0045604)	4/18	9.063775084226544e-05	0.0208865997249183	0	0	20.85925925925926	194.17133001597568	BMP4;ERRFI1;ZFP36;ZFP36L1
GO_Biological_Process_2023	Positive Regulation Of Cell Migration (GO:0030335)	13/272	0.0001033990085391995	0.0208865997249183	0	0	3.743709226467847	34.35570204684408	EDN1;SEMA4C;LAMC2;RHOC;RHOD;PTK2;COL1A1;FAM83H;SH3RF2;ADAM9;EPHA1;EPHA2;HBEGF
GO_Biological_Process_2023	Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)	3/8	0.00013535474375265513	0.0243036962115878	0	0	43.662730627306274	388.9306412159534	JUP;DSG2;DSC2
GO_Biological_Process_2023	Lung Epithelium Development (GO:0060428)	3/9	0.00020097581982751815	0.0312554741246575	0	0	36.38376383763838	309.7104573105619	BMP4;ERRFI1;GRHL2
GO_Biological_Process_2023	Regulation Of Epithelial Cell Proliferation (GO:0050678)	7/91	0.0002547274491389483	0.0312554741246575	0	0	6.130461922596754	50.73151215700505	YAP1;BMP4;ZFP36;CDKN2B;ERBB2;EPPK1;ZFP36L1
GO_Biological_Process_2023	Canonical Wnt Signaling Pathway (GO:0060070)	6/65	0.0002626560958229182	0.0312554741246575	0	0	7.462813053377181	61.528393597000736	RARG;CDH3;JUP;FZD6;LRP5;BCL9L
GO_Biological_Process_2023	Ephrin Receptor Signaling Pathway (GO:0048013)	5/43	0.0002925870851432863	0.0312554741246575	0	0	9.630209352377223	78.35858869657797	EPHA1;EFNA4;EPHB4;PTK2;EPHA2
GO_Biological_Process_2023	Positive Regulation Of Osteoblast Differentiation (GO:0045669)	5/44	0.0003264394233538672	0.0312554741246575	0	0	9.382804308454864	75.31826750960222	YAP1;BMP4;CTNNBIP1;LRP5;TP63
