patient	cohort	unit	malig_def	cldn4_pct	cldn4_mean	frac_tnk	tacstd2	quartile	tj_score	tj_score_no_cldn4	tj_core
LX255B	GSE123902	donor	marker_malig	35.08771929824561	0.4488016514639581	0.4073597529593412	8.058040926124384	Q3	3.80137748186342	3.7780795683018336	6.922265711338402
LX653	GSE123902	donor	marker_malig	71.72413793103448	1.2524068271342224	0.125	9.475294191408256	Q4	4.449247309854523	4.427681277651996	6.9115912266990405
LX661	GSE123902	donor	marker_malig	58.97435897435898	0.8576085684228482	0.8160315374507228	7.826225385962002	Q2	4.178688445423403	4.158708614352922	6.8149649901411475
LX666	GSE123902	donor	marker_malig	67.17557251908397	0.9923952117887151	0.1344984802431611	3.354142833536838	Q1	3.885879054952244	3.869087649295829	4.5492870875269045
LX675	GSE123902	donor	marker_malig	31.3915857605178	0.582960587751478	0.3889374090247453	8.024582013916174	Q3	4.511824207925855	4.495038623825926	5.941176910187266
LX676	GSE123902	donor	marker_malig	42.17687074829932	0.831390019521496	0.6492277030393623	9.38153294548659	Q4	4.235517830811182	4.212082698276943	6.740221709719383
LX679	GSE123902	donor	marker_malig	43.25955734406438	0.5643712240448416	0.3098661378284581	7.8058318499464585	Q2	4.462453195672883	4.444281478042603	7.149909898336127
LX680	GSE123902	donor	marker_malig	73.25581395348837	1.85907788462344	0.3655685441020191	4.821694624327586	Q1	4.1162773629724105	4.091419821818657	6.495078704942031
LX681	GSE123902	donor	marker_malig	63.29743164871583	1.1775350457817828	0.052760736196319	8.60894013425979	Q3	4.446009581154925	4.425562027143478	6.850304777943543
LX682	GSE123902	donor	marker_malig	18.76484560570071	0.4613182340255857	0.6251221896383187	9.017035396741667	Q4	4.437124508209778	4.4159211716601865	6.184555499749953
LX684	GSE123902	donor	marker_malig	72.83236994219652	0.9118972941270772	0.2433862433862433	7.160174780323994	Q1	4.231242922450887	4.214099888079085	6.546171720258461
LX699	GSE123902	donor	marker_malig	15.217391304347819	0.3141177643147814	0.8472482216398353	7.584045093152076	Q2	3.9941874599173124	3.978347279802644	5.076063858816393
LX701	GSE123902	donor	marker_malig	11.11111111111111	0.1116109679423314	0.4086294416243655	7.050510406376062	Q1	3.6991906617847943	3.6902468454646344	5.255829853471162
BRONCHO_11	GSE131907	sample	author_malig	80.78817733990148	1.8059599708830327	0.2545626179987413	7.468552184497202	Q1	4.159883470728584	4.136175237129987	6.953315843125567
BRONCHO_58	GSE131907	sample	author_malig	72.17391304347827	1.426353336223562	0.5495911837895485	9.430223316513032	Q4	4.337839272506585	4.317208018289923	6.539185947509978
EBUS_06	GSE131907	sample	author_malig	71.16357504215851	1.3552293035869711	0.2653061224489796	9.59308071225007	Q4	4.256612601027024	4.234287199072214	6.729248463818065
EBUS_10	GSE131907	sample	author_malig	84.46866485013625	1.9049734855942484	0.2974339035769829	8.707008433197604	Q3	4.134460671247288	4.111184736012916	6.3258703010565585
EBUS_12	GSE131907	sample	author_malig	88.32684824902724	2.3549040610356684	0.1052969502407704	10.49190080798881	Q4	4.2260653245352495	4.204073756895871	7.534485765209697
EBUS_13	GSE131907	sample	author_malig	26.59574468085106	0.0018434765440424	0.323943661971831	0.0	Q1	3.661030210040138	3.6781624623885176	3.3044920701914626
EBUS_15	GSE131907	sample	author_malig	47.265625	1.1294928392821784	0.4334841628959276	9.212593469893818	Q4	4.201597786957607	4.177462309202639	6.431558333543468
EBUS_19	GSE131907	sample	author_malig	94.00921658986177	2.4779035334230066	0.6756628787878788	9.13150919169725	Q3	4.188742184392005	4.164585450553714	6.914419766502126
EBUS_28	GSE131907	sample	author_malig	96.33620689655172	2.197978326433922	0.0447703589347742	8.889992217765608	Q3	4.278467067402281	4.249132817388665	7.304453882860268
EBUS_49	GSE131907	sample	author_malig	49.122807017543856	0.9512107328950752	0.6343661971830986	9.060435418932757	Q3	4.084405828202745	4.063620039193028	6.04118518124928
EBUS_51	GSE131907	sample	author_malig	85.36964980544747	1.581328884787959	0.3490076335877862	8.683316715786662	Q3	4.341503279125268	4.320338788527073	6.340833398673111
NS_02	GSE131907	sample	author_malig	58.5635359116022	1.126727726322637	0.4223951578037181	1.4315138640624794	Q1	3.846408180215967	3.823706545545147	5.155436005967997
NS_03	GSE131907	sample	author_malig	93.14412089937338	2.264933208146411	0.0484949832775919	7.399143924863372	Q1	4.137188396012926	4.108800919533015	7.0226444149868925
NS_04	GSE131907	sample	author_malig	89.34092758340114	1.9523515591538416	0.0688025210084033	7.341023159035879	Q1	4.209188843543264	4.186864114946319	7.060320509247019
NS_06	GSE131907	sample	author_malig	60.24096385542169	1.434511918266367	0.3579439252336449	9.541441248369667	Q4	3.810144063385181	3.7824965323421744	5.901426567855055
NS_07	GSE131907	sample	author_malig	90.407204385278	1.5931307483262624	0.0289703315881326	8.46965226261139	Q2	4.243892296106503	4.2178259685416535	6.360389997264554
NS_12	GSE131907	sample	author_malig	86.33938100320171	1.728830943634575	0.0069138906348208	7.9701722786011935	Q2	4.235402231463141	4.21093703177948	7.206544032834928
NS_13	GSE131907	sample	author_malig	72.41124260355029	0.9959480312401604	0.3673890608875129	8.293578501135862	Q2	4.239903460690138	4.218220346467157	6.069654640445799
NS_16	GSE131907	sample	author_malig	11.39240506329114	0.1031375586066322	0.2923310554290053	3.9180842561866807	Q1	3.914408190881	3.916027122481554	5.751188915895185
NS_17	GSE131907	sample	author_malig	88.21942446043165	2.300820123330216	0.170195101701951	8.38721618125829	Q2	4.0627336402566	4.03259681726354	6.558440930181907
NS_19	GSE131907	sample	author_malig	67.1523178807947	1.0082934839931024	0.1121212121212121	8.57159731446326	Q2	4.092199848271321	4.07232626181321	6.558363333305252
P0031	GSE205335	patient	author_malig	59.24764890282132	0.9488405678584309	0.5948973242065961	8.582306202129333	Q2	4.538642434414428	4.52030505408005	6.8377755586954745
P1006	GSE205335	patient	author_malig	74.18096723868955	1.3380774788530891	0.4922824302134647	9.586433332861736	Q3	4.426119309554911	4.405089040115689	6.791723002346621
P1015	GSE205335	patient	author_malig	41.580756013745706	0.7684376084668274	0.3958158995815899	9.175440000434072	Q3	4.317660209904283	4.293741658001345	6.4473934748066455
P1016	GSE205335	patient	author_malig	82.64617691154422	1.4550707508198382	0.1101964182553437	5.931553687230184	Q1	4.209460100377099	4.1880071157879994	5.230636624239305
P1017	GSE205335	patient	author_malig	64.31838975297347	1.4468339255966445	0.3782317267794446	9.81029386109441	Q3	4.612534187849441	4.587095818832978	7.458803001984557
P1018	GSE205335	patient	author_malig	67.03389830508475	1.456712726949631	0.5062636707098827	9.07054733335027	Q3	4.509313699051921	4.484907600551647	7.488814599381072
P1025	GSE205335	patient	author_malig	92.85714285714286	1.6940450124805284	0.1047463175122749	5.1940593765874095	Q1	3.9715927955342543	3.9464491077384416	6.448094436645005
P1027	GSE205335	patient	author_malig	78.07283763277694	2.119879172945015	0.5693478260869566	9.910986995924741	Q4	4.580993679014481	4.551961555868019	7.700641589386116
P1030	GSE205335	patient	author_malig	61.69154228855721	1.6170852017252315	0.1626016260162601	9.884019071367078	Q4	4.34645933000976	4.317496702006096	7.652789243400041
P1037	GSE205335	patient	author_malig	86.05284663579407	0.954375637171382	0.1226168974513345	8.122009045281432	Q1	3.9255970511722373	3.901079338220967	5.636528226218632
P1056	GSE205335	patient	author_malig	49.70662196144174	0.8104878252251735	0.265334117185969	10.573521073000702	Q4	4.3476174205737586	4.323970816658872	6.416674415940905
P1062	GSE205335	patient	author_malig	45.21276595744681	0.9858522627525454	0.6326463853451095	8.654690243796422	Q2	4.365725427549644	4.343766197180007	6.302047628042351
P1063	GSE205335	patient	author_malig	35.11450381679389	0.736917035356666	0.7316732604142425	7.211340712739395	Q1	4.051457243595081	4.036068782175269	5.161806325733225
P1072	GSE205335	patient	author_malig	58.86699507389162	0.9359386543482128	0.4603299293008641	8.126908714453155	Q2	4.196747849132394	4.175025297847126	6.05737421220535
P1076	GSE205335	patient	author_malig	59.36395759717315	0.9238031801089972	0.2994982078853047	8.423142981514426	Q2	4.070395680013413	4.047753022363689	6.1715666722574065
P1079	GSE205335	patient	author_malig	51.38121546961326	0.9667483711478282	0.3923257635082224	8.390807239722243	Q2	4.300630485050321	4.277831224050812	6.546197471491314
P1084	GSE205335	patient	author_malig	86.73469387755102	2.256213852289076	0.6649688737973967	9.06381591566749	Q3	4.568074123829018	4.539667596057861	7.819984119682478
P1089	GSE205335	patient	author_malig	87.77046095954844	2.151441746784373	0.1690490988191423	10.527026416432454	Q4	4.256149443750423	4.226800978234455	7.222274117207474
P1090	GSE205335	patient	author_malig	38.16254416961131	0.6880064512464571	0.2530737704918033	10.168829091262348	Q4	4.191946754043446	4.168671078573681	6.972762028194277
P1115	GSE205335	patient	author_malig	88.8829928362961	1.6229821464124854	0.0616329315442347	3.372326811806315	Q1	4.02924275123316	4.006229297292154	5.731638087332835
