set_name	category	provenance	human_symbols
TIGHT_JUNCTION_CORE	tight_junction	Curated from the tight-junction structural literature (claudins + TJ scaffolds/adaptors). Manually assembled for this analysis; NOT a MSigDB export.	CLDN1;CLDN2;CLDN3;CLDN4;CLDN5;CLDN6;CLDN7;CLDN8;CLDN9;CLDN10;CLDN11;CLDN12;CLDN14;CLDN15;CLDN16;CLDN17;CLDN18;CLDN19;CLDN20;CLDN23;OCLN;TJP1;TJP2;TJP3;F11R;MARVELD2;MARVELD3;CGN;CGNL1;CLDND1;JAM2;JAM3;MPDZ;PARD3;PATJ;SYMPK
CLAUDIN_FAMILY	tight_junction	Claudin gene family (HGNC CLDN root symbols) — direct read-out of the "claudin program".	CLDN1;CLDN2;CLDN3;CLDN4;CLDN5;CLDN6;CLDN7;CLDN8;CLDN9;CLDN10;CLDN11;CLDN12;CLDN14;CLDN15;CLDN16;CLDN17;CLDN18;CLDN19;CLDN20;CLDN23;CLDN24;CLDN25
DESMOSOME_ADHERENS	cell_adhesion	Desmosomal + adherens-junction components; included because GSE289287 pairs TACSTD2 KO with DSG2 KO.	DSG1;DSG2;DSG3;DSG4;DSC1;DSC2;DSC3;DSP;PKP1;PKP2;PKP3;PKP4;JUP;CDH1;CTNNB1;CTNNA1;CTNND1
IFN_ALPHA_TYPE1	interferon	Canonical type-I interferon-stimulated genes (core ISG module widely used in the IFN-I literature). Manually curated.	ISG15;IFIT1;IFIT2;IFIT3;IFIT5;MX1;MX2;OAS1;OAS2;OAS3;OASL;STAT1;STAT2;IRF7;IRF9;DDX58;IFIH1;BST2;RSAD2;USP18;IFI27;IFI44;IFI44L;IFI6;XAF1;HERC5;EPSTI1;SAMD9L;CMPK2;LY6E;IFITM1;IFITM2;IFITM3;PLSCR1;SP100;SP110;EIF2AK2;ZBP1;TRIM22;HELZ2
IFN_GAMMA_TYPE2	interferon	Canonical type-II (IFN-gamma) response genes: GBPs, IFN-g-inducible chemokines, MHC-II master regulator, JAK/STAT axis. Manually curated.	GBP1;GBP2;GBP3;GBP4;GBP5;CXCL9;CXCL10;CXCL11;IDO1;STAT1;IRF1;CIITA;SOCS1;SOCS3;HLA-DRA;HLA-DRB1;TAP1;TAP2;PSMB8;PSMB9;PSMB10;IFNG;IFNGR1;IFNGR2;JAK1;JAK2;NLRC5;B2M;UBD;VCAM1;ICAM1
ANTIGEN_PRESENTATION_MHC1	antigen_presentation	MHC class-I antigen-processing machinery (APM). Manually curated.	B2M;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;NLRC5;CALR;CANX;PDIA3;ERAP1;ERAP2;SEC61A1
T_CELL_CYTOTOXICITY	immune_infiltration	T/NK-cell cytotoxic effector transcripts used as a bulk-tumour surrogate for cytotoxic infiltration. Manually curated.	CD8A;CD8B;CD3D;CD3E;CD3G;CD2;GZMA;GZMB;GZMH;GZMK;GZMM;PRF1;IFNG;KLRD1;KLRK1;NKG7;CCL5;IL2RB;CST7;FASLG;SLAMF7;TBX21;EOMES;ZAP70;LCK;THEMIS
T_CELL_INFILTRATION_BROAD	immune_infiltration	Broad lymphoid/myeloid infiltration markers (pan-immune presence in bulk tissue). Manually curated.	PTPRC;CD2;CD3D;CD3E;CD4;CD8A;CD19;MS4A1;CD68;CD14;ITGAM;LYZ;AIF1;CSF1R;FCGR3A;NCR1;KLRB1;CXCR3;CXCR6;CCR5;CCL4;CCL5;SELL;ICOS
ICI_CHECKPOINT_GENES	ici_relevant	Immune-checkpoint ligands/receptors that are direct or proximal targets/biomarkers of checkpoint blockade. Manually curated.	CD274;PDCD1LG2;PDCD1;CTLA4;LAG3;HAVCR2;TIGIT;IDO1;CD80;CD86;VSIR;BTLA;CD276;TNFRSF9;TNFRSF18;ICOS;CD40;CD40LG
TIS_18GENE_AYERS	ici_relevant	18-gene Tumour Inflammation Signature (T-cell-inflamed GEP) as published by Ayers et al., J Clin Invest 2017 / Danaher et al. — used clinically as a pembrolizumab response correlate. Gene membership taken from that publication.	CCL5;CD27;CD274;CD276;CD8A;CMKLR1;CXCL9;CXCR6;HLA-DQA1;HLA-DRB1;HLA-E;IDO1;LAG3;NKG7;PDCD1LG2;PSMB10;STAT1;TIGIT
IFNG_6GENE_AYERS	ici_relevant	6-gene IFN-gamma signature (Ayers et al., J Clin Invest 2017) — the smaller of the two published pembrolizumab-response GEPs.	IFNG;STAT1;IDO1;CXCL9;CXCL10;HLA-DRA
CHEMOKINE_T_RECRUITMENT	immune_infiltration	T-cell-recruiting chemokines; the mechanistic link between an epithelial barrier program and T-cell entry. Manually curated.	CXCL9;CXCL10;CXCL11;CXCL13;CCL2;CCL3;CCL4;CCL5;CCL19;CCL21;CXCL16;CX3CL1
EMT_CORE	emt	Core epithelial-to-mesenchymal-transition markers (both epithelial and mesenchymal poles listed; interpret with direction).	CDH1;CDH2;VIM;FN1;SNAI1;SNAI2;TWIST1;ZEB1;ZEB2;KRT8;KRT18;KRT19;EPCAM;MMP2;MMP9;SPARC;TGFB1;TGFBI;COL1A1;COL1A2
EPITHELIAL_IDENTITY	emt	Epithelial identity / keratinisation transcripts, used to check whether barrier loss coincides with loss of epithelial identity.	EPCAM;CDH1;KRT5;KRT7;KRT8;KRT14;KRT18;KRT19;CLDN3;CLDN4;CLDN7;OCLN;ESRP1;ESRP2;GRHL2;TACSTD2
NFKB_INFLAMMATORY	inflammation	NF-kB-driven inflammatory output; distinguishes generic inflammation from IFN-specific signalling.	NFKB1;NFKB2;RELA;RELB;TNF;IL1A;IL1B;IL6;IL6ST;CXCL1;CXCL2;CXCL8;PTGS2;NFKBIA;TNFAIP3;BIRC3;CCL20;LCN2;SAA1;SAA2
TARGET_GENES	target	The two genes at the centre of this analysis plus their closest paralogues (TACSTD1/EPCAM, CLDN3/CLDN7 co-regulated with CLDN4 in the 3q28/claudin-low axis).	CLDN4;TACSTD2;EPCAM;CLDN3;CLDN7;CLDN1
