accession,source,protein,PD1_NR_mean,PD1_R_mean,fold_change,p_value,direction
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),S100A9,920094.8594,82799.32178,11.11234778,0.031385696,up_in_nonresponders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),SAA2,926826.2458,114108.5322,8.122322036,0.005804857,up_in_nonresponders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),S100A8,1798688.333,297069.791,6.054766886,0.043812289,up_in_nonresponders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),SAA1,1463064.109,343305.8711,4.261692655,0.006033998,up_in_nonresponders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),TNN,154398.5605,46105.61792,3.348801459,0.023515524,up_in_nonresponders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),GP1BA,45493.11654,98612.38184,0.461332702,0.010979697,up_in_responders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),PON3,19781.77979,45370.44815,0.436005827,0.022172662,up_in_responders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),PROZ,36393.13932,149952.9984,0.242696977,0.022183389,up_in_responders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),MBL2,76501.56966,319314.7513,0.239580443,0.032534972,up_in_responders
PXD031474,Chao et al. Clin Exp Immunol 2022 Table 2 (PMC9113286),PROCR,6369.072754,29230.80545,0.217889061,0.030248433,up_in_responders
