Gene	Cytoband	Mean Log2 Expression in CLDN4 High	Mean Log2 Expression in CLDN4 Low	Mean Log2 Standard Deviation in CLDN4 High	Mean Log2 Standard Deviation in CLDN4 Low	Log2 of Ratio (unlogged CLDN4 High/CLDN4 Low)	p-Value	q-Value	Higher expression in	in_paper_fdr_0.05
CLDN4	7q11.23	13.88	12.68	0.48	0.76	1.2	1.34e-42	2.68e-38	 CLDN4 High 	True
NUP160	11p11.2	10.03	10.26	0.45	0.46	-0.24	6.908e-06	0.001189	 CLDN4 Low	True
BRIP1	17q23.2	6.17	6.67	1.15	0.91	-0.5	3.063e-05	0.0031	 CLDN4 Low	True
PRKDC	8q11.21	11.96	12.23	0.58	0.58	-0.27	5.281e-05	0.004446	 CLDN4 Low	True
POLR2J	7q22.1	10.78	10.49	0.62	0.63	0.29	5.508e-05	0.004514	 CLDN4 High 	True
STING1	5q31.2	9.92	9.54	1.13	1.15	0.37	0.004477	0.0532	 CLDN4 High 	False
PARP1	1q42.12	11.95	12.1	0.54	0.51	-0.15	0.0148	0.105	 CLDN4 Low	False
TBK1	12q14.2	8.86	8.99	0.47	0.49	-0.13	0.0154	0.108	 CLDN4 Low	False
TP53BP1	15q15.3	9.95	10.11	0.6	0.56	-0.15	0.0213	0.13	 CLDN4 Low	False
LIG4	13q33.3	7.33	7.19	0.7	0.59	0.14	0.0677	0.248	 CLDN4 High 	False
XRCC6	22q13.2	12.2	12.27	0.45	0.46	-0.08	0.144	0.376	 CLDN4 Low	False
IRF3	19q13.33	10.07	9.97	0.6	0.55	0.1	0.146	0.38	 CLDN4 High 	False
CGAS	6q13	6.58	6.76	1.17	1.13	-0.18	0.176	0.419	 CLDN4 Low	False
H2AX	11q23.3	11.4	11.32	0.81	0.74	0.08	0.368	0.618	 CLDN4 High 	False
XRCC5	2q35	12.92	12.95	0.42	0.47	-0.04	0.488	0.716	 CLDN4 Low	False
CXCL10	4q21.1	9.65	9.5	1.95	2.05	0.15	0.514	0.735	 CLDN4 High 	False
XRCC1	19q13.31	9.92	9.88	0.63	0.61	0.04	0.557	0.764	 CLDN4 High 	False
CCL5	17q12	8.45	8.35	1.75	1.82	0.1	0.635	0.815	 CLDN4 High 	False
XRCC4	5q14.2	6.94	6.97	0.68	0.57	-0.03	0.689	0.847	 CLDN4 Low	False
NHEJ1	2q35	8.21	8.22	0.57	0.58	-0.02	0.818	0.914	 CLDN4 Low	False
