accession	title	mentions_cldn4	mentions_knockdown	is_rppa
PXD076239	F-actin dynamics couples sphingolipid metabolism to epithelial barrier integrity in chronic colitis (proteomics)	False	False	False
PXD068381	Proximity labelling identification of ULK1 wild-type (WT) and ULK1-K46I (kinase dead) interactors upon mitochondria tethering in U2OS WT cells	False	False	False
PXD066158	Proteomic profiling of CLDN6-deficient germ cell tumor cells	False	False	False
PXD065409	The role of aging on endothelial cell-cell junctions and pulmonary microvascular permeability	False	False	False
PXD060098	Isolation of a novel GPA33 monoclonal antibody that detects a redox regulated epitope	False	False	False
PXD047277	APEX2 mediated proximity labeling to investigate the proximal proteome of mitochondria tethered ULK1 in wild type and fip200 knock down cells	False	False	False
PXD044621	GSG1L-containing AMPA receptors are complexes with unique spatiotemporal expression, subunit composition and gating properties	False	False	False
PXD039552	Inter-Laboratory Variability in the Madin-Darby Canine Kidney Cell ProteomeInter-Laboratory Variability in the Madin-Darby Canine Kidney Cell Proteome	False	False	False
PXD039074	Proteome analysis of male accessory gland secretions in the diamondback moth, Plutella xylostella (Lepidoptera: Plutellidae)	False	False	False
PXD038148	IP-MS of human YKT6 upon mutation of possible ULK1-phosphorylation sites	False	False	False
PXD037561	The claudin-like apicomplexan microneme protein is essential for Plasmodium berghei sporozoite infectivity in the mosquito and mammalian hosts	False	False	False
PXD036428	Deregulated Expression of the 14q32 miRNA Cluster in Clear Cell Renal Cell Carcinomas	False	False	False
PXD033005	Proteomic profile of the early transition from naïve to primed pluripotency in mouse ES cells	False	False	False
PXD031094	Pan-claudin family interactome analysis reveals shared and specific interactions	False	False	False
PXD028461	Phosphorylation Mapping of Atg13 in Response to Atg1 Activity and Rapamycin Treatment in Budding Yeast	False	False	False
PXD025858	Glutamine-fructose-6-phosphate transaminase 2 (GFPT2) is upregulated in breast epithelial-mesenchymal transition and involved in oxidative stress regulation.	False	True	False
PXD025600	Glutamine-fructose-6-phosphate transaminase 2 (GFPT2) is upregulated in breast epithelial-mesenchymal transition and involved in oxidative stress regulation.	False	True	False
PXD022915	Proteomics analysis of gastric cancer patients with diabetes mellitus	False	False	False
PXD015171	Quantitative Proteomics implicates CD44 in proliferation of breast cancer cell	False	True	False
PXD014388	Candida albicans (ATCC90028 and ATCC10231 yeast) extracellular vesicle and whole cell lysate proteomes	False	False	False
PXD014389	Candida albicans (DAY286 biofilm) extracellular vesicle and whole cell lysate proteomes	False	False	False
PXD014367	Candida albicans (DAY286 yeast) extracellular vesicle and whole cell lysate proteomes	False	False	False
PXD010908	Phosphorylation of claudin-11 - Mass spectrometry analysis confirmed the phosphorylation of human claudin-11 at tyrosine 191 and tyrosine 192	False	False	False
PXD010395	Proteomic analysis identifies highly expressed plasma membrane proteins for detection and therapeutic targeting of specific breast cancer subtypes	False	False	False
PXD006406	MHC class I loaded ligands from breast cancer cell lines: A potential HLA-I-typed antigen collection	False	False	False
PXD005390	N-Linked Glycoprotein Profiles of Human Breast Luminal Malignant Cell Lines	False	False	False
PXD005339	N-Linked Glycoprotein Profiles of Human Breast Normal/Benign Cell Lines	False	False	False
PXD005295	N-Linked Glycoprotein Profiles of Human Breast Basal Malignant Cell Lines	False	False	False
PXD005292	N-Linked Glycoprotein Profiles of Human Breast Claudin-Low Malignant Cell Lines	False	False	False
PXD003651	CLDN3 in prostate cancer exosomes	False	False	False
