set	gene	in_table	histone_in_reactome_nhej	log2_high_over_low	p	q	fdr05	lower_in_cldn4_low	higher_in_cldn4_low	supports_nhej_down_q05	supports_sting_ifn_up_q05
nhej_core_no_histone	ABRAXAS1	True	False	-0.02	0.806	0.908	False	False	True	False	False
nhej_core_no_histone	ATM	True	False	-0.29	9.146e-05	0.005989	True	False	True	False	True
nhej_core_no_histone	BABAM1	True	False	0.05	0.534	0.748	False	True	False	False	False
nhej_core_no_histone	BABAM2	True	False	0.1	0.106	0.317	False	True	False	False	False
nhej_core_no_histone	BARD1	True	False	-0.3	0.001045	0.0232	True	False	True	False	True
nhej_core_no_histone	BRCA1	True	False	-0.07	0.671	0.837	False	False	True	False	False
nhej_core_no_histone	BRCC3	True	False	-0.09	0.162	0.401	False	False	True	False	False
nhej_core_no_histone	DCLRE1C	True	False	-0.1	0.139	0.369	False	False	True	False	False
nhej_core_no_histone	HERC2	True	False	-0.28	0.0004011	0.0132	True	False	True	False	True
nhej_core_no_histone	KAT5	True	False	-0.02	0.722	0.866	False	False	True	False	False
nhej_core_no_histone	LIG4	True	False	0.14	0.0677	0.248	False	True	False	False	False
nhej_core_no_histone	MDC1	True	False	-0.26	0.0007239	0.0185	True	False	True	False	True
nhej_core_no_histone	MRE11	True	False	-0.22	0.001552	0.0287	True	False	True	False	True
nhej_core_no_histone	NBN	True	False	-0.1	0.115	0.333	False	False	True	False	False
nhej_core_no_histone	NHEJ1	True	False	-0.02	0.818	0.914	False	False	True	False	False
nhej_core_no_histone	NSD2	True	False	-0.21	0.017	0.114	False	False	True	False	False
nhej_core_no_histone	PAXIP1	True	False	-0.08	0.217	0.47	False	False	True	False	False
nhej_core_no_histone	PIAS4	True	False	0.05	0.293	0.554	False	True	False	False	False
nhej_core_no_histone	POLL	True	False	-0.04	0.522	0.74	False	False	True	False	False
nhej_core_no_histone	POLM	True	False	0.13	0.0466	0.203	False	True	False	False	False
nhej_core_no_histone	PRKDC	True	False	-0.27	5.281e-05	0.004446	True	False	True	False	True
nhej_core_no_histone	RAD50	True	False	-0.14	0.0372	0.178	False	False	True	False	False
nhej_core_no_histone	RIF1	True	False	-0.15	0.0212	0.129	False	False	True	False	False
nhej_core_no_histone	RNF168	True	False	-0.26	0.0009509	0.0217	True	False	True	False	True
nhej_core_no_histone	RNF8	True	False	-0.02	0.662	0.831	False	False	True	False	False
nhej_core_no_histone	TDP1	True	False	-0.24	7.128e-05	0.005172	True	False	True	False	True
nhej_core_no_histone	TDP2	True	False	-0.04	0.437	0.674	False	False	True	False	False
nhej_core_no_histone	TP53BP1	True	False	-0.15	0.0213	0.13	False	False	True	False	False
nhej_core_no_histone	UBE2N	True	False	-0.08	0.199	0.449	False	False	True	False	False
nhej_core_no_histone	UBE2V2	True	False	-0.03	0.548	0.758	False	False	True	False	False
nhej_core_no_histone	UIMC1	True	False	0.02	0.704	0.856	False	True	False	False	False
nhej_core_no_histone	XRCC4	True	False	-0.03	0.689	0.847	False	False	True	False	False
nhej_core_no_histone	XRCC5	True	False	-0.04	0.488	0.716	False	False	True	False	False
nhej_core_no_histone	XRCC6	True	False	-0.08	0.144	0.376	False	False	True	False	False
nhej_reactome_histones_only	H2AX	True	True	0.08	0.368	0.618	False	True	False	False	False
nhej_reactome_histones_only	H2BC1	True	True	-0.01	0.262	0.521	False	False	True	False	False
