Compound	Class	Cell Viability in shCTRL	Cell Viability in shCLDN4	viability_ratio_kd_over_ctrl
Bleomycin sulfate	Other	46.0	68.0	1.4782608695652173
Carboplatin	DNA Damage	105.0	72.0	0.6857142857142857
Cisplatin	DNA Damage	139.0	101.0	0.7266187050359713
Doxorubicin hydrochloride	Cell Cycle Iinhibitor	31.0	29.0	0.9354838709677419
Etoposide	DNA Replication Inhibitor	59.0	77.0	1.305084745762712
Gemcitabine hydrochloride	DNA Replication Inhibitor	50.0	59.0	1.18
Niraparib hydrochloride	DNA Damage	77.0	90.0	1.1688311688311688
Olaparib	DNA Damage	75.0	67.0	0.8933333333333333
Rucaparib phosphate	DNA Damage	89.0	94.0	1.0561797752808988
Talazoparib	DNA Damage	55.0	79.0	1.4363636363636363
Temozolomide	DNA Damage	105.0	100.0	0.9523809523809523
Teniposide	Other	35.0	89.0	2.5428571428571427
Topotecan hydrochloride	DNA Replication Inhibitor	27.0	43.0	1.5925925925925926
