cluster,n_clusters,observed_mean_delta,ci_low,ci_high,p_two_sided,note
cell_line,2,0.15954345027953284,,,,k=2 clusters: bootstrap p/CI not reported (resamples collapse to the cluster means)
study,5,0.15954345027953284,-0.07416339672245734,0.2853855986652199,0.0846,
