subset,n_cohorts,n_cell_lines,n_studies,n_up,n_down,n_tie,frac_up,n_baseline_samples,n_icb_samples,mean_baseline,mean_icb,mean_delta,median_delta,paired_t_stat,paired_t_p,cohens_dz,wilcoxon_stat,wilcoxon_p,rank_biserial,sign_test_p
colon ICB cohorts (TISMO definition),10,2,5,8,2,0,0.8,46,50,0.4056847467015186,0.5652281969810513,0.15954345027953284,0.21577494897761723,2.2882836061303418,0.047908978920620286,0.7236188127795519,8.0,0.048828125,-0.8545454545454545,0.109375
CT26 only,7,1,3,6,1,0,0.8571428571428571,35,39,0.5754674948307058,0.7881205246220503,0.21265302979134448,0.28511384108170107,2.281077862320227,0.06270691901265546,0.8621663921248793,4.0,0.109375,-0.8571428571428572,0.125
MC38 only,3,1,2,2,1,0,0.6666666666666666,11,11,0.0095250010667481,0.04514609915205379,0.03562109808530569,0.02013010653810022,1.0682197313853194,0.3972736603463817,0.6167369494689839,1.0,0.5,-0.8333333333333334,1.0
strict ICB regimens only,6,2,5,5,1,0,0.8333333333333334,27,31,0.5538853344629132,0.6686411766846172,0.11475584222170383,0.1273084272785414,1.099351245377213,0.32170799628616203,0.44880826654456585,4.0,0.21875,-0.8095238095238095,0.21875
ICB plus other partner,4,2,2,3,1,0,0.75,19,19,0.18338386505942633,0.4101087274257027,0.22672486236627637,0.28079559164173473,2.767707138602579,0.06970181922092208,1.3838535693012894,1.0,0.25,-0.9,0.625
collapsed to one pair per study,5,2,5,4,1,0,0.8,46,50,0.5215762920667941,0.6056687130731991,0.08409242100640502,0.09954429880361666,0.7101688783925263,0.5168097783281972,0.3175971775180941,4.0,0.4375,-0.7333333333333334,0.375
collapsed to one pair per cell line,2,2,5,2,0,0,1.0,46,50,0.292496247948727,0.41663331188705205,0.12413706393832509,0.12413706393832509,1.4024256837964628,0.3943419824308681,0.9916647111226597,0.0,0.5,-1.0,0.5
