Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,Mouse_treatment,pvalue,label,label2,num,count,cohort,model,cancer_type
SRX2452244,Tacstd2,0.14934376235314,MC38_GSE93017_antiPDL1(n=6),Responders,0,GSE93017,antiPDL1,,NA,NA,2,6,MC38_GSE93017_antiPDL1,MC38,Colorectal carcinoma
SRX2452242,Tacstd2,0.14928913405771,MC38_GSE93017_antiPDL1(n=6),Responders,0,GSE93017,antiPDL1,,NA,NA,2,6,MC38_GSE93017_antiPDL1,MC38,Colorectal carcinoma
SRX2452243,Tacstd2,0.0,MC38_GSE93017_antiPDL1(n=6),Responders,0,GSE93017,antiPDL1,,NA,NA,2,6,MC38_GSE93017_antiPDL1,MC38,Colorectal carcinoma
SRX2452245,Tacstd2,0.0,MC38_GSE93017_antiPDL1(n=6),Baseline,1,GSE93017,isotype,,NA,NA,2,6,MC38_GSE93017_antiPDL1,MC38,Colorectal carcinoma
SRX2452246,Tacstd2,0.0,MC38_GSE93017_antiPDL1(n=6),Baseline,1,GSE93017,isotype,,NA,NA,2,6,MC38_GSE93017_antiPDL1,MC38,Colorectal carcinoma
SRX2452247,Tacstd2,0.0,MC38_GSE93017_antiPDL1(n=6),Baseline,1,GSE93017,isotype,,NA,NA,2,6,MC38_GSE93017_antiPDL1,MC38,Colorectal carcinoma
SRX10606798,Tacstd2,0.0,MC38_GSE172162_exercise_antiPD1(n=8),Responders,0,GSE172162,antiPD1; exercise,,NA,NA,2,8,MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma
SRX10606799,Tacstd2,0.0,MC38_GSE172162_exercise_antiPD1(n=8),Responders,0,GSE172162,antiPD1; exercise,,NA,NA,2,8,MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma
SRX10606800,Tacstd2,0.0,MC38_GSE172162_exercise_antiPD1(n=8),Responders,0,GSE172162,antiPD1; exercise,,NA,NA,2,8,MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma
SRX10606801,Tacstd2,0.0,MC38_GSE172162_exercise_antiPD1(n=8),Responders,0,GSE172162,antiPD1; exercise,,NA,NA,2,8,MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma
SRX10606794,Tacstd2,0.0,MC38_GSE172162_exercise_antiPD1(n=8),Baseline,1,GSE172162,exercise,,NA,NA,2,8,MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma
SRX10606795,Tacstd2,0.0,MC38_GSE172162_exercise_antiPD1(n=8),Baseline,1,GSE172162,exercise,,NA,NA,2,8,MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma
SRX10606796,Tacstd2,0.0,MC38_GSE172162_exercise_antiPD1(n=8),Baseline,1,GSE172162,exercise,,NA,NA,2,8,MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma
SRX10606797,Tacstd2,0.0512444443431993,MC38_GSE172162_exercise_antiPD1(n=8),Baseline,1,GSE172162,exercise,,NA,NA,2,8,MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma
SRX10606803,Tacstd2,0.0799542055122009,MC38_GSE172162_antiPD1(n=8),Responders,0,GSE172162,antiPD1,,NA,NA,2,8,MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma
SRX10606805,Tacstd2,0.0636217890979779,MC38_GSE172162_antiPD1(n=8),Responders,0,GSE172162,antiPD1,,NA,NA,2,8,MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma
SRX10606802,Tacstd2,0.0,MC38_GSE172162_antiPD1(n=8),Responders,0,GSE172162,antiPD1,,NA,NA,2,8,MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma
SRX10606804,Tacstd2,0.0,MC38_GSE172162_antiPD1(n=8),Responders,0,GSE172162,antiPD1,,NA,NA,2,8,MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma
SRX10606806,Tacstd2,0.0,MC38_GSE172162_antiPD1(n=8),Baseline,1,GSE172162,isotype,,NA,NA,2,8,MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma
SRX10606807,Tacstd2,0.0,MC38_GSE172162_antiPD1(n=8),Baseline,1,GSE172162,isotype,,NA,NA,2,8,MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma
