sample	CLDN4_protein	TACSTD2_protein	TJ15_protein	TJ7_protein	GEP18_RNA	CD8A_RNA	CD8_RNA	CYT_RNA	ImmuneScore	StromalScore	ESTIMATEScore	CD8_CIBERSORT	CD8_xCell	Immune_xCell	WES_purity	WGS_purity
C3L-02665	24.067984656329	26.2585808803596	0.13338068186575605	0.0680121334491202	0.29817410946568407	8.5849	0.26548262667455413	1.5738781282694716	8264.179	6128.698	14392.878	0.13944534	0.0	0.080431	0.39	0.3975
C3L-01663	23.813399349746	27.1794204148078	0.06498061973833566	0.029760264936443737	0.2618949118793821	8.1723	0.604021204613662	0.09190822301136038	8316.293	8365.206	16681.499	0.188632818	0.01520227	0.1128305	0.3	0.2
C3N-02575	24.5810988499524	27.5729384463357	-0.2452737127430768	0.3254705520431917	-1.5999238393492208	6.112	-1.7184949339930395	-1.7186323223919489	4637.175	3805.204	8442.379	0.05815488	0.0	0.02343179	0.78	0.61
C3L-02546	23.0973358298884	26.8487465909609	-0.013108854874228828	-0.019321539097563994	0.4913733747222016	8.8323	0.5999655191600242	0.3672485310179047	8965.244	8952.152	17917.396	0.1481203	0.03197735	0.1571423	0.39	0.22
C3L-00965	23.1531527228414	25.2915427307891	0.009386641350358925	-0.004491067388917802	-0.45377707630211145	8.3921	-0.07900001970588727	-0.4952615741347461	6566.936	6527.687	13094.623	0.264769911	0.01035773	0.06858391	0.42	0.4275
C3L-02963	22.7252917556342	27.0133865895278	-0.1422559902182068	-0.337751136249454	0.33929438787070576	7.9311	-0.11892476396270801	0.003537108887485589	9544.678	9072.8	18617.479	0.070577358	0.028489	0.3081372	0.24	0.1
C3N-04162	22.8935911945634	28.0071000706227	-0.2587447159493197	0.0919010316267528	0.035336436254619956	8.3621	-0.15940463978702352	-0.3854515848285086	6420.992	4585.329	11006.321	0.359323657	0.01053239	0.03709596	0.37	0.37
C3L-02646	23.8107027726688	26.6420613091089	0.13742745433110798	-0.0043589386492961695	-0.2416941619158338	7.9315	-0.48298635234510295	0.5480733372314759	7414.18	6726.1	14140.28	0.07900889	2.1535809999999997e-19	0.06908876	0.35	0.225
C3N-02285	23.3423600998019	27.9707195486934	0.29123491934631296	0.3058631434355889	-0.2071130169469629	7.6719	-0.3352034145426837	-0.29255979181119857	8121.224	7379.725	15500.948	0.087027144	1.749897e-19	0.104904	0.33	0.365
C3N-03875	22.6527275004646	28.2197201884975	-0.019716188981893885	-0.03887970594377909	0.2083265462909968	7.863	-0.6569015439903209	0.5157699658760357	8150.873	6665.702	14816.575	0.10742175	0.01239261	0.1347999	0.4	0.4
C3N-03424		27.1990203972038	0.30088315159813883	0.20646182623156287	0.6802702623555864	9.6643	1.5836162429981695	0.9010086260147656	10116.944	8714.761	18831.706	0.29069174	0.1001883	0.3638906	0.25	0.12
C3N-01017		27.0633305153411	0.1162620763110586	0.8637519317523994	-0.39834240940264015	8.8019	0.2912976096513108	0.0847227659394619	7428.904	5556.019	12984.923	0.273398092	0.02932154	0.1954677	0.37	0.2625
C3L-00081		26.7774284896915	-0.3870817311304514	0.0323025319742436	-1.0289211968586207	7.0041	-1.4434241494109759	-1.3938349587874064	6236.282	7261.688	13497.969	0.014038634	0.01281862	0.09399762	0.5	0.556
C3L-02649		25.4021114233931	0.16362606862375906	0.0014379640426432916	-0.7191224896747266	7.0239	-1.1423054232127763	-1.2139635900414647	6100.622	5381.149	11481.771	0.0630064	0.01002825	0.06980984	0.56	0.48
C3L-01838		27.553647530023	-0.21058895889109394	-0.07562773788944031	-0.4154379341761452	7.5133	-0.7472732963843021	-0.4844848397970035	8084.188	9314.557	17398.745	0.078364303	0.0005333658	0.1146560608	0.27	0.2275
