cohort	n	missing	extra	max_abs_cldn4_pct	max_abs_tacstd2_pct	max_abs_cldn4_mean_vs_log1p_raw	max_abs_frac_tnk	max_abs_n_mal
GSE123902	13			0.0	0.0	2.220446049250313e-16	8.326672684688674e-17	0.0
GSE131907	21			1.4210854715202004e-14	1.4210854715202004e-14	4.440892098500626e-16	7.632783294297951e-17	0.0
GSE205335	22			7.105427357601002e-15	7.105427357601002e-15	1.1102230246251565e-16	6.938893903907228e-17	0.0
GSE189357	9			0.0	7.105427357601002e-15	2.220446049250313e-16	2.7755575615628914e-17	0.0
