cohort	exposure	n	spearman_rho	p_value
all_evaluable_pairs	mean_log1p_cp10k	22	0.23433088650479958	0.29387603877735996
all_evaluable_pairs	pct_pos	22	0.18464144551101075	0.41073511956150655
recist_r_vs_nr	mean_log1p_cp10k	16	0.3852941176470588	0.14054417737367633
recist_r_vs_nr	pct_pos	16	0.3058823529411765	0.24925429892891854
nsclc_adc_sq	mean_log1p_cp10k	17	-0.20098039215686278	0.4392338761888678
nsclc_adc_sq	pct_pos	17	-0.26470588235294124	0.3045422200057607
