unit	patient_id	n_mal	n_tnk	mean_cldn4_mal	eligible_allmal	eligible_q4q1	n_high_q4q1	n_low_q4q1	eligible_median	n_high_median	n_low_median	eligible_tertile	n_high_tertile	n_low_tertile
GSE207422	BD_immune02	107.0	2899.0	1.9163539409637451	1	1	26.0	26.0	1	53.0	53.0	1	35.0	35.0
GSE207422	BD_immune03	804.0	5060.0	1.0828747749328613	1	1	201.0	201.0	1	402.0	402.0	1	268.0	268.0
GSE207422	BD_immune04	145.0	5616.0	1.4964123964309692	1	1	36.0	36.0	1	72.0	72.0	1	48.0	48.0
GSE207422	BD_immune06	64.0	2924.0	1.5623774528503418	1	1	16.0	16.0	1	32.0	32.0	1	21.0	21.0
GSE207422	BD_immune07	5121.0	1087.0	1.6801241636276245	1	1	1280.0	1280.0	1	2560.0	2560.0	1	1707.0	1707.0
GSE207422	BD_immune09	271.0	3283.0	1.7184779644012451	1	1	67.0	67.0	1	135.0	135.0	1	90.0	90.0
GSE207422	BD_immune10	208.0	4080.0	1.049410343170166	1	1	52.0	52.0	1	104.0	104.0	1	69.0	69.0
GSE207422	BD_immune11	439.0	1690.0	1.8974274396896362	1	1	109.0	109.0	1	219.0	219.0	1	146.0	146.0
GSE207422	BD_immune12	482.0	1386.0	0.8651391863822937	1	1	120.0	120.0	1	241.0	241.0	1	160.0	160.0
GSE207422	BD_immune13	35.0	1347.0	1.657923698425293	1	0	0.0	0.0	1	17.0	17.0	1	11.0	11.0
GSE207422	BD_immune14	186.0	2863.0	1.4671915769577026	1	1	46.0	46.0	1	93.0	93.0	1	62.0	62.0
GSE207422	BD_immune15	545.0	1525.0	1.4553238153457642	1	1	136.0	136.0	1	272.0	272.0	1	181.0	181.0
GSE205335	P0031	319.0	5182.0	0.9488405585289001	1	1	79.0	79.0	1	159.0	159.0	1	106.0	106.0
GSE205335	P1006	1282.0	2998.0	1.338077425956726	1	1	320.0	320.0	1	641.0	641.0	1	427.0	427.0
GSE205335	P1015	291.0	473.0	0.7684376239776611	1	1	72.0	72.0	1	145.0	145.0	1	97.0	97.0
GSE205335	P1016	5336.0	763.0	1.4550707340240479	1	1	1334.0	1334.0	1	2668.0	2668.0	1	1778.0	1778.0
GSE205335	P1017	2186.0	2370.0	1.446833848953247	1	1	546.0	546.0	1	1093.0	1093.0	1	728.0	728.0
GSE205335	P1018	1180.0	2546.0	1.4567127227783203	1	1	295.0	295.0	1	590.0	590.0	1	393.0	393.0
GSE205335	P1025	980.0	128.0	1.694045066833496	1	1	245.0	245.0	1	490.0	490.0	1	326.0	326.0
GSE205335	P1027	1318.0	2619.0	2.1198792457580566	1	1	329.0	329.0	1	659.0	659.0	1	439.0	439.0
GSE205335	P1030	603.0	140.0	1.6170852184295654	1	1	150.0	150.0	1	301.0	301.0	1	201.0	201.0
GSE205335	P1037	3671.0	611.0	0.9543756246566772	1	1	917.0	917.0	1	1835.0	1835.0	1	1223.0	1223.0
GSE205335	P1056	2386.0	1354.0	0.8104878067970276	1	1	596.0	596.0	1	1193.0	1193.0	1	795.0	795.0
GSE205335	P1062	188.0	1934.0	0.9858523607254028	1	1	47.0	47.0	1	94.0	94.0	1	62.0	62.0
GSE205335	P1063	131.0	3144.0	0.7369170188903809	1	1	32.0	32.0	1	65.0	65.0	1	43.0	43.0
GSE205335	P1072	406.0	586.0	0.9359386563301086	1	1	101.0	101.0	1	203.0	203.0	1	135.0	135.0
GSE205335	P1076	849.0	2089.0	0.9238031506538391	1	1	212.0	212.0	1	424.0	424.0	1	283.0	283.0
GSE205335	P1079	543.0	501.0	0.9667482972145081	1	1	135.0	135.0	1	271.0	271.0	1	181.0	181.0
GSE205335	P1084	196.0	2350.0	2.256213903427124	1	1	49.0	49.0	1	98.0	98.0	1	65.0	65.0
GSE205335	P1089	1063.0	272.0	2.1514415740966797	1	1	265.0	265.0	1	531.0	531.0	1	354.0	354.0
GSE205335	P1090	566.0	247.0	0.6880064606666565	1	1	141.0	141.0	1	283.0	283.0	1	188.0	188.0
GSE205335	P1115	3769.0	271.0	1.622982144355774	1	1	942.0	942.0	1	1884.0	1884.0	1	1256.0	1256.0
GSE205335	P1119	1222.0	621.0	0.5610693097114563	1	1	305.0	305.0	1	611.0	611.0	1	407.0	407.0
GSE205335	P4001	27.0	1801.0	0.7331695556640625	1	0	0.0	0.0	1	13.0	13.0	0	0.0	0.0
GSE291670	GSM8839599_MPR-1	1279.0	206.0	0.29989922046661377	1	1	319.0	319.0	1	639.0	639.0	1	426.0	426.0
GSE291670	GSM8839600_MPR-2	1074.0	160.0	0.14076931774616241	1	1	268.0	268.0	1	537.0	537.0	1	358.0	358.0
GSE291670	GSM8839601_MPR-3	913.0	267.0	0.1847737431526184	1	1	228.0	228.0	1	456.0	456.0	1	304.0	304.0
GSE291670	GSM8839602_Non-MPR-1	1419.0	483.0	0.04643339663743973	1	1	354.0	354.0	1	709.0	709.0	1	473.0	473.0
GSE291670	GSM8839603_Non-MPR-2	601.0	393.0	0.07779428362846375	1	1	150.0	150.0	1	300.0	300.0	1	200.0	200.0
GSE291670	GSM8839604_Non-MPR-3	288.0	42.0	0.25272005796432495	1	1	72.0	72.0	1	144.0	144.0	1	96.0	96.0
GSE131907	BRONCHO_11	203.0	809.0	1.392881155014038	1	1	50.0	50.0	1	101.0	101.0	1	67.0	67.0
GSE131907	BRONCHO_58	460.0	1546.0	0.9481318593025208	1	1	115.0	115.0	1	230.0	230.0	1	153.0	153.0
GSE131907	EBUS_06	1186.0	611.0	1.2913167476654053	1	1	296.0	296.0	1	593.0	593.0	1	395.0	395.0
GSE131907	EBUS_10	367.0	1530.0	1.2945740222930908	1	1	91.0	91.0	1	183.0	183.0	1	122.0	122.0
GSE131907	EBUS_12	257.0	328.0	1.3514907360076904	1	1	64.0	64.0	1	128.0	128.0	1	85.0	85.0
GSE131907	EBUS_13	376.0	1150.0	0.0006799165275879204	1	1	94.0	94.0	1	188.0	188.0	1	125.0	125.0
GSE131907	EBUS_15	256.0	479.0	0.8119832873344421	1	1	64.0	64.0	1	128.0	128.0	1	85.0	85.0
GSE131907	EBUS_19	217.0	1427.0	1.74746572971344	1	1	54.0	54.0	1	108.0	108.0	1	72.0	72.0
GSE131907	EBUS_28	4640.0	232.0	2.2467188835144043	1	1	1160.0	1160.0	1	2320.0	2320.0	1	1546.0	1546.0
GSE131907	EBUS_49	114.0	1126.0	0.7394811511039734	1	1	28.0	28.0	1	57.0	57.0	1	38.0	38.0
GSE131907	EBUS_51	1285.0	1143.0	1.1968406438827515	1	1	321.0	321.0	1	642.0	642.0	1	428.0	428.0
GSE131907	NS_02	181.0	977.0	0.8218572735786438	1	1	45.0	45.0	1	90.0	90.0	1	60.0	60.0
GSE131907	NS_03	2713.0	145.0	1.9987878799438477	1	1	678.0	678.0	1	1356.0	1356.0	1	904.0	904.0
GSE131907	NS_04	1229.0	131.0	1.3547914028167725	1	1	307.0	307.0	1	614.0	614.0	1	409.0	409.0
GSE131907	NS_06	83.0	383.0	1.161139965057373	1	1	20.0	20.0	1	41.0	41.0	1	27.0	27.0
GSE131907	NS_07	5108.0	166.0	1.7547770738601685	1	1	1277.0	1277.0	1	2554.0	2554.0	1	1702.0	1702.0
GSE131907	NS_12	2811.0	22.0	1.687066912651062	1	1	702.0	702.0	1	1405.0	1405.0	1	937.0	937.0
GSE131907	NS_13	1352.0	1780.0	1.2590223550796509	1	1	338.0	338.0	1	676.0	676.0	1	450.0	450.0
GSE131907	NS_16	79.0	385.0	0.07498374581336975	1	1	19.0	19.0	1	39.0	39.0	1	26.0	26.0
GSE131907	NS_17	1112.0	410.0	2.1043753623962402	1	1	278.0	278.0	1	556.0	556.0	1	370.0	370.0
GSE131907	NS_19	755.0	370.0	1.018040657043457	1	1	188.0	188.0	1	377.0	377.0	1	251.0	251.0
GSE325414	T01	1539.0	1230.0	2.0197582244873047	1	1	384.0	384.0	1	769.0	769.0	1	513.0	513.0
GSE325414	T02	2811.0	357.0	1.8199317455291748	1	1	702.0	702.0	1	1405.0	1405.0	1	937.0	937.0
GSE325414	T07	307.0	1338.0	1.6191493272781372	1	1	76.0	76.0	1	153.0	153.0	1	102.0	102.0
GSE325414	T08	622.0	1118.0	2.538700580596924	1	1	155.0	155.0	1	311.0	311.0	1	207.0	207.0
GSE325414	T09	668.0	3943.0	1.9479432106018066	1	1	167.0	167.0	1	334.0	334.0	1	222.0	222.0
GSE325414	T11	1180.0	1840.0	1.6699775457382202	1	1	295.0	295.0	1	590.0	590.0	1	393.0	393.0
GSE325414	T12	2575.0	2458.0	1.8099414110183716	1	1	643.0	643.0	1	1287.0	1287.0	1	858.0	858.0
GSE325414	T13	88.0	968.0	1.0984746217727661	1	1	22.0	22.0	1	44.0	44.0	1	29.0	29.0
GSE325414	T14	5188.0	970.0	1.545159101486206	1	1	1297.0	1297.0	1	2594.0	2594.0	1	1729.0	1729.0
GSE325414	T15	2897.0	6649.0	1.6879631280899048	1	1	724.0	724.0	1	1448.0	1448.0	1	965.0	965.0
GSE325414	T16	1139.0	6735.0	1.332000970840454	1	1	284.0	284.0	1	569.0	569.0	1	379.0	379.0
GSE325414	T17	687.0	4794.0	0.4407337009906769	1	1	171.0	171.0	1	343.0	343.0	1	229.0	229.0
GSE325414	T18	280.0	1463.0	2.2005457878112793	1	1	70.0	70.0	1	140.0	140.0	1	93.0	93.0
GSE325414	T19	46.0	348.0	0.6046309471130371	1	1	11.0	11.0	1	23.0	23.0	1	15.0	15.0
GSE325414	T22	4229.0	2326.0	1.7713463306427002	1	1	1057.0	1057.0	1	2114.0	2114.0	1	1409.0	1409.0
GSE325414	T24	4940.0	673.0	2.1859211921691895	1	1	1235.0	1235.0	1	2470.0	2470.0	1	1646.0	1646.0
GSE325414	T25	168.0	933.0	1.3163479566574097	1	1	42.0	42.0	1	84.0	84.0	1	56.0	56.0
GSE325414	T28	5416.0	624.0	1.0720714330673218	1	1	1354.0	1354.0	1	2708.0	2708.0	1	1805.0	1805.0
GSE325414	T29	18.0	73.0	0.9258759617805481	0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0
GSE325414	T30	326.0	378.0	2.4888875484466553	1	1	81.0	81.0	1	163.0	163.0	1	108.0	108.0
GSE325414	T31	2446.0	109.0	1.7183259725570679	1	1	611.0	611.0	1	1223.0	1223.0	1	815.0	815.0
GSE325414	T33	1461.0	744.0	1.4731985330581665	1	1	365.0	365.0	1	730.0	730.0	1	487.0	487.0
GSE325414	T35	476.0	98.0	2.927809000015259	1	1	119.0	119.0	1	238.0	238.0	1	158.0	158.0
GSE325414	T41	3001.0	3932.0	1.744376540184021	1	1	750.0	750.0	1	1500.0	1500.0	1	1000.0	1000.0
GSE325414	T42	820.0	262.0	1.731988549232483	1	1	205.0	205.0	1	410.0	410.0	1	273.0	273.0
GSE253013	MRC001				0	0			0			0		
GSE253013	MRC002				0	0			0			0		
GSE253013	MRC003				0	0			0			0		
GSE253013	MRC004				0	0			0			0		
GSE253013	MRC006				0	0			0			0		
GSE253013	MRC007				0	0			0			0		
GSE253013	MRC008				0	0			0			0		
GSE253013	MRC009				0	0			0			0		
GSE253013	MRC010				0	0			0			0		
