interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	q4q1	4	66	0.1252054065218032	0.1276369192399208	0.0166085984031376	4.7508165769444924e-14	2.854278763765455e-07	0.0	GSE131907+GSE205335+GSE207422+GSE325414
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	q4q1	4	67	0.1053029898689736	0.0999974238275411	0.0141673871000961	1.0634331890936776e-13	2.643525012706306e-07	0.0	GSE131907+GSE205335+GSE207422+GSE325414
LGALS9_P4HB	GALECTIN	LGALS9	P4HB	inhibitory	q4q1	4	65	0.0466358250524427	0.0337021713869011	0.0074620553215015	4.1116494478208636e-10	1.8072273843788162e-07	9.178008202669414	GSE131907+GSE205335+GSE207422+GSE325414
HLA-F_CD8A	MHC-I	HLA-F	CD8A	inhibitory	q4q1	4	66	0.0659664001642011	0.0401550652773901	0.0118489310290902	2.587359922239761e-08	5.5394807011442795e-08	0.0	GSE131907+GSE205335+GSE207422+GSE325414
COL6A2_CD44	COLLAGEN	COL6A2	CD44	other	q4q1	4	34	0.1202546737459804	0.0885683005214006	0.0227318745176543	1.222264405380184e-07	3.218883648514748e-07	0.0	GSE131907+GSE205335+GSE207422+GSE325414
HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	inhibitory	q4q1	3	15	0.0368812834583764	0.0406981319983327	0.0075495488214645	1.033081120079084e-06	6.103515625e-05	22.61839683994745	GSE131907+GSE205335+GSE207422
BAG6_NCR3-PS	BAG	BAG6	NCR3	other	q4q1	2	16	0.0192296638004385	0.0172153923024017	0.0039402629462522	1.0592478446414749e-06	6.103515625e-05	0.0	GSE131907+GSE205335
THBS3_CD47	THBS	THBS3	CD47	other	q4q1	3	29	0.0231267969321042	0.0170561633893263	0.0047522847505777	1.136157172479843e-06	1.862645149230957e-08	48.09833554881564	GSE131907+GSE205335+GSE325414
COL9A2_CD44	COLLAGEN	COL9A2	CD44	other	q4q1	4	47	0.070528882834341	0.0388671133769496	0.0152345909229881	3.665097425713932e-06	5.529362994138864e-07	8.529728057126883	GSE131907+GSE205335+GSE207422+GSE325414
ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	q4q1	4	61	0.077799022328308	0.0494658110826844	0.01690686239472	4.192096359192468e-06	5.517575553389339e-08	31.892682950304696	GSE131907+GSE205335+GSE207422+GSE325414
HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	inhibitory	q4q1	2	16	0.0740535292054688	0.0796569919053928	0.0163701312740406	6.076843265655839e-06	6.103515625e-05	0.0	GSE131907+GSE205335
HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	inhibitory	q4q1	2	16	0.0951655034222378	0.0932721922143627	0.0223224167015308	2.0149669464197965e-05	6.103515625e-05	37.53315304412025	GSE131907+GSE205335
LAMC1_CD44	LAMININ	LAMC1	CD44	other	q4q1	5	79	0.0798963163954674	0.0621743207678362	0.019079783589642	2.820620825036696e-05	1.1757187362131385e-08	61.44887716892856	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	q4q1	4	53	0.0828539543980026	0.0513536284645608	0.0204116082699428	4.924986456821786e-05	4.364383467168819e-08	57.64522536760644	GSE131907+GSE205335+GSE207422+GSE325414
LAMB3_CD44	LAMININ	LAMB3	CD44	other	q4q1	5	75	0.1489816846957563	0.1206748276824675	0.0397762916550069	0.000180042342557	2.514234085849534e-10	80.97349534117093	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
MDK_NCL	MK	MDK	NCL	other	q4q1	4	78	0.1109787253515962	0.0477804780757269	0.0300662478261622	0.0002232513442693	3.6506537539114407e-10	60.9656364486194	GSE131907+GSE205335+GSE207422+GSE325414
LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	other	q4q1	4	62	0.0181317648171654	0.0098697540341574	0.0051816330403439	0.0004665907186682	3.9476953356258066e-08	59.80258298616206	GSE131907+GSE205335+GSE207422+GSE325414
APP_CD74	APP	APP	CD74	other	q4q1	5	78	0.0698375970710121	0.0421097996318021	0.0199724867742383	0.0004710686980071	1.9796526533089304e-10	88.04277319048674	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
ICAM1_SPN	ICAM	ICAM1	SPN	other	q4q1	4	68	0.0936125580574955	0.0723953299379378	0.0269916698388415	0.0005239536613645	1.3488249108476331e-09	79.21349417406687	GSE131907+GSE205335+GSE207422+GSE325414
