interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_q1	n_q4	n_compared	mean_delta	se	p_meta	i2	units
MDK_NCL	MK	MDK	NCL	other	between_q4q1_given_cldn4	4	21	20	41	0.34452595711492895	0.05247726198859462	5.19482083338309e-11	0.0	GSE131907+GSE205335+GSE207422+GSE325414
LPAR3_ADGRE5	ADGRE	LPAR3	ADGRE5	other	between_q4q1_given_cldn4	1	4	5	9	-0.05083385208533857	0.008721804125470193	5.5973273523086815e-09	0.0	GSE325414
PTPRM_PTPRM	PTPRM	PTPRM	PTPRM	other	between_q4q1_given_cldn4	1	2	2	4	-0.3537854843748024	0.06787238282485338	1.863023713887029e-07	0.0	GSE291670
HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	inhibitory	between_q4q1_given_cldn4	1	2	3	5	-0.2892954446771987	0.07380403279372633	8.863046972591933e-05	0.0	GSE205335
COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	between_q4q1_given_cldn4	3	12	14	26	0.30357865105552356	0.08565833802263642	0.00039400925781609135	0.0	GSE131907+GSE207422+GSE325414
THBS1_CD47	THBS	THBS1	CD47	other	between_q4q1_given_cldn4	3	10	8	18	0.11765918333165835	0.03368159003150475	0.00047712814406196353	0.0	GSE131907+GSE207422+GSE325414
ICAM1_SPN	ICAM	ICAM1	SPN	other	between_q4q1_given_cldn4	4	16	16	32	0.19785607321516593	0.060838805026799	0.0011454116716640643	0.0	GSE131907+GSE205335+GSE207422+GSE325414
THBS3_CD47	THBS	THBS3	CD47	other	between_q4q1_given_cldn4	1	2	2	4	0.04827767391468061	0.022693858003302727	0.03339139705381911	0.0	GSE205335
TGM2_ADGRG1	ADGRG	TGM2	ADGRG1	other	between_q4q1_given_cldn4	2	4	5	9	0.019537203106977513	0.009461353371637322	0.03892791686283201	0.0	GSE131907+GSE205335
COL4A2_CD44	COLLAGEN	COL4A2	CD44	other	between_q4q1_given_cldn4	1	2	2	4	-0.23275006214672928	0.11766488121166205	0.0479201483806454	0.0	GSE325414
ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	between_q4q1_given_cldn4	3	14	11	25	0.21798267768356405	0.11519737769854323	0.05845717099745176	31.799985625595262	GSE205335+GSE207422+GSE325414
COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	between_q4q1_given_cldn4	3	8	13	21	-0.1912907469413888	0.10170956906421326	0.060005299129664603	0.0	GSE131907+GSE205335+GSE325414
LAMB3_CD44	LAMININ	LAMB3	CD44	other	between_q4q1_given_cldn4	4	19	18	37	0.13039104620090017	0.07250761174691286	0.07212815166867997	0.0	GSE131907+GSE205335+GSE207422+GSE325414
HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	inhibitory	between_q4q1_given_cldn4	1	2	3	5	-0.26086657096949506	0.145485373601226	0.07296050973536021	0.0	GSE205335
SPP1_CD44	SPP1	SPP1	CD44	other	between_q4q1_given_cldn4	2	11	6	17	0.19112852147189782	0.10792051556004156	0.07655871646174835	0.0	GSE131907+GSE325414
