interaction_name	pathway_name	ligand	receptor	lr_class	split	k_units	n_patients	mean_delta	median_delta	se	p_meta	p_wilcoxon_patients	i2	units
IL16_CD4	IL16	IL16	CD4	other	tertile	1	3	-0.26252194975109333	-0.26241377597308857	0.00010817377800478867	0.0	0.5	0.0	GSE205335
RAET1L_KLRK1	MHC-I	RAET1L	KLRK1	other	tertile	1	2	0.0016862948662021255	0.0016862948662021255	3.123947495900134e-05	0.0	0.5	0.0	GSE205335
LTA_TNFRSF1B	LT	LTA	TNFRSF1B	attack	tertile	1	2	-0.05704833129608598	-0.05704833129608598	0.0005451009236760208	0.0	0.5	0.0	GSE205335
SIRPG_CD47	SIRP	SIRPG	CD47	other	tertile	1	2	-0.29743146344086346	-0.29743146344086346	0.018653199015579658	3.0700101223855786e-57	0.5	0.0	GSE205335
LTA_TNFRSF14	LT	LTA	TNFRSF14	attack	tertile	1	2	-0.1083615396000623	-0.1083615396000623	0.013057013324028144	1.0489761184184328e-16	0.5	0.0	GSE205335
HSPG2_DAG1	HSPG	HSPG2	DAG1	other	tertile	1	3	1.1419388440181174e-05	1.2940127281686345e-05	1.5207388415051697e-06	5.953272277649746e-14	0.25	0.0	GSE205335
LGALS9_CD44	GALECTIN	LGALS9	CD44	inhibitory	tertile	4	69	0.08601315392795875	0.08318855778841461	0.012104919875846675	1.1976973487355714e-12	3.7919731034877565e-07	0.0	GSE131907+GSE205335+GSE207422+GSE325414
LGALS9_P4HB	GALECTIN	LGALS9	P4HB	inhibitory	tertile	4	67	0.03987496647686104	0.02689974644506186	0.00611414180760125	6.948706410630856e-11	4.337035518997287e-07	0.0	GSE131907+GSE205335+GSE207422+GSE325414
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	inhibitory	tertile	4	68	0.10269798489700337	0.10437414067486786	0.01574772287122388	6.96310053293128e-11	5.6042251844065e-07	0.0	GSE131907+GSE205335+GSE207422+GSE325414
BAG6_NCR3-PS	BAG	BAG6	NCR3	other	tertile	2	16	0.019661253847546665	0.01538702458252592	0.0036257476191667395	5.871342548129995e-08	3.0517578125e-05	0.0	GSE131907+GSE205335
ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	tertile	4	62	0.06250047279055096	0.042945030413151467	0.011852173958732863	1.3396737569801728e-07	4.81201317247777e-08	2.4078279710198	GSE131907+GSE205335+GSE207422+GSE325414
HLA-F_CD8A	MHC-I	HLA-F	CD8A	inhibitory	tertile	4	69	0.05688658315603069	0.025249577750853958	0.010905675252935464	1.8259484860747605e-07	1.9293263845760448e-07	0.0	GSE131907+GSE205335+GSE207422+GSE325414
TENM4_ADGRL2	ADGRL	TENM4	ADGRL2	other	tertile	1	3	0.030000961764779146	0.03089925216584878	0.005948437514688514	4.570858734735979e-07	0.25	0.0	GSE291670
CX3CL1_CX3CR1	CX3C	CX3CL1	CX3CR1	other	tertile	4	12	0.031402334369039636	0.03271775486810724	0.006502157860110737	1.3685908622701446e-06	0.00341796875	79.14739965257709	GSE131907+GSE205335+GSE207422+GSE325414
HLA-E_CD94:NKG2A	MHC-I	HLA-E	CD94:NKG2A	inhibitory	tertile	3	14	0.06707029697908895	0.07866253421989436	0.014026607915393901	1.7386421799755075e-06	0.0001220703125	0.0	GSE131907+GSE205335+GSE207422
COL9A2_CD44	COLLAGEN	COL9A2	CD44	other	tertile	4	48	0.057488598348230766	0.03594154168206872	0.012386695371153575	3.4646369464466517e-06	8.127074124786304e-08	9.469536273561538	GSE131907+GSE205335+GSE207422+GSE325414
HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	inhibitory	tertile	2	16	0.09756591772024435	0.08648714233328952	0.021362043956786023	4.941509986204972e-06	6.103515625e-05	6.026299237874771	GSE131907+GSE205335
COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	tertile	4	54	0.09049823620981323	0.057762334344377005	0.02038548970331634	9.023277592077022e-06	7.780258214574377e-09	50.23702268795971	GSE131907+GSE205335+GSE207422+GSE325414
COL6A2_CD44	COLLAGEN	COL6A2	CD44	other	tertile	4	36	0.10062251189207017	0.06631751040887617	0.023211066308525048	1.4568764526187624e-05	9.082723408937454e-07	16.350266024376477	GSE131907+GSE205335+GSE207422+GSE325414
LAMA4_CD44	LAMININ	LAMA4	CD44	other	tertile	2	11	0.036098697062729376	0.02676853130691988	0.008794144688285741	4.045669135058175e-05	0.0537109375	0.0	GSE131907+GSE205335
HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	inhibitory	tertile	2	16	0.07692987627375814	0.07438286883088283	0.01877066986785906	4.16000305995947e-05	6.103515625e-05	0.0	GSE131907+GSE205335
BTLA_TNFRSF14	BTLA	BTLA	TNFRSF14	other	tertile	1	2	-0.050223843663791984	-0.050223843663791984	0.01244077559867281	5.413104853368772e-05	0.5	0.0	GSE205335
MDK_NCL	MK	MDK	NCL	other	tertile	4	79	0.1014451573468876	0.052937081517219764	0.026013785714894502	9.632422748587876e-05	3.2540248193532898e-09	53.62831722175867	GSE131907+GSE205335+GSE207422+GSE325414
HLA-E_KLRK1	MHC-I	HLA-E	KLRK1	inhibitory	tertile	1	19	0.12125322018488931	0.09627767766985793	0.03256396059755572	0.0001964484722625153	0.00202178955078125	0.0	GSE205335
LAMC1_CD44	LAMININ	LAMC1	CD44	other	tertile	5	80	0.0729199101878972	0.05534443506119853	0.019675197925482536	0.00021040519414779424	1.843883953388773e-08	70.53980985908281	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
TNFSF15_TNFRSF25	VEGI	TNFSF15	TNFRSF25	other	tertile	3	13	0.0095721216482395	0.00853608901759806	0.002595816383356914	0.0002264513906241357	0.000244140625	0.0	GSE131907+GSE205335+GSE207422
CDH1_KLRG1	CDH1	CDH1	KLRG1	barrier|inhibitory	tertile	4	35	0.03275578314311896	0.03176086923164993	0.008980315478996897	0.0002647948543254315	1.4551915228366852e-09	88.61497454393462	GSE131907+GSE205335+GSE207422+GSE325414
COL4A2_SDC4	COLLAGEN	COL4A2	SDC4	other	tertile	2	6	-0.0013400982567376798	-0.0008970690247229536	0.00037371309655035426	0.0003359160760631986	0.4375	0.0	GSE207422+GSE291670
ICOSL_CTLA4	ICOS	ICOSLG	CTLA4	other	tertile	1	3	0.02573383083474759	0.018482546247952633	0.007251284586794956	0.0003868952258752847	0.25	0.0	GSE205335
LAMB3_CD44	LAMININ	LAMB3	CD44	other	tertile	5	75	0.13251058424195283	0.10545037475564117	0.03762730632121998	0.000428853584464269	7.658492955092151e-10	81.06065898444731	GSE131907+GSE205335+GSE207422+GSE291670+GSE325414
COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	tertile	4	67	0.08905446963317598	0.046899362667215394	0.02566015188150911	0.000519421557275229	6.2922102917514485e-06	44.69858106650404	GSE131907+GSE205335+GSE207422+GSE325414
