gene	row	found	n_obs
CLDN1	CLDN1	True	501
CLDN3	CLDN3	True	501
CLDN4	CLDN4	True	501
CLDN7	CLDN7	True	501
OCLN	OCLN	True	501
TJP1	TJP1	True	501
TJP2	TJP2	True	501
TJP3	TJP3	True	501
F11R	F11R	True	501
JAM2	JAM2	True	501
JAM3	JAM3	True	501
MARVELD2	MARVELD2	True	501
MARVELD3	MARVELD3	True	501
CGN	CGN	True	501
CGNL1	CGNL1	True	501
