gene	row	found	n_obs
CCL5	ENSG00000271503.6	True	110
CD27	ENSG00000139193.3	True	110
CD274	ENSG00000120217.14	True	110
CD276	ENSG00000103855.18	True	110
CD8A	ENSG00000153563.15	True	110
CMKLR1	ENSG00000174600.14	True	110
CXCL9	ENSG00000138755.6	True	110
CXCR6	ENSG00000172215.6	True	110
HLA-DQA1	ENSG00000196735.13	True	110
HLA-DRB1	ENSG00000196126.11	True	110
HLA-E	ENSG00000204592.9	True	110
IDO1	ENSG00000131203.13	True	110
LAG3	ENSG00000089692.9	True	110
NKG7	ENSG00000105374.10	True	110
PDCD1LG2	ENSG00000197646.8	True	110
PSMB10	ENSG00000205220.12	True	110
STAT1	ENSG00000115415.20	True	110
TIGIT	ENSG00000181847.12	True	110
