gene	row	found	n_obs
CCL5	CCL5	True	501
CD27	CD27	True	501
CD274	CD274	True	501
CD276	CD276	True	501
CD8A	CD8A	True	501
CMKLR1	CMKLR1	True	501
CXCL9	CXCL9	True	501
CXCR6	CXCR6	True	501
HLA-DQA1	HLA-DQA1	True	501
HLA-DRB1	HLA-DRB1	True	501
HLA-E	HLA-E	True	501
IDO1	IDO1	True	501
LAG3	LAG3	True	501
NKG7	NKG7	True	501
PDCD1LG2	PDCD1LG2	True	501
PSMB10	PSMB10	True	501
STAT1	STAT1	True	501
TIGIT	TIGIT	True	501
