cohort	gene	row	found	n_obs
BRCA	CLDN1		False	0
BRCA	CLDN3	ENSG00000165215.6	True	122
BRCA	CLDN4	ENSG00000189143.9	True	113
BRCA	CLDN7		False	0
BRCA	OCLN	ENSG00000197822.11	True	122
BRCA	TJP1	ENSG00000104067.16	True	122
BRCA	TJP2		False	0
BRCA	TJP3	ENSG00000105289.15	True	122
BRCA	F11R	ENSG00000158769.18	True	122
BRCA	JAM2	ENSG00000154721.15	True	33
BRCA	JAM3	ENSG00000166086.13	True	105
BRCA	MARVELD2	ENSG00000152939.17	True	106
BRCA	MARVELD3	ENSG00000140832.9	True	104
BRCA	CGN		False	0
BRCA	CGNL1	ENSG00000128849.10	True	122
COAD	CLDN1	ENSG00000163347.6	True	27
COAD	CLDN3	ENSG00000165215.6	True	97
COAD	CLDN4	ENSG00000189143.9	True	79
COAD	CLDN7	ENSG00000181885.18	True	83
COAD	OCLN	ENSG00000197822.11	True	97
COAD	TJP1	ENSG00000104067.16	True	97
COAD	TJP2		False	0
COAD	TJP3	ENSG00000105289.15	True	97
COAD	F11R	ENSG00000158769.18	True	97
COAD	JAM2		False	0
COAD	JAM3	ENSG00000166086.13	True	97
COAD	MARVELD2	ENSG00000152939.17	True	8
COAD	MARVELD3	ENSG00000140832.9	True	49
COAD	CGN	ENSG00000143375.15	True	97
COAD	CGNL1		False	0
CCRCC	CLDN1	ENSG00000163347.6	True	30
CCRCC	CLDN3	ENSG00000165215.6	True	103
CCRCC	CLDN4		False	0
CCRCC	CLDN7	ENSG00000181885.18	True	25
CCRCC	OCLN	ENSG00000197822.11	True	103
CCRCC	TJP1	ENSG00000104067.16	True	103
CCRCC	TJP2	ENSG00000119139.20	True	17
CCRCC	TJP3	ENSG00000105289.15	True	95
CCRCC	F11R	ENSG00000158769.18	True	103
CCRCC	JAM2	ENSG00000154721.15	True	83
CCRCC	JAM3	ENSG00000166086.13	True	103
CCRCC	MARVELD2	ENSG00000152939.17	True	71
CCRCC	MARVELD3	ENSG00000140832.9	True	91
CCRCC	CGN		False	0
CCRCC	CGNL1	ENSG00000128849.10	True	103
GBM	CLDN1		False	0
GBM	CLDN3		False	0
GBM	CLDN4		False	0
GBM	CLDN7		False	0
GBM	OCLN	ENSG00000197822.11	True	81
GBM	TJP1	ENSG00000104067.16	True	99
GBM	TJP2	ENSG00000119139.20	True	99
GBM	TJP3	ENSG00000105289.15	True	24
GBM	F11R	ENSG00000158769.18	True	99
GBM	JAM2	ENSG00000154721.15	True	99
GBM	JAM3	ENSG00000166086.13	True	99
GBM	MARVELD2	ENSG00000152939.17	True	9
GBM	MARVELD3	ENSG00000140832.9	True	8
GBM	CGN		False	0
GBM	CGNL1	ENSG00000128849.10	True	99
HNSCC	CLDN1	ENSG00000163347.6	True	90
HNSCC	CLDN3	ENSG00000165215.6	True	70
HNSCC	CLDN4	ENSG00000189143.9	True	95
HNSCC	CLDN7	ENSG00000181885.18	True	27
HNSCC	OCLN	ENSG00000197822.11	True	102
HNSCC	TJP1	ENSG00000104067.16	True	108
HNSCC	TJP2	ENSG00000119139.20	True	12
HNSCC	TJP3	ENSG00000105289.15	True	108
HNSCC	F11R	ENSG00000158769.18	True	108
HNSCC	JAM2	ENSG00000154721.15	True	30
HNSCC	JAM3	ENSG00000166086.13	True	108
HNSCC	MARVELD2	ENSG00000152939.17	True	56
HNSCC	MARVELD3	ENSG00000140832.9	True	74
HNSCC	CGN	ENSG00000143375.15	True	108
HNSCC	CGNL1	ENSG00000128849.10	True	108
OV	CLDN1	ENSG00000163347.6	True	83
OV	CLDN3	ENSG00000165215.6	True	83
OV	CLDN4	ENSG00000189143.9	True	83
OV	CLDN7	ENSG00000181885.18	True	83
