gene	row	found	n_obs
CLDN1	ENSG00000163347.6	True	9
CLDN4	ENSG00000189143.9	True	79
CLDN7	ENSG00000181885.18	True	17
F11R	ENSG00000158769.18	True	110
TJP1	ENSG00000104067.16	True	110
TJP2	ENSG00000119139.20	True	60
OCLN	ENSG00000197822.11	True	110
