gene	row	found	n_obs
CLDN1	CLDN1	True	501
CLDN4	CLDN4	True	501
CLDN7	CLDN7	True	501
F11R	F11R	True	501
TJP1	TJP1	True	501
TJP2	TJP2	True	501
OCLN	OCLN	True	501
