cohort	predictor	endpoint	n_high	n_low	median_high	median_low	delta_median_high_minus_low	U	p
CPTAC_LUAD	CLDN4_protein	ImmuneScore	39	40	7885.714	8680.8305	-795.1165000000001	585.0	0.056490886080451795
CPTAC_LUAD	CLDN4_protein	CD8_CIBERSORT	39	40	0.1348872	0.149637307	-0.014750106999999985	740.0	0.6985123873504537
CPTAC_LUAD	CLDN4_protein	CD8_xCell	39	40	0.01243031	0.027711875	-0.015281565	543.0	0.020299328825231222
CPTAC_LUAD	CLDN4_protein	Immune_xCell	39	40	0.07752763	0.1111651	-0.03363747	566.0	0.03630100019623057
CPTAC_LUAD	CLDN4_protein	StromalScore	39	40	7304.131	7567.9295	-263.7984999999999	710.0	0.4955529088485684
CPTAC_LUAD	CLDN4_protein	CD8_RNA	39	40	-0.2040225677889094	0.24530850015238337	-0.44933106794129274	618.0	0.11327616878318676
CPTAC_LUAD	CLDN4_protein	GEP18_RNA	39	40	-0.04675540270336014	0.2312981833858348	-0.27805358608919495	536.0	0.016953531812670494
CPTAC_LUAD	CLDN4_protein	CYT_RNA	39	40	-0.1940481145190387	0.246201658021927	-0.4402497725409657	529.0	0.014035458961627731
CPTAC_LUAD	TJ15_protein	ImmuneScore	55	55	7796.313	8719.779	-923.4660000000003	925.0	0.0004495056132997436
CPTAC_LUAD	TJ15_protein	CD8_CIBERSORT	55	55	0.12112623	0.145992839	-0.02486660900000001	1217.0	0.07780730490922928
CPTAC_LUAD	TJ15_protein	CD8_xCell	55	55	0.01600604	0.01937581	-0.003369770000000001	1327.0	0.26850770445678385
CPTAC_LUAD	TJ15_protein	Immune_xCell	55	55	0.06076322	0.1052254	-0.04446218	905.0	0.0002848145074129701
CPTAC_LUAD	TJ15_protein	StromalScore	55	55	6930.943	7669.058	-738.1149999999998	996.0	0.0020374193481012665
CPTAC_LUAD	TJ15_protein	CD8_RNA	55	55	-0.2436220811008714	0.1597162063382964	-0.4033382874391678	1101.0	0.014009582605132263
CPTAC_LUAD	TJ15_protein	GEP18_RNA	55	55	-0.24072744340593843	0.25981632676641	-0.5005437701723484	962.0	0.0010090909880960451
CPTAC_LUAD	TJ15_protein	CYT_RNA	55	55	-0.3266474155450472	0.18259949855787136	-0.5092469141029186	949.0	0.0007635090491305972
CPTAC_LUAD	TJ15_RNA	ImmuneScore	55	55	7849.283	8658.056	-808.7730000000001	1058.0	0.006646055052546262
CPTAC_LUAD	TJ15_RNA	CD8_CIBERSORT	55	55	0.110999568	0.150465095	-0.039465526999999986	1001.0	0.0022518655499381653
CPTAC_LUAD	TJ15_RNA	CD8_xCell	55	55	0.01872918	0.01748088	0.0012483000000000008	1530.0	0.9190115500199412
CPTAC_LUAD	TJ15_RNA	Immune_xCell	55	55	0.06562142	0.1007938	-0.03517238	1116.0	0.017916202731746187
CPTAC_LUAD	TJ15_RNA	StromalScore	55	55	7175.303	7645.067	-469.7640000000001	1259.0	0.13041416523905738
CPTAC_LUAD	TJ15_RNA	CD8_RNA	55	55	-0.29190026769890326	0.17790963007294122	-0.46980989777184445	921.0	0.00041074242399620855
CPTAC_LUAD	TJ15_RNA	GEP18_RNA	55	55	-0.19921406715066903	0.06898593004275483	-0.26819999719342386	1057.0	0.006527086703806076
CPTAC_LUAD	TJ15_RNA	CYT_RNA	55	55	-0.1940481145190387	0.1325129162888766	-0.3265610308079153	1153.0	0.03186069001540363
