gene	row	found	n_obs
CLDN1	ENSG00000163347.6	True	110
CLDN3	ENSG00000165215.6	True	110
CLDN4	ENSG00000189143.9	True	110
CLDN7	ENSG00000181885.18	True	110
OCLN	ENSG00000197822.11	True	110
TJP1	ENSG00000104067.16	True	110
TJP2	ENSG00000119139.20	True	110
TJP3	ENSG00000105289.15	True	110
F11R	ENSG00000158769.18	True	110
JAM2	ENSG00000154721.15	True	110
JAM3	ENSG00000166086.13	True	110
MARVELD2	ENSG00000152939.17	True	110
MARVELD3	ENSG00000140832.9	True	110
CGN	ENSG00000143375.15	True	110
CGNL1	ENSG00000128849.10	True	110
