sample	CLDN4_protein	TJ15_protein	TJ7_protein	TJ15_RNA	TJ7_RNA	CD8_RNA	CYT_RNA	GEP18_RNA	ImmuneScore	StromalScore	ESTIMATEScore	CD8_CIBERSORT	CD8_xCell	Immune_xCell	WES_purity	WGS_purity
C3N-01799	22.9868855161172	-0.44915071177903426	-0.3153778139079434	0.031000203345408373	-0.08806320303284432	-0.06702903579042616	0.12563589349716076	0.3888834439258136	9447.079	7392.818	16839.898	0.086888868	0.06156367	0.2967969	0.27	0.075
C3L-01890	23.2027895420681	0.4806865249823974	0.23406811736525862	0.3746566618250361	-0.07406397920565286	-0.011566557868507424	-0.40445137302477663	-0.9833555857948377	6649.477	7304.131	13953.608	0.167547214	0.01243031	0.01690872		
C3N-00572	23.1132171218189	0.5795066643673803	0.8584237355580961	0.08524541360228946	0.07456767325573432	-0.5846223787847825	0.25526869054082874	0.0054282874319812584	8704.862	6591.564	15296.427	0.103443986	0.02125093	0.1224114	0.28	0.325
C3N-02423	22.8022812803958	-0.45469305297299145	-0.3871915139588834	-0.32997403532190467	-0.3119760470679533	1.2249294776506532	1.4695028275729705	1.3508414973580194	9819.911	8649.026	18468.937	0.23890739	0.05175229	0.1654744	0.3	0.175
C3N-02729	22.2029179081993	-0.08560835890160005	0.22146531735189257	0.3426349192619072	0.19484489907529848	-1.9360616475774708	-0.6945990234446383	-0.9428649412118969	6676.307	7129.276	13805.584	0.061332101	0.002186661	0.02423827	0.49	0.49
C3L-00263	23.553764737516	-0.13056108078051906	0.09216068123121571	0.1832530337378791	0.709503220536967	1.368511080932701	1.003547844849296	0.9145018933745178	10419.327	9019.958	19439.285	0.35023515	0.09170297	0.2882448	0.23	
C3N-01410	23.3211210488318	-0.11424437351279554	-0.12299099425844712	-0.07310591437458912	-0.11965197484334798	0.2825152769545607	-0.03576557506609594	-0.48349318961735943	7393.52	6975.94	14369.46	0.1015175637	0.0	0.0334201	0.38	0.3975
C3N-00578	23.1164940904834	-0.006077484166457438	-0.22874225064857606	-0.17768309587114212	-0.3305371121615583	-0.8717928320440071	-0.7688299629293185	-0.34596048249624667	8004.16	7636.097	15640.257	0.07521227	0.003293181	0.05850166	0.56	0.333
C3N-02587	22.0696702147104	-0.264645749378761	-0.5867139045222103	-0.18453422826435364	-0.1552044423814905	-0.6077719394769228	-0.40124485386087005	-0.24860437190596998	8542.659	6154.9	14697.56	0.046744553	0.03799289	0.152522	0.49	0.49
C3L-00893	24.6759156789237	1.0100081478665959	1.5991422378238305	1.0684750338600622	1.2400838658805637	-0.2436220811008714	-0.1940481145190387	-0.5414103313918209	7770.22	6527.25	14297.47	0.09680059	0.01120617	0.08304314	0.57	0.355
