cohort	n_tumors	n_CLDN4_protein	tj15_n_genes	predictor	endpoint	pheno_column	n	rho	p	ci95_lo	ci95_hi
BRCA	122	113	11	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	112	0.008260156490244985	0.9311181924397914	-0.19668282788763608	0.2179063830224689
BRCA	122	113	11	CLDN4_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	112	-0.025173403491987562	0.7921935038208366	-0.2091740678606827	0.16076179551233047
BRCA	122	113	11	CLDN4_protein	CD8_xCell	xCell_T_cell_CD8+	112	0.11395583191365527	0.231553209435102	-0.07089104327211986	0.30456678822804134
BRCA	122	113	11	CLDN4_protein	Immune_xCell	xCell_immune_score	112	-0.0519356271568661	0.5865541952166164	-0.2472728093418431	0.14211135737935243
BRCA	122	113	11	TJ15_protein	ImmuneScore	ESTIMATE_ImmuneScore	121	-0.18567267307952848	0.041453560732357904	-0.3586088794998789	0.001723342294772895
BRCA	122	113	11	TJ15_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	121	-0.116644086167186	0.20262065718243677	-0.2959670649735868	0.06975305165871082
BRCA	122	113	11	TJ15_protein	CD8_xCell	xCell_T_cell_CD8+	121	-0.18263796364506005	0.044956436499586146	-0.3456024179650833	-0.006767657719341665
BRCA	122	113	11	TJ15_protein	Immune_xCell	xCell_immune_score	121	-0.17337759111231535	0.05719908710000801	-0.34295403435050126	0.014274037140038089
COAD	97	79	12	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	78	-0.11804651045157374	0.3033243282939314	-0.34034777483725537	0.09598198693826056
COAD	97	79	12	CLDN4_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	78	-0.1406568115428875	0.21933126562946897	-0.35009897619027663	0.0751205063728216
COAD	97	79	12	CLDN4_protein	CD8_xCell	xCell_T_cell_CD8+	78	-0.19360345088584796	0.08943926903165139	-0.3954092774279479	0.028088053082608342
COAD	97	79	12	CLDN4_protein	Immune_xCell	xCell_immune_score	78	-0.18367708241125963	0.10745695845997147	-0.4149638559648355	0.043537072977826635
COAD	97	79	12	TJ15_protein	ImmuneScore	ESTIMATE_ImmuneScore	96	-0.2022110689093869	0.04818158748578947	-0.3994881751647208	0.018300077573244877
COAD	97	79	12	TJ15_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	96	-0.12555615843733045	0.22287859937186494	-0.32000486385139076	0.0854228385076638
COAD	97	79	12	TJ15_protein	CD8_xCell	xCell_T_cell_CD8+	96	-0.204528609717024	0.045619622767101395	-0.3856299106724412	0.001028955890276538
COAD	97	79	12	TJ15_protein	Immune_xCell	xCell_immune_score	96	-0.15659251220835593	0.12760751806775708	-0.35656283217251633	0.057566063098933244
CCRCC	103	0	13	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	0				
CCRCC	103	0	13	CLDN4_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	0				
CCRCC	103	0	13	CLDN4_protein	CD8_xCell	xCell_T_cell_CD8+	0				
CCRCC	103	0	13	CLDN4_protein	Immune_xCell	xCell_immune_score	0				
CCRCC	103	0	13	TJ15_protein	ImmuneScore	ESTIMATE_ImmuneScore	103	-0.11696612924482713	0.23934202764932277	-0.3047948051640929	0.07491364697402339
CCRCC	103	0	13	TJ15_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	103	0.01691341211615341	0.865348619073535	-0.16676116358825402	0.20984716995747912
CCRCC	103	0	13	TJ15_protein	CD8_xCell	xCell_T_cell_CD8+	103	-0.05702446758200084	0.5672284914686059	-0.24440867077968984	0.1294503479561434
CCRCC	103	0	13	TJ15_protein	Immune_xCell	xCell_immune_score	103	-0.20648640337389623	0.03638121729448993	-0.38139042082053576	-0.016457950870263645
GBM	99	0	10	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	0				
GBM	99	0	10	CLDN4_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	0				
GBM	99	0	10	CLDN4_protein	CD8_xCell	xCell_T_cell_CD8+	0				
GBM	99	0	10	CLDN4_protein	Immune_xCell	xCell_immune_score	0				
GBM	99	0	10	TJ15_protein	ImmuneScore	ESTIMATE_ImmuneScore	99	0.005367965367965367	0.9579449425395562	-0.1978899392430812	0.21071430281222508
GBM	99	0	10	TJ15_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	99	-0.029268891622560703	0.7736645586930568	-0.23232098820956526	0.16797369201876966
GBM	99	0	10	TJ15_protein	CD8_xCell	xCell_T_cell_CD8+	99	-0.10398121742855915	0.30572194420789656	-0.32147466516128964	0.11859324558588594
GBM	99	0	10	TJ15_protein	Immune_xCell	xCell_immune_score	99	-0.03412492269635126	0.7373805660192867	-0.2400952700827553	0.1754154310739464
HNSCC	108	95	15	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	95	-0.19584266517357224	0.05716711536549948	-0.40578261222827716	0.017501489509515647
HNSCC	108	95	15	CLDN4_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	95	-0.2558826411594635	0.012320265810261117	-0.45698779356483626	-0.04987841397719835
HNSCC	108	95	15	CLDN4_protein	CD8_xCell	xCell_T_cell_CD8+	95	-0.2368027005322319	0.02086168991290943	-0.4336903345584563	-0.025111000379056298
HNSCC	108	95	15	CLDN4_protein	Immune_xCell	xCell_immune_score	95	-0.17970324748040314	0.08141068282222637	-0.39333612184523803	0.03360029925856015
HNSCC	108	95	15	TJ15_protein	ImmuneScore	ESTIMATE_ImmuneScore	108	-0.3459849285966065	0.0002447507756168564	-0.5075021237129784	-0.15035220140089667
HNSCC	108	95	15	TJ15_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	108	-0.21217346570328177	0.02749078876893044	-0.3697289686172027	-0.025197287559706835
HNSCC	108	95	15	TJ15_protein	CD8_xCell	xCell_T_cell_CD8+	108	-0.2313798164970341	0.01597959853393072	-0.3895236972470092	-0.05130533110813199
HNSCC	108	95	15	TJ15_protein	Immune_xCell	xCell_immune_score	108	-0.2852991892690083	0.002763593721638994	-0.46288243897209647	-0.08242754393577434
OV	83	83	13	CLDN4_protein	ImmuneScore	ESTIMATE_ImmuneScore	82	-0.1889726929397808	0.08907326632559158	-0.3850527548184905	0.02571843930698756
OV	83	83	13	CLDN4_protein	CD8_CIBERSORT	CIBERSORT_T_cell_CD8+	82	-0.16903217404977713	0.128989294049105	-0.37963312421578077	0.05984498813291827
OV	83	83	13	CLDN4_protein	CD8_xCell	xCell_T_cell_CD8+	82	-0.022226430617055395	0.8428858607523997	-0.2571378568814354	0.21053642487239596
OV	83	83	13	CLDN4_protein	Immune_xCell	xCell_immune_score	82	-0.15590818558787997	0.16190174144690014	-0.3587410915454485	0.07214316399068256
OV	83	83	13	TJ15_protein	ImmuneScore	ESTIMATE_ImmuneScore	82	-0.13353141563544152	0.23170445229337114	-0.3417786519784585	0.104442850841063
