accession	agent	tissue	model	omics	contrast	direct_drug_exposure	access	status_for_question	key_limit	url
EGAD50000001014	datopotamab deruxtecan	NSCLC	patient tumors	bulk RNA-seq; WES; GeoMx spatial transcriptomics	baseline vs on-treatment Dato-DXd	yes	controlled	primary direct hit	20 paired bulk RNA-seq cases and 7 paired spatial cases; sample-level files require EGA approval	https://ega-archive.org/datasets/EGAD50000001014
EGAS50000000732	datopotamab deruxtecan	NSCLC	patient tumors	bulk RNA-seq	baseline vs on-treatment Dato-DXd	yes	controlled	primary direct hit	3 responder and 17 non-responder pairs; mixed on-treatment timepoints	https://ega-archive.org/studies/EGAS50000000732
EGAS50000001679	datopotamab deruxtecan	NSCLC	patient tumors	GeoMx spatial transcriptomics	baseline vs on-treatment Dato-DXd	yes	controlled	primary direct hit	7 paired patients; IFN-alpha result is aggregate published evidence	https://ega-archive.org/studies/EGAS50000001679
HRA011882	sacituzumab tirumotecan	lung cancer	PC9 and NCI-H1975 cells	RNA-seq; CUT&Tag	parental vs 14-day osimertinib DTP	no	open access	indirect only	no sac-TMT-treated omics samples	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011882
GSE302284	sacituzumab govitecan	NSCLC	patient samples and osimertinib-treated model	scRNA-seq / expression profiling	osimertinib persister-state profiling	no	public	indirect only	SG efficacy was tested in vivo but deposited omics are not an SG treatment contrast	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302284
GSE278664	sacituzumab govitecan	ovarian cancer	patient tumors and ovarian models	RNA-seq	SG-related DNA-damage study	yes	public	excluded: wrong tissue	direct SG biology but not lung	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278664
GSE334497	TROP2 knockout / hRS7 mechanism	breast cancer	4T1 mouse tumors	bulk RNA-seq	Trop2 WT vs knockout	no ADC exposure	public	excluded: mechanistic only	supports TJ-down/immune-up plausibility but wrong tissue and perturbation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE334497
GSE235812	datopotamab deruxtecan	breast cancer	patient-derived xenografts	RNA-seq	response-associated baseline profiles; pharmacodynamic RPPA	partial	public	excluded: wrong tissue	not a lung dataset; RNA signal is largely response association rather than paired lung perturbation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235812
NCT05089734	sacituzumab govitecan	NSCLC	patients	clinical trial	SG vs docetaxel	yes	public registry	no public omics found	clinical outcomes do not provide an expression perturbation dataset	https://clinicaltrials.gov/study/NCT05089734
NCT04656652	datopotamab deruxtecan	NSCLC	patients	clinical trial	Dato-DXd vs docetaxel	yes	public registry	no public omics found	clinical outcomes do not provide an open expression perturbation dataset	https://clinicaltrials.gov/study/NCT04656652
