feature	role	definition	n	n_raw	raw_rho	raw_p	partial_rho	partial_p	partial_ci_low	partial_ci_high	partial_t	partial_df	partial_fdr_primary3	partial_fdr_imsig8
CD8	primary	CD8A z-score	169	169	-0.3803664661	3.37649111e-07	-0.3086576419	4.688545063e-05	-0.4395266846	-0.1649569136	-4.180916286	166	4.688545063e-05	
GEP18	primary	Ayers 2017 GEP, mean of present gene z-scores (17/18; CCL5 absent)	169	169	-0.4136741087	2.266642857e-08	-0.3486895412	3.621425913e-06	-0.4750206129	-0.2082756673	-4.793391972	166	1.086427774e-05	
immune_tcell_effector	primary	A1 8-gene immune / T-cell effector mean z-score	169	169	-0.3872333549	1.981817934e-07	-0.3177689433	2.700924161e-05	-0.4476412237	-0.1747678148	-4.317974934	166	4.051386242e-05	
CYT	secondary	Rooney CYT: mean(GZMA, PRF1) z-scores	169	169	-0.4210432102	1.196899969e-08	-0.3593698181	1.718525638e-06	-0.4844212275	-0.219926704	-4.96161583	166		
CD8_CD8A_CD8B	sensitivity	mean(CD8A, CD8B) z-scores	169	169	-0.3721147631	6.303970419e-07	-0.2986073489	8.43900777e-05	-0.4305510328	-0.1541678056	-4.031206096	166		
cytotoxic_A1	secondary	original A1 cytotoxic 8-gene mean z-score	169	169	-0.4253592561	8.175411432e-09	-0.3631118039	1.31500145e-06	-0.4877080481	-0.2240182417	-5.0210792	166		
exhaustion_A1	secondary	original A1 exhaustion 12-gene mean z-score	169	169	-0.4438292477	1.504017841e-09	-0.3887239336	1.918368827e-07	-0.5101103576	-0.2521551403	-5.435865079	166		
IMSIG_B_CELLS	imsig_published	IMSIG B cells	169	169	-0.3216597882	2.004123909e-05	-0.2401166835	0.001718382301	-0.37779148	-0.09205359569	-3.186923586	166		0.001963865487
IMSIG_INTERFERON	imsig_published	IMSIG interferon	169	169	-0.1301576252	0.09166608729	-0.06314866597	0.4161026427	-0.2125264214	0.0891131639	-0.8152407604	166		0.4161026427
IMSIG_MACROPHAGES	imsig_published	IMSIG macrophages	169	169	-0.4623256317	2.486209329e-10	-0.408140031	3.982027351e-08	-0.5269841024	-0.2736402207	-5.760110716	166		1.06187396e-07
IMSIG_MONOCYTES	imsig_published	IMSIG monocytes	169	169	-0.4401265975	2.129111691e-09	-0.3813532783	3.395355495e-07	-0.5036802579	-0.2440341728	-5.315055317	166		5.432568792e-07
IMSIG_NEUTROPHILS	imsig_published	IMSIG neutrophils	169	169	-0.5030008453	3.183245185e-12	-0.4563716698	5.061157875e-10	-0.5684986899	-0.3275986656	-6.608236375	166		4.0489263e-09
IMSIG_NK_CELLS	imsig_published	IMSIG NK cells	169	169	-0.4710009448	1.029157589e-10	-0.421335571	1.290009681e-08	-0.5383985838	-0.2883188917	-5.985776044	166		5.160038723e-08
IMSIG_PLASMA_CELLS	imsig_published	IMSIG plasma cells	169	169	-0.3294962956	1.217398459e-05	-0.285363079	0.0001772731163	-0.4186829342	-0.1400023371	-3.836155391	166		0.0002363641551
IMSIG_T_CELLS	imsig_published	IMSIG T cells	169	169	-0.4553975436	4.941152399e-10	-0.4041324583	5.554399399e-08	-0.5235089399	-0.2691945799	-5.692445387	166		1.11087988e-07
IMSIG_PROLIFERATION	imsig_control	IMSIG proliferation (control)	169	169	0.1220948735	0.1137922015	0.1365032984	0.0776741812	-0.01522107969	0.2820830147	1.775339836	166		
IMSIG_TRANSLATION	imsig_control	IMSIG translation (control)	169	169	0.2352841728	0.002074588821	0.2110921978	0.006020539945	0.06165292327	0.3512747461	2.7824316	166		
