cohort,contrast,gene,group1,n1,median1,group2,n2,median2,p_mannwhitney,rank_biserial
GSE126044,responder_vs_nonresponder,TACSTD2,responder,5,6.168039700600696,non-responder,11,6.288184233072098,0.440934065934066,0.2727272727272727
GSE126044,responder_vs_nonresponder,CLDN18,responder,5,1.9823287622924985,non-responder,11,1.274858818107414,0.5096153846153847,-0.23636363636363633
GSE126044,responder_vs_nonresponder,TOP1,responder,5,7.203075738055806,non-responder,11,6.873235976526863,0.7426739926739928,-0.1272727272727272
GSE126044,responder_vs_nonresponder,CD274,responder,5,3.578706936870551,non-responder,11,2.530439734422825,0.22115384615384617,-0.4181818181818182
GSE207422,MPR_vs_NMPR,TACSTD2,MPR,9,4.9991896090022,NMPR,15,6.22219707106702,0.3400554635028641,0.24444444444444446
GSE207422,MPR_vs_NMPR,CLDN18,MPR,9,0.0809250316920104,NMPR,15,0.0682498055643354,1.0,0.0
GSE207422,MPR_vs_NMPR,TOP1,MPR,9,4.22523590005962,NMPR,15,4.55842720346836,0.37109336952269756,0.22962962962962963
GSE207422,MPR_vs_NMPR,CD274,MPR,9,2.50599912780065,NMPR,15,2.54532790752214,0.4038310514124599,-0.2148148148148148
