gene	present
Ager	True
B2m	True
Cd3d	True
Cd3e	True
Cd3g	True
Cd8a	True
Cd8b1	True
Cdh1	True
Ciita	True
Cldn18	True
Cldn4	True
Ddx58	True
Epcam	True
H2-Aa	True
H2-Ab1	True
H2-D1	True
H2-Eb1	True
H2-K1	True
H2-Q4	True
H2-Q6	True
H2-Q7	True
Ifih1	True
Ifit1	True
Ifit2	True
Ifit3	True
Ifnb1	False
Irf1	True
Irf7	True
Irf9	True
Isg15	True
Klrb1c	True
Krt18	True
Krt19	True
Krt8	True
Mx1	True
Ncr1	True
Nkg7	True
Nkx2-1	True
Nlrc5	True
Oasl2	True
Psmb10	True
Psmb8	True
Psmb9	True
Ptprc	True
Rsad2	True
Scgb1a1	True
Sftpc	True
Stat1	True
Stat2	True
Tap1	True
Tap2	True
Tapbp	True
