malig_family	tnk_family	score_family	k	cohorts	n_patients	rho_TAC	p_TAC	I2_TAC	rho_CLDN	p_CLDN	I2_CLDN	stouffer_z_TAC	stouffer_p_TAC	stouffer_z_CLDN	stouffer_p_CLDN	both_negative	is_full_family	n_family_units
marker	tnk	pct	1	GSE253013	9	-0.8333333333333333	0.005265691029161747	0.0	-0.5333333333333333	0.13922686754397814	0.0	-2.7903142191770365	0.005265691029161756	-1.478676232299885	0.1392268675439782	True	False	3
primary_mixed	tnk	mean	1	GSE253013	9	-0.7166666666666667	0.02981803569584528	0.0	-0.33333333333333337	0.38071318167686347	0.0	-2.172499123293103	0.02981803569584528	-0.8765829898952091	0.3807131816768634	True	False	8
primary_nsclc_swap	tnk	mean	1	GSE253013	9	-0.7166666666666667	0.02981803569584528	0.0	-0.33333333333333337	0.38071318167686347	0.0	-2.172499123293103	0.02981803569584528	-0.8765829898952091	0.3807131816768634	True	False	8
marker	tnk	mean	1	GSE253013	9	-0.7166666666666667	0.02981803569584528	0.0	-0.33333333333333337	0.38071318167686347	0.0	-2.172499123293103	0.02981803569584528	-0.8765829898952091	0.3807131816768634	True	False	3
primary_mixed	tnk	mean	1	GSE207422	12	-0.4895104895104896	0.10625237175934595	0.0	-0.09090909090909093	0.7787253962454419	0.0	-1.6152693791417427	0.10625237175934599	-0.2809804479489153	0.7787253962454419	True	False	8
primary_nsclc_swap	tnk	mean	1	GSE207422	12	-0.4895104895104896	0.10625237175934595	0.0	-0.09090909090909093	0.7787253962454419	0.0	-1.6152693791417427	0.10625237175934599	-0.2809804479489153	0.7787253962454419	True	False	8
author	tnk	mean	1	GSE207422	12	-0.4895104895104896	0.10625237175934595	0.0	-0.09090909090909093	0.7787253962454419	0.0	-1.6152693791417427	0.10625237175934599	-0.2809804479489153	0.7787253962454419	True	False	6
marker_epi	tnk	pct	1	GSE253013	9	-0.5166666666666667	0.15439012098622507	0.0	-0.06666666666666667	0.8646897846262036	0.0	-1.4241946921193511	0.15439012098622495	-0.17040735965601822	0.8646897846262036	True	True	1
marker_epi	tnk	mean	1	GSE291670	6	-0.6	0.208	0.0	-0.8285714285714287	0.04156268221574335	0.0	-1.2590839804270721	0.20799999999999985	-2.037872532264634	0.04156268221574339	True	False	3
primary_mixed	tnk	mean	1	GSE291670	6	-0.5428571428571429	0.26570262390670546	0.0	-0.8285714285714287	0.04156268221574335	0.0	-1.1130135177453457	0.2657026239067055	-2.037872532264634	0.04156268221574339	True	False	8
