cohort	malig_def	tnk_def	score	gene_TAC	n_TAC	rho_TAC	p_TAC	note_TAC	gene_CLDN	n_CLDN	rho_CLDN	p_CLDN	note_CLDN	both_negative	n
GSE253013	marker_malig	tnk	pct	TACSTD2	9	-0.8333333333333333	0.005265691029161747	tumor malig-like	CLDN4	9	-0.5333333333333333	0.13922686754397814	tumor malig-like	True	9
GSE253013	marker_malig	tnk	mean_cp10k	TACSTD2	9	-0.7833333333333333	0.012519873019449885	tumor malig-like	CLDN4	9	-0.5499999999999999	0.12497678418833194	tumor malig-like	True	9
GSE253013	marker_malig	tnk	mean	TACSTD2	9	-0.7166666666666667	0.02981803569584528	tumor malig-like	CLDN4	9	-0.33333333333333337	0.38071318167686347	tumor malig-like	True	9
GSE291670	marker_epi	tnk	mean	TACSTD2	6	-0.6	0.208	all epithelial	CLDN4	6	-0.8285714285714287	0.04156268221574335	all epithelial	True	6
GSE291670	marker_malig	tnk	mean	TACSTD2	6	-0.5428571428571429	0.26570262390670546	marker malignant	CLDN4	6	-0.8285714285714287	0.04156268221574335	marker malignant	True	6
GSE253013	marker_epi	tnk	pct	TACSTD2	9	-0.5166666666666667	0.15439012098622507	tumor epithelium	CLDN4	9	-0.06666666666666667	0.8646897846262036	tumor epithelium	True	9
GSE207422	author_DRMref	tnk	mean	TACSTD2	12	-0.4895104895104896	0.10625237175934595	A3 given	CLDN4	12	-0.09090909090909093	0.7787253962454419	CLDN4 from given A3 table; not on the A3 slide	True	12
GSE291670	marker_malig	tnk	pct	TACSTD2	6	-0.4285714285714286	0.3965014577259473	marker malignant	CLDN4	6	-0.8857142857142858	0.01884548104956266	marker malignant	True	6
GSE291670	marker_epi	tnk_umi	mean	TACSTD2	6	-0.4285714285714286	0.3965014577259473	all epithelial	CLDN4	6	-0.5428571428571429	0.26570262390670546	all epithelial	True	6
GSE207422	marker_malig	cd8	mean	TACSTD2	7	-0.39285714285714296	0.3833168704269727	post, n_mal>=10	CLDN4	7	-0.07142857142857144	0.879048193148154	post, n_mal>=10	True	7
GSE291670	marker_malig	tnk_umi	mean	TACSTD2	6	-0.3714285714285715	0.4684781341107872	marker malignant	CLDN4	6	-0.5428571428571429	0.26570262390670546	marker malignant	True	6
GSE131907_tLung	author_epi	tnk	pct	TACSTD2	11	-0.26363636363636367	0.43344073761161456	author epithelium, >=20 epi	CLDN4	11	-0.4000000000000001	0.22286835013352	author epithelium, >=20 epi	True	11
GSE205335_NSCLC	author_malig	tnk	pct	TACSTD2	17	-0.24754901960784317	0.33808764785888096	author malignant	CLDN4	17	-0.2058823529411765	0.42791485314270766	author malignant	True	17
GSE207422	marker_epi	cd8	mean	TACSTD2	12	-0.1958041958041958	0.5419358857313173	post all-epithelial	CLDN4	12	-0.006993006993006993	0.9827917689028476	post all-epithelial	True	12
GSE131907	author_malig	tnk	pct	TACSTD2	21	-0.15064935064935067	0.5145138644694079	author Malignant cells subtype	CLDN4	21	-0.5220779220779221	0.015195754492505785	author Malignant cells subtype	True	21
GSE241934_IIT	author_epi	cd8	mean	TACSTD2	11	-0.13636363636363638	0.6893090205863619	author residual Epi	CLDN4	11	-0.10909090909090911	0.7495085962341481	author residual Epi	True	11
GSE241934_Real	author_epi	tnk	pct	TACSTD2	24	-0.12307023556862542	0.5667003854361812	author residual Epi	CLDN4	24	-0.033913043478260865	0.8749966229566862	author residual Epi	True	24
GSE253013	marker_epi	tnk	mean	TACSTD2	9	-0.11666666666666665	0.765007942926146	tumor epithelium	CLDN4	9	-0.19999999999999998	0.6059012741795534	tumor epithelium	True	9
GSE205335_NSCLC	author_malig	tnk	mean	TACSTD2	17	-0.11274509803921569	0.6665920499637249	author malignant	CLDN4	17	-0.022058823529411766	0.9330304490530753	author malignant	True	17
GSE131907	author_malig	cd8	pct	TACSTD2	21	-0.07792207792207792	0.7370748924266822	author Malignant cells subtype	CLDN4	21	-0.5727272727272726	0.006656520496826817	author Malignant cells subtype	True	21
GSE325414	author_malig	tnk	mean	TACSTD2	25	-0.07307692307692308	0.7284839479101775	author malignant, donor	CLDN4	25	-0.11923076923076922	0.5702629145851892	author malignant, donor	True	25
GSE241934_IIT	author_epi	tnk	mean	TACSTD2	11	-0.07272727272727274	0.831716405381337	author residual Epi	CLDN4	11	-0.06363636363636364	0.8525390725425217	author residual Epi	True	11
GSE207422	marker_malig	cd8	pct	TACSTD2	7	-0.07142857142857144	0.879048193148154	post, n_mal>=10	CLDN4	7	-0.1785714285714286	0.7016579425162727	post, n_mal>=10	True	7
GSE207422	marker_malig_nsclc	cd8	pct	TACSTD2	9	-0.03333333333333333	0.9321567355405039	post, n_mal_like>=10	CLDN4	9	-0.13333333333333333	0.7323675052362973	post, n_mal_like>=10	True	9
GSE207422	marker_malig_nsclc	cd8	mean	TACSTD2	9	-0.016666666666666666	0.9660548039946862	post, n_mal_like>=10	CLDN4	9	-0.13333333333333333	0.7323675052362973	post, n_mal_like>=10	True	9
GSE131907	author_epi	tnk	pct	TACSTD2	36	-0.008623463561199439	0.9601896359312355	author epithelium, >=20 epi	CLDN4	36	-0.364993564993565	0.028610578513248885	author epithelium, >=20 epi	True	36
