contrast	n	spearman_rho	spearman_p	note
post n=12: A3-malignant CLDN4 mean log1p(CP10k) vs B	10	-0.10303030303030303	0.7769984634438898	
post n=12: A3-malignant CLDN4 mean log1p(CP10k) vs B+plasma	10	-0.0303030303030303	0.9337729580941466	
post n=12: A3-malignant CLDN4 mean log1p(CP10k) vs TLS-like	10	-0.07878787878787878	0.8287173946974606	
post n=12: A3-malignant CLDN4 mean log1p(CP10k) vs TLS12 z	10	0.22424242424242422	0.5334005612725947	
post n=12: A3-malignant CLDN4 %pos vs B	10	-0.34545454545454546	0.3282265114713672	
post n=12: A3-malignant CLDN4 %pos vs B+plasma	10	-0.309090909090909	0.38484123026128353	
post n=12: A3-malignant CLDN4 %pos vs TLS-like	10	-0.3696969696969697	0.29305007529282234	
post n=12: A3-malignant CLDN4 %pos vs TLS12 z	10	0.309090909090909	0.38484123026128353	
post n=12: epithelial CLDN4 mean log1p(CP10k) vs B	12	-0.06293706293706294	0.8459309212287789	
post n=12: epithelial CLDN4 mean log1p(CP10k) vs B+plasma	12	-0.1258741258741259	0.696683109395766	
post n=12: epithelial CLDN4 mean log1p(CP10k) vs TLS-like	12	-0.07692307692307693	0.8121826980280591	
post n=12: epithelial CLDN4 mean log1p(CP10k) vs TLS12 z	12	0.1258741258741259	0.696683109395766	
post n=12: epithelial CLDN4 %pos vs B	12	-0.3216783216783217	0.30790987618065263	
post n=12: epithelial CLDN4 %pos vs B+plasma	12	-0.49650349650349657	0.10060263183225476	
post n=12: epithelial CLDN4 %pos vs TLS-like	12	-0.41958041958041964	0.1745190081300594	
post n=12: epithelial CLDN4 %pos vs TLS12 z	12	0.2027972027972028	0.5273023541661079	
post n=12: broad-malignant CLDN4 mean log1p(CP10k) vs B	8	-0.6190476190476191	0.10173303745426478	
post n=12: broad-malignant CLDN4 mean log1p(CP10k) vs B+plasma	8	-0.7619047619047621	0.028004939153071805	
post n=12: broad-malignant CLDN4 mean log1p(CP10k) vs TLS-like	8	-0.523809523809524	0.1827207505397148	
post n=12: broad-malignant CLDN4 mean log1p(CP10k) vs TLS12 z	8	0.4761904761904762	0.23293553465009798	
post n=12: broad-malignant CLDN4 %pos vs B	8	-0.6428571428571429	0.08555889101267325	
post n=12: broad-malignant CLDN4 %pos vs B+plasma	8	-0.8095238095238096	0.014902667686230072	
post n=12: broad-malignant CLDN4 %pos vs TLS-like	8	-0.5952380952380953	0.11952980613879269	
post n=12: broad-malignant CLDN4 %pos vs TLS12 z	8	0.3333333333333334	0.4197530864197532	
post n=12: A3-malignant TACSTD2 mean log1p(CP10k) [companion] vs B	10	-0.7818181818181817	0.0075470077810678785	
post n=12: A3-malignant TACSTD2 mean log1p(CP10k) [companion] vs B+plasma	10	-0.9393939393939393	5.4840529985136686e-05	
post n=12: A3-malignant TACSTD2 mean log1p(CP10k) [companion] vs TLS-like	10	-0.8787878787878788	0.0008138621117322101	
post n=12: A3-malignant TACSTD2 mean log1p(CP10k) [companion] vs TLS12 z	10	0.22424242424242422	0.5334005612725947	
post n=12: A3-malignant TACSTD2 %pos [companion] vs B	10	-0.6686960980480711	0.034509541651785366	
post n=12: A3-malignant TACSTD2 %pos [companion] vs B+plasma	10	-0.8267515394048879	0.0031797140860104173	
post n=12: A3-malignant TACSTD2 %pos [companion] vs TLS-like	10	-0.6322217654272672	0.04984609950967957	
post n=12: A3-malignant TACSTD2 %pos [companion] vs TLS12 z	10	0.40121765882884264	0.2504960035253273	
post n=12: epithelial TACSTD2 mean log1p(CP10k) [companion] vs B	12	-0.8111888111888113	0.0013633152527271926	
post n=12: epithelial TACSTD2 mean log1p(CP10k) [companion] vs B+plasma	12	-0.7622377622377624	0.003950448972542647	
post n=12: epithelial TACSTD2 mean log1p(CP10k) [companion] vs TLS-like	12	-0.6153846153846154	0.033169901090105904	
post n=12: epithelial TACSTD2 mean log1p(CP10k) [companion] vs TLS12 z	12	0.4545454545454546	0.13765791634772948	
post n=12: A3-malignant CLDN4 mean vs TACSTD2 mean (companion, not a gate)	10	0.2121212121212121	0.5563057751029299	
post n=12: A3-malignant CLDN4 mean vs MS4A1 mean	10	-0.18787878787878787	0.6032176100292089	
post n=12: A3-malignant CLDN4 mean vs CXCL13 mean	10	-0.22424242424242422	0.5334005612725947	
post n=12: epithelial CLDN4 mean vs MS4A1 mean	12	-0.11188811188811189	0.729194990751066	
post n=12: epithelial CLDN4 mean vs CXCL13 mean	12	-0.3216783216783217	0.30790987618065263	
