n_a	n_b	mean_a	mean_b	median_a	median_b	delta_mean_a_minus_b	mwu_u	exact_p	n_enumerated	note	contrast	rank_score	immune	k_per_tail	q4_patients	q1_patients
2	2	0.023201896748714784	0.10901873357955666	0.023201896748714784	0.10901873357955666	-0.08581683683084187	1.0	0.6666666666666666	6		Q4 vs Q1 (A3-malignant CLDN4 mean): B fraction	mal_cldn4_mean_log1p_cp10k	frac_B	2	P09,P13	P06,P12
2	2	0.04042507233939579	0.12830731812513257	0.04042507233939579	0.12830731812513257	-0.08788224578573678	2.0	1.0	6		Q4 vs Q1 (A3-malignant CLDN4 mean): B+plasma fraction	mal_cldn4_mean_log1p_cp10k	frac_B_plasma	2	P09,P13	P06,P12
2	2	0.191754651057219	0.21734230033201601	0.191754651057219	0.21734230033201601	-0.02558764927479701	2.0	1.0	6		Q4 vs Q1 (A3-malignant CLDN4 mean): TLS-like fraction	mal_cldn4_mean_log1p_cp10k	frac_TLS_like	2	P09,P13	P06,P12
2	2	0.9320157206341544	-0.40471836821153867	0.9320157206341544	-0.40471836821153867	1.3367340888456931	4.0	0.3333333333333333	6		Q4 vs Q1 (A3-malignant CLDN4 mean): TLS12 z score	mal_cldn4_mean_log1p_cp10k	tls12_z	2	P09,P13	P06,P12
2	2	0.012605429602321819	0.10901873357955666	0.012605429602321819	0.10901873357955666	-0.09641330397723484	0.0	0.3333333333333333	6		Q4 vs Q1 (A3-malignant CLDN4 %pos): B fraction	mal_cldn4_pct_pos	frac_B	2	P07,P13	P06,P12
2	2	0.019132558631303417	0.12830731812513257	0.019132558631303417	0.12830731812513257	-0.10917475949382915	1.0	0.6666666666666666	6		Q4 vs Q1 (A3-malignant CLDN4 %pos): B+plasma fraction	mal_cldn4_pct_pos	frac_B_plasma	2	P07,P13	P06,P12
2	2	0.02567588087135466	0.21734230033201601	0.02567588087135466	0.21734230033201601	-0.19166641946066135	0.0	0.3333333333333333	6		Q4 vs Q1 (A3-malignant CLDN4 %pos): TLS-like fraction	mal_cldn4_pct_pos	frac_TLS_like	2	P07,P13	P06,P12
2	2	0.2074686172892782	-0.40471836821153867	0.2074686172892782	-0.40471836821153867	0.6121869855008168	3.0	0.6666666666666666	6		Q4 vs Q1 (A3-malignant CLDN4 %pos): TLS12 z score	mal_cldn4_pct_pos	tls12_z	2	P07,P13	P06,P12
3	3	0.1512438598802604	0.1082564453886526	0.06783719074221868	0.11340317528890809	0.0429874144916078	5.0	1.0	20		Q4 vs Q1 (epithelial CLDN4 mean): B fraction	epi_cldn4_mean_log1p_cp10k	frac_B	3	P02,P11,P13	P03,P10,P12
3	3	0.15680024817463398	0.1659434260629161	0.06890130353817504	0.20887784857976024	-0.009143177888282117	4.0	1.0	20		Q4 vs Q1 (epithelial CLDN4 mean): B+plasma fraction	epi_cldn4_mean_log1p_cp10k	frac_B_plasma	3	P02,P11,P13	P03,P10,P12
3	3	0.17715531156136644	0.27384972177017824	0.09763234902899708	0.25830258302583026	-0.09669441020881181	3.0	0.7	20		Q4 vs Q1 (epithelial CLDN4 mean): TLS-like fraction	epi_cldn4_mean_log1p_cp10k	frac_TLS_like	3	P02,P11,P13	P03,P10,P12
3	3	0.0883917165283777	0.04544359095947189	0.2430487485031326	-0.15723410722254966	0.04294812556890581	4.0	1.0	20		Q4 vs Q1 (epithelial CLDN4 mean): TLS12 z score	epi_cldn4_mean_log1p_cp10k	tls12_z	3	P02,P11,P13	P03,P10,P12
3	3	0.031016016648954106	0.08863431845064156	0.0173256330519769	0.05453679447487497	-0.05761830180168745	3.0	0.7	20		Q4 vs Q1 (epithelial CLDN4 %pos): B fraction	epi_cldn4_pct_pos	frac_B	3	P07,P11,P13	P04,P10,P12
3	3	0.03572214026692729	0.12052959053172507	0.024137420405745593	0.07263634198618718	-0.08480745026479777	1.0	0.2	20		Q4 vs Q1 (epithelial CLDN4 %pos): B+plasma fraction	epi_cldn4_pct_pos	frac_B_plasma	3	P07,P11,P13	P04,P10,P12
3	3	0.049661370257235465	0.2155010987255703	0.03065304309195913	0.2160168598524763	-0.16583972846833483	0.0	0.1	20		Q4 vs Q1 (epithelial CLDN4 %pos): TLS-like fraction	epi_cldn4_pct_pos	frac_TLS_like	3	P07,P11,P13	P04,P10,P12
3	3	0.21932866102722967	0.12145687644115287	0.2430487485031326	0.07080574922249334	0.0978717845860768	5.0	1.0	20		Q4 vs Q1 (epithelial CLDN4 %pos): TLS12 z score	epi_cldn4_pct_pos	tls12_z	3	P07,P11,P13	P04,P10,P12
