contrast	gene	in_signed_nhej_set	sign_with_cldn4	table_s1_log2_ratio	table_s1_q	log2fc_kd_vs_control	measured
GSE207704_T47D_CLDN4ko	ATM	1	-1	-0.29	0.005989	0.2605630567594869	1
GSE207704_T47D_CLDN4ko	BRIP1	0		-0.5	0.0031	-0.26340408479939936	1
GSE207704_T47D_CLDN4ko	CLDN4	0		1.2	2.68e-38	-1.0730834295605334	1
GSE207704_T47D_CLDN4ko	MDC1	1	-1	-0.26	0.0185		0
GSE207704_T47D_CLDN4ko	MRE11	1	-1	-0.22	0.0287	-0.0411991455612568	1
GSE207704_T47D_CLDN4ko	NUP160	0		-0.24	0.001189	0.16857906806438577	1
GSE207704_T47D_CLDN4ko	POLR2J	0		0.29	0.004514	-0.9697735373457297	1
GSE207704_T47D_CLDN4ko	PRKDC	1	-1	-0.27	0.004446	0.3105346397121113	1
GSE207704_T47D_CLDN4ko	RNF168	1	-1	-0.26	0.0217	0.029384306171130796	1
GSE207704_T47D_CLDN4ko	SHLD2	1	-1	-0.23	0.0298	-0.17405590682206518	1
GSE207704_T47D_CLDN4ko	STING1	0		0.37	0.0532		0
GSE207704_T47D_CLDN4ko	TDP1	1	-1	-0.24	0.005172	0.032422248751836115	1
GSE207704_T47D_CLDN4ko	TP53BP1	0		-0.15	0.13	0.20972492798131154	1
GSE207704_T47D_CLDN4ko	XRCC1	0		0.04	0.764	0.11328006177034738	1
GSE207704_MCF7_CLDN4ko	ATM	1	-1	-0.29	0.005989	0.5088569589238706	1
GSE207704_MCF7_CLDN4ko	BRIP1	0		-0.5	0.0031	0.5083970436579192	1
GSE207704_MCF7_CLDN4ko	CLDN4	0		1.2	2.68e-38	-0.726033154832874	1
GSE207704_MCF7_CLDN4ko	MDC1	1	-1	-0.26	0.0185		0
GSE207704_MCF7_CLDN4ko	MRE11	1	-1	-0.22	0.0287	0.10455357121327748	1
GSE207704_MCF7_CLDN4ko	NUP160	0		-0.24	0.001189	-0.0008410207102672656	1
GSE207704_MCF7_CLDN4ko	POLR2J	0		0.29	0.004514	0.12739618451637058	1
GSE207704_MCF7_CLDN4ko	PRKDC	1	-1	-0.27	0.004446	-0.2756015147917622	1
GSE207704_MCF7_CLDN4ko	RNF168	1	-1	-0.26	0.0217	-0.06684043968297378	1
GSE207704_MCF7_CLDN4ko	SHLD2	1	-1	-0.23	0.0298	0.13040367189297214	1
GSE207704_MCF7_CLDN4ko	STING1	0		0.37	0.0532		0
GSE207704_MCF7_CLDN4ko	TDP1	1	-1	-0.24	0.005172	-0.23740477370368976	1
GSE207704_MCF7_CLDN4ko	TP53BP1	0		-0.15	0.13	0.16139786108014825	1
GSE207704_MCF7_CLDN4ko	XRCC1	0		0.04	0.764	-0.1820321355867442	1
GSE207704_mean_T47D_MCF7	ATM	1	-1	-0.29	0.005989	0.38471000784167875	1
GSE207704_mean_T47D_MCF7	BRIP1	0		-0.5	0.0031	0.1224964794292599	1
GSE207704_mean_T47D_MCF7	CLDN4	0		1.2	2.68e-38	-0.8995582921967037	1
GSE207704_mean_T47D_MCF7	MDC1	1	-1	-0.26	0.0185		0
GSE207704_mean_T47D_MCF7	MRE11	1	-1	-0.22	0.0287	0.03167721282601034	1
GSE207704_mean_T47D_MCF7	NUP160	0		-0.24	0.001189	0.08386902367705926	1
GSE207704_mean_T47D_MCF7	POLR2J	0		0.29	0.004514	-0.42118867641467955	1
GSE207704_mean_T47D_MCF7	PRKDC	1	-1	-0.27	0.004446	0.017466562460174556	1
GSE207704_mean_T47D_MCF7	RNF168	1	-1	-0.26	0.0217	-0.01872806675592149	1
GSE207704_mean_T47D_MCF7	SHLD2	1	-1	-0.23	0.0298	-0.02182611746454652	1
GSE207704_mean_T47D_MCF7	STING1	0		0.37	0.0532		0
GSE207704_mean_T47D_MCF7	TDP1	1	-1	-0.24	0.005172	-0.10249126247592683	1
GSE207704_mean_T47D_MCF7	TP53BP1	0		-0.15	0.13	0.1855613945307299	1
GSE207704_mean_T47D_MCF7	XRCC1	0		0.04	0.764	-0.034376036908198404	1
GSE22493_SKOV3_CLDN4kd	ATM	1	-1	-0.29	0.005989	0.6109833333333333	1
GSE22493_SKOV3_CLDN4kd	BRIP1	0		-0.5	0.0031	-1.6682	1
GSE22493_SKOV3_CLDN4kd	CLDN4	0		1.2	2.68e-38	-1.22505	1
GSE22493_SKOV3_CLDN4kd	MDC1	1	-1	-0.26	0.0185	1.2121	1
GSE22493_SKOV3_CLDN4kd	MRE11	1	-1	-0.22	0.0287	0.04731666666666664	1
GSE22493_SKOV3_CLDN4kd	NUP160	0		-0.24	0.001189	-0.10306666666666665	1
GSE22493_SKOV3_CLDN4kd	POLR2J	0		0.29	0.004514	0.7073333333333333	1
GSE22493_SKOV3_CLDN4kd	PRKDC	1	-1	-0.27	0.004446	0.35941666666666655	1
GSE22493_SKOV3_CLDN4kd	RNF168	1	-1	-0.26	0.0217		0
GSE22493_SKOV3_CLDN4kd	SHLD2	1	-1	-0.23	0.0298	-0.76245	1
GSE22493_SKOV3_CLDN4kd	STING1	0		0.37	0.0532		0
GSE22493_SKOV3_CLDN4kd	TDP1	1	-1	-0.24	0.005172	-0.44926666666666665	1
GSE22493_SKOV3_CLDN4kd	TP53BP1	0		-0.15	0.13	-0.33349999999999996	1
GSE22493_SKOV3_CLDN4kd	XRCC1	0		0.04	0.764	0.6868	1
